,신한지주,A055550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,139981.1,125913.2,120605.1,111297,112363,117986.5,135724.6,157073.6,147740,139150,149299,,시가총액,241368,199164,188494,207462,188257,179959,184227,191577,178299,206988,224296,222874,222163,230461,210782,195370,197030,196319,187546,192051,180196,190391,214575,222637,233780,238522,234255,216709,205328,213390,187783,199164,212916,198215,205566,132669,137252,131762,165547,191658,
,영업이익,31779.67,26319.99,26548.1,29731.41,31086.42,38300.26,44994.14,50462.5,49297.36,53901,56216,,영업이익,24232.59,34416.87,41723.59,39800.52,35768.96,33222.83,31779.67,27804.65,26544.17,26990.14,26319.99,27224.31,27327.65,28063.02,26548.1,26499.59,27819.84,27277.36,29731.41,28755.95,28800.64,30382.66,31086.42,37514.76,40168.29,41193.14,38300.26,37076.05,38861.04,39793.19,44994.14,46339.1,47091.42,49944.52,50462.5,49933.06,48392.31,48895.15,49297.36,51352.45,
,순이익,23218.9,18985.77,20811.1,23671.71,27747.78,29188.16,31567.22,34034.97,34145.95,38422,40026,,자기자본,269010,274792,243965,246485,254160,261263,263719,265101,267735,272300,275382,277014,281939,289160,291841,292827,299813,306412,308397,299917,304675,308990,311097,312944,318513,327950,328202,324483,335872,352998,357256,361634,380593,389450,391779,402742,412829,439457,440696,451357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
