,유한양행,A000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7764.58,9436.09,10174.92,11287.31,13207.97,14622.48,15188.23,14803.54,16198.65,17428,19164,,시가총액,15056,12045,14220,13160,14889,17063,19294,21301,20521,21859,20855,20242,20186,20744,18904,20521,30446,27156,30391,30725,34127,30948,23251,25548,28698,24090,26713,27105,26555,29608,26106,30665,31240,29196,31596,29818,33830,42922,52507,45203,
,영업이익,345.99,618.4,743.93,858.37,977.93,887.1,501.26,125.36,842.55,780,1080,,영업이익,714.01,622.84,542.15,488.53,409.31,281.65,312.12,347.78,396.5,493.74,618.39,618.77,673.46,719.62,743.93,755.7,815.93,958.44,858.38,908.26,898.07,833.36,977.93,1134.02,1095.2,1062.56,887.1,788.58,747.27,529.06,501.27,305.53,85.27,117.2,125.36,75.2,485.92,656.18,842.55,1009.81,
,순이익,807.76,864.61,909.48,1260.47,1612.49,1090.34,574.81,400.06,1927.61,1062,1376,,자기자본,10948,10907,11167,10997,10868,10972,11882,12019,11995,12198,12282,12361,12634,12743,12759,12773,13078,13526,13639,13952,14336,14580,14966,15020,15298,15541,16000,15942,16141,16219,16417,16351,16316,16363,16463,17305,17897,18519,18401,18594,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7627.93,9316.12,10081.8,11209.37,13120.18,14519.88,15067.66,14632.61,15679.41,0,0,,매출액,1709.14,1646.56,1679.09,1665.48,2013.5,2009.16,1974.73,2181.14,2400.44,2243.66,2610.85,2276.97,2571.06,2612.21,2714.68,2420.79,2719.47,3117.35,3029.7,2764.78,3327.43,3618.21,3497.56,3511.99,3550.6,3787.34,3772.55,3398.21,3862.23,3786.06,4141.72,3449.53,3593.99,3822.58,3937.44,3132.76,4154.86,4296.81,4614.22,3838,
,영업이익,304.05,559.71,671.41,706.93,722.61,803.58,609.41,403.61,1159.64,0,0,,영업이익,172.01,158.83,56.31,101.38,92.79,31.17,86.78,137.04,141.51,128.41,211.43,137.42,196.2,174.57,235.74,149.19,256.43,317.08,135.68,199.07,246.24,252.37,280.25,355.16,207.42,219.73,104.79,256.64,166.11,1.52,77,60.9,-54.15,33.45,85.16,10.74,356.57,203.71,271.53,178,
,순이익,695.73,718.86,814.22,1074.85,1224.01,1107.32,814.94,539.53,1933.1,0,0,,순이익,195.97,175.45,160.96,270.02,25.63,119.75,206.84,235.54,233.75,174.19,221.13,216.28,265.36,251.57,176.27,246.37,309.41,448.99,255.71,512.72,340.78,240.77,518.22,295.43,320.72,259.68,214.52,207.17,163.55,115.42,88.66,155.69,54.6,143.35,46.43,1157.9,339,303.98,126.74,193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
