,한미약품,A128940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6740.05,7301.34,7612.8,13175.35,8827.25,9165.86,10159.62,11136.5,10758.54,11802,12949,,시가총액,5792,5146,5174,4756,5237,7390,9979,13788,12504,11925,10534,11109,9842,8507,10436,23991,47778,38008,75968,74924,73672,53010,31879,32932,41640,50738,66492,58181,47934,56928,53881,52952,46913,32050,35115,29371,28838,32391,44267,41308,
,영업이익,481.43,618.95,344.52,2118,267.72,821.64,835.74,1038.78,489.76,980,1274,,영업이익,-68.53,112.76,211.67,104.18,130.34,237.79,481.43,661.61,685.69,633.27,618.95,618.72,588.48,448.47,344.53,186.18,126.19,471.04,2118,2322.54,2362.02,2142.52,267.72,355.75,507.24,647.95,821.62,770.44,754.47,691.07,835.73,832.59,864.21,898.65,1038.78,1066.86,941.8,369.55,489.77,421.33,
,순이익,226.37,439.33,355.1,1544.43,233.26,604.34,248.91,521.1,119.59,494,764,,자기자본,3185,3185,3363,3319,3359,3519,3624,3869,3921,4116,4094,5196,5228,5302,5275,5359,5562,5271,6749,6843,6977,6942,6595,6638,6812,7171,7117,6978,7111,7144,7032,7129,7255,7324,7238,7271,7340,7073,7300,7442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5437.93,5627.57,5820.23,11132.39,6877.82,7026.36,7950.16,8636.47,8724.05,0,0,,매출액,1521.17,1488.22,1567.98,1451.63,1854.25,1697.64,1736.53,1703.02,1796.67,1861.91,1939.73,1841.2,1863.5,1793.36,2114.74,2147.45,2444.72,2683.79,5899.39,2563.74,2345.43,2197.24,1720.84,2335.5,2228.19,2275.8,2326.37,2456.77,2413.09,2352.56,2937.21,2746.43,2703.94,2657.07,3029.05,2882.01,2434.11,2669.33,2773.08,2930,
,영업이익,211.8,345.15,36.43,1802.64,-44.02,469.54,432.69,528.6,261.62,0,0,,영업이익,64.47,97.29,-57.09,-0.49,90.63,204.74,186.55,179.69,114.71,152.32,172.23,179.46,84.47,12.31,68.29,21.11,24.48,357.16,1715.25,225.65,63.96,137.66,-159.55,313.68,215.45,278.37,14.12,262.5,199.48,214.97,158.78,259.36,231.1,249.41,298.91,287.44,106.04,-322.84,419.13,219,
,순이익,70.34,259.67,155.65,1338.51,39.4,386.56,127.62,242.57,30.19,0,0,,순이익,22.5,25.01,-82.14,-26.27,47.18,97.06,108.41,124.73,80.49,140.64,93.47,144.1,74.29,11.17,125.54,126.61,112.56,-267.2,1572.47,380.76,200.8,47.9,-396.19,189.27,124.7,206.38,84,76.63,134.2,115.21,-77.12,127.43,183.4,64.44,145.82,75.41,74.82,-308.43,277.8,142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6740.05,7301.34,7612.8,13175.35,8827.25,9165.86,10159.62,11136.5,10758.54,11802,12949,,매출액,1317.3,1252.19,1286.47,1138.16,1561.28,1351.33,1387.16,1306.53,1416.67,1428.08,1476.29,1370.15,1438.4,1381.99,1629.69,1576.86,1994.06,2127.43,5434.04,1954.47,1914.28,1771.75,1237.31,1781.15,1718.51,1744.29,1782.41,1796.42,1916.96,1818.5,2418.28,2049.07,2154.5,2068.92,2363.98,2231.28,2155.54,2254.77,2082.46,0,
,매출액성장율,11.19,8.3,4.3,73.1,-33,3.8,10.8,9.6,-3.4,9.7,9.7,,영업이익,36.42,14.58,-67.83,-79.35,37.78,103.2,150.16,78.34,75.54,86.63,104.65,81.84,41.2,-73.88,-12.73,-122.39,-32.06,282.22,1674.86,90.4,0.69,64.23,-199.33,156.54,147.17,185.69,-19.85,86.83,152.19,123.29,70.38,75.67,175.56,139.51,137.86,126.56,187.86,-312.14,259.33,0,
,,,,,,,,,,,,,,순이익,4.74,-6.29,-94.67,-73.83,18.21,42.45,83.5,61.33,57.89,98.85,41.6,82.53,47.54,-44.8,70.38,35.22,78.9,-314.88,1539.27,295.94,166.25,4.72,-427.51,113.04,60.13,147.08,66.31,57.76,101.9,61.88,-93.92,10.22,156.15,2.78,73.43,32.92,118.62,-302.1,180.75,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,481.43,618.95,344.52,2118,267.72,821.64,835.74,1038.78,489.76,980,1274,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,127.17,28.6,-44.3,514.8,-87.4,206.9,1.7,24.3,-52.9,100.1,30,,매출액,5949.17,5929.39,6062.37,6029,6362.08,6571.5,6740.05,6991.44,6933.86,7098.13,7301.33,7439.51,7506.34,7437.79,7612.8,7919.05,8500.27,9390.7,13175.35,13591.64,13492.35,13005.8,8827.25,8599.01,8481.77,8560.33,9165.86,9287.13,9472.03,9548.79,10159.63,10449.29,10740.14,11044.65,11136.49,11272.07,11002.24,11014.5,10758.53,10806.52,
,,,,,,,,,,,,,,영업이익,-68.53,112.76,211.67,104.18,130.34,237.79,481.43,661.61,685.69,633.27,618.95,618.72,588.48,448.47,344.53,186.18,126.19,471.04,2118,2322.54,2362.02,2142.52,267.72,355.75,507.24,647.95,821.62,770.44,754.47,691.07,835.73,832.59,864.21,898.65,1038.78,1066.86,941.8,369.55,489.77,421.33,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,-149.5,-41.49,13.37,-60.9,-36.22,35.83,226.38,377.38,410.69,454.27,439.33,458.7,452.5,323.03,355.1,337.61,375.88,97.51,1544.44,1798.59,1886.83,2201.93,233.27,41.78,-34.32,124.16,604.35,491.71,501.21,410.04,248.92,299.72,348.92,298.15,521.09,469.07,360.49,-12.38,119.6,186.19,
,순이익,226.37,439.33,355.1,1544.43,233.26,604.34,248.91,521.1,119.59,494,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,1652.66,94.1,-19.2,334.9,-84.9,159.1,-58.8,109.4,-77.1,313.1,54.7,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,5529.34,5273.92,5124.97,4994.12,5238.11,5337.24,5437.93,5606.3,5461.69,5538.44,5627.57,5691.19,5712.93,5666.83,5820.23,6026.94,6582.6,7328.04,11132.39,11510,11430.22,11074.54,6877.82,6704.49,6508.72,6481.27,7026.36,7041.63,7240.07,7314.29,7950.16,8202.81,8440.35,8690.77,8636.47,8818.68,8819.72,9005.56,8724.05,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,-109.29,-40.2,17.13,-96.18,-94.81,-6.19,211.8,369.49,407.25,390.67,345.15,348.65,314.31,153.8,36.43,-167.8,-241.06,115.05,1802.64,2015.42,2048.17,1830.18,-44.02,22.12,168.61,290.07,469.54,399.83,404.86,342.46,432.69,421.54,444.9,461.12,528.6,579.49,591.79,140.14,261.62,0,
,EPS증가율,1652.7,77.5,-19.4,334.4,-84.9,158.9,-58.8,109,-77.1,313.1,54.7,,순이익,-107.38,-59.01,-81.35,-170.05,-156.58,-107.83,70.34,205.5,245.18,301.58,259.67,280.87,270.52,126.87,155.65,108.34,139.7,-130.38,1338.51,1599.23,1686.58,2006.18,39.4,-143.5,-249.62,-107.27,386.56,331.28,373.05,287.85,127.62,80.08,134.33,75.23,242.57,265.27,227.74,-77.13,30.19,0,
,BPS증가율,0.1,3.3,28.4,27.8,-2.3,7.8,-1.3,2.8,0.7,6.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
