,에이치엘비,A028300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,516.42,208.08,371.86,384.61,301.39,230.07,361.86,384.21,561.77,680,0,,시가총액,401,233,432,535,438,540,604,692,602,608,589,1147,1383,1672,2161,4779,13454,8810,7420,5923,7420,6865,4719,4852,5392,7225,13987,25549,35649,46593,31298,31388,13850,23698,49107,37356,48734,54603,48997,37708,
,영업이익,-29.19,-53.5,3.62,-59.63,-210.04,-261.15,-293.15,-487.31,-613.12,-260,0,,영업이익,10.92,24.64,5.03,-2.04,-7.56,-12,-7.4,-17.39,-29.69,-36.67,-53.5,-38.08,-29.13,-10.64,3.63,-7.39,-22.61,-40.97,-59.64,-65.09,-77.16,-122.91,-210.04,-237.26,-255.77,-244.89,-261.14,-271.56,-268.8,-280.24,-293.15,-338.88,-406.55,-480.47,-487.31,-451.14,-431.86,-498.3,-613.11,-613.11,
,순이익,-73.88,-85.45,-29.31,126.4,-132.15,-165.3,253.43,-443.86,-800.93,-320,0,,자기자본,233,243,200,234,234,235,198,207,203,211,161,178,177,183,240,611,656,647,847,954,934,959,887,871,837,783,772,1102,1348,1516,1747,1793,1147,1386,1849,1923,4918,4761,4798,4798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,176.26,199.71,371.79,384.52,300.9,229.94,272.71,297.76,487.3,0,0,,매출액,67.64,30.93,23.66,27.51,59.18,44.54,45.42,77.15,80.76,100.57,-50.39,74.73,80.33,90.97,125.82,90.81,94.09,88.67,111.04,92.08,81.6,65.44,62.27,59.61,70.84,49.37,50.24,60.97,112.37,73.71,114.82,72.18,95.28,91.48,125.26,120.23,99.94,113.85,227.76,0,
,영업이익,-16.19,-46.52,8.04,-25.51,-46.41,-67.76,16.54,-49.39,-99.06,0,0,,영업이익,4.92,-1.28,-1.61,-4.07,-0.6,-5.72,2.99,-14.06,-12.9,-12.7,-13.84,1.36,-3.95,5.79,0.43,-9.66,-19.17,-12.57,-18.24,-15.11,-31.24,-58.32,-105.37,-42.33,-49.75,-47.44,-121.62,-52.75,-46.99,-58.88,-134.53,-98.48,-114.66,-132.8,-141.37,-62.31,-95.38,-199.24,-256.18,0,
,순이익,-32.37,-83.09,-32.24,-73.56,-63.23,-141.1,418.95,-312.28,-600.65,0,0,,순이익,-4.38,-2.77,0.97,-5.61,-2.18,-12.05,-51.33,-1.79,-26.79,5.93,-62.79,2.7,-16.82,-1.26,-13.92,-10.86,-22.84,-15.68,175.78,-7.05,-20.03,-24.4,-80.66,-20.8,-31.1,-61.06,-52.35,261.52,-77.74,-75,144.65,-101.66,-706.69,204,160.49,-136.39,-478.33,39.48,-225.69,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,516.42,208.08,371.86,384.61,301.39,230.07,361.86,384.21,561.77,680,0,,매출액,67.64,30.93,23.66,27.51,59.18,44.54,45.03,72.88,76.7,72.92,83.65,94.28,95.47,98.27,83.76,90.89,94.07,88.6,110.96,91.69,81.61,65.39,62.21,59.59,70.82,49.36,50.17,37.31,88.93,50.08,96.39,51.91,73.45,67.92,104.48,100.21,83.68,95.74,207.68,0,
,매출액성장율,-25.71,-59.7,78.7,3.4,-21.6,-23.7,57.3,6.2,46.2,21,0,,영업이익,7.2,-3.51,-1.61,-4.18,-0.6,-5.72,-5.69,-10.34,-13.51,-11.5,-19.31,1.95,-5.53,4.21,7.41,-1.5,-8.55,-3.97,-11.48,3.24,-4.8,-16.19,-28.65,-5.46,-7.67,-16.75,-37.88,-2.5,11.21,2.69,5.14,-5.62,-4.34,-12.02,-27.42,-6.45,-13.57,-21.72,-57.32,0,
,,,,,,,,,,,,,,순이익,-4.38,-2.77,0.97,-5.61,-2.18,-12.05,-12.53,0.14,-22.82,-12.28,-48.13,5.68,-18.03,-1.01,-18.87,-1.01,-26.29,-11.86,-34.4,2.9,-6.49,4.62,-64.27,-2.99,-10.39,-45.43,-82.28,266.12,-16.54,-35.24,204.6,-32.04,-661.9,201.46,180.2,-31.15,-398.74,-23.67,-147.09,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,-29.19,-53.5,3.62,-59.63,-210.04,-261.15,-293.15,-487.31,-613.12,-260,0,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-212.91,-83.3,106.8,-1747.2,-252.2,-24.3,-12.3,-66.2,-25.8,57.6,0,,매출액,223.64,218.57,188.23,149.74,141.28,154.89,176.65,226.29,247.87,303.9,208.09,205.67,205.24,195.64,371.85,387.93,401.69,399.39,384.61,385.88,373.39,350.16,301.39,268.92,258.16,242.09,230.06,231.42,272.95,297.29,361.87,373.08,355.99,373.76,384.2,432.25,436.91,459.28,561.78,0,
,,,,,,,,,,,,,,영업이익,10.92,24.64,5.03,-2.04,-7.56,-12,-7.4,-17.39,-29.69,-36.67,-53.5,-38.08,-29.13,-10.64,3.63,-7.39,-22.61,-40.97,-59.64,-65.09,-77.16,-122.91,-210.04,-237.26,-255.77,-244.89,-261.14,-271.56,-268.8,-280.24,-293.15,-338.88,-406.55,-480.47,-487.31,-451.14,-431.86,-498.3,-613.11,0,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,-203.38,-189.15,-14.18,-11.79,-9.59,-18.87,-71.17,-67.35,-91.96,-73.98,-85.44,-80.95,-70.98,-78.17,-29.3,-42.86,-48.88,-63.3,126.4,130.21,133.02,124.3,-132.14,-145.89,-156.96,-193.62,-165.31,117.01,70.37,56.43,253.43,-109.75,-738.7,-459.7,-443.86,-478.59,-250.23,-414.75,-800.93,0,
,순이익,-73.88,-85.45,-29.31,126.4,-132.15,-165.3,253.43,-443.86,-800.93,-320,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,3.69,-15.7,65.7,531.3,-204.5,-25.1,253.3,-275.1,-80.4,60,0,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,223.08,218.4,188.57,149.74,141.28,154.9,176.26,221.63,239.15,267.53,306.15,327.56,346.32,371.67,371.79,368.39,366.99,357.32,384.52,385.32,372.86,349.65,300.9,268.79,258.01,241.98,229.94,207.66,225.77,226.49,272.71,287.32,271.83,289.67,297.76,346.06,356.29,384.11,487.3,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,0.74,12.72,6.1,-2.1,-9.9,-12.11,-16.19,-22.35,-35.26,-41.04,-54.66,-42.37,-34.4,-18.68,8.04,4.58,1.56,-6.61,-25.51,-20.77,-17.01,-29.24,-46.41,-55.1,-57.98,-58.53,-67.76,-64.79,-45.91,-26.48,16.54,13.42,-2.12,-16.83,-49.39,-50.23,-59.46,-69.16,-99.06,0,
,EPS증가율,3.7,-5,69.7,452.2,-200.1,-24,241.6,-260.5,-64.3,60.1,0,,순이익,-212.02,-187.31,-14.32,-11.8,-9.6,-18.88,-32.37,-26.62,-47.25,-47.48,-83.09,-77.54,-72.76,-61.5,-32.24,-38.92,-47.18,-58.03,-73.56,-69.65,-49.85,-33.37,-63.23,-69.13,-73.03,-123.08,-141.1,128.02,121.87,132.06,418.95,120.79,-524.57,-287.87,-312.28,-311.39,-48.23,-273.36,-600.65,0,
,BPS증가율,-0.3,-26.1,31.1,188.4,0.4,-13.7,108.9,-3,136.2,-6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,100,100,100,100,100,100,100,98,96,88,147,159,169,190,100,95,91,89,100,100,100,100,100,100,100,100,100,90,83,76,75,77,76,78,78,80,82,84,87,0,
,주가,1192,1056,3417,9585,5836,17152,35457,50989,46309,35550,,,영업이익,7,52,121,103,131,101,219,129,119,112,102,111,118,176,221,-61,-6,16,43,32,22,24,22,23,23,24,26,24,17,9,-5,-3,1,4,10,11,14,14,16,0,
,주가상승율,16.29,-11.41,223.58,180.51,-39.11,193.9,106.72,43.81,-9.18,-23.23,,,순이익,104,99,101,100,100,100,45,40,51,64,97,96,103,79,110,91,97,92,-57,-52,-36,-26,48,47,47,64,85,109,173,234,165,-109,71,63,70,65,19,66,75,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매출총이익율+영업이익율+주가,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출총이익율,16.54,21.5,17.53,16.03,10.62,7.75,15.28,14.14,16.54,14.48,12.01,14.59,13.16,21.47,16.14,15.98,15.19,15.02,15.6,17.36,18.48,15.99,14.27,12.64,12.01,12.81,9.56,8.21,11.72,13.45,17.96,17.96,17.42,16.59,10.15,12.03,12.59,12.19,18.33,,
,,,,,,,,,,,,,,영업이익율,4.9,11.3,2.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,주가,987,555,1025,1243,998,1194,1192,1300,1078,1089,1056,2044,2361,2840,3417,6523,17485,11449,9585,7389,9230,8520,5836,5991,6657,8920,17152,31108,43268,53297,35457,35502,15665,26804,50989,38342,46360,51917,46309,35550,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,영업이익율 3가지,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,영업이익율,4.9,11.3,2.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,영업이익율(분기),7.3,0,0,0,0,0,6.6,0,0,0,27.5,1.8,0,6.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,영업이익율(개별),0.33,5.82,3.23,0,0,0,0,0,0,0,0,0,0,0,2.16,1.24,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,4.67,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
