,DB하이텍,A000990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5907.86,4937.52,5677.18,6665.95,7731.4,6797.38,6692.79,8074.16,9359.2,10210,10782,,시가총액,4226,2960,3102,4377,3274,3194,2808,2773,3048,2919,3341,2973,1737,2436,2048,2627,7010,6256,6345,7853,8186,7897,7054,8630,9983,6788,5324,6544,8702,7015,4817,5550,6549,7104,12254,9346,12809,16649,22643,24286,
,영업이익,-155.99,-96.11,455.6,1249.69,1724.28,1431.95,1129.93,1812.92,2393.35,2397,2716,,영업이익,-903.24,-1036.43,-388.4,-518.81,-493.71,-330.72,-146.3,-156.91,-80.66,-53.3,-96.1,-13.78,-33.2,75.49,455.6,631.37,805.67,1170.02,1249.69,1472.69,1637.88,1608.65,1724.28,1834.55,1843.09,1715.58,1431.95,1041.38,929.52,1005.33,1129.93,1226.88,1381.01,1592.52,1812.91,2236.62,2514.25,2567.73,2393.34,2289.91,
,순이익,-313.24,-830.47,-770.09,1267.33,883.44,1101.75,868.29,1046.37,1660.26,1644,1938,,자기자본,3749,3327,3081,2786,2830,2964,2909,2625,2610,2466,2048,1823,1732,1433,1207,1828,2241,2597,2541,2805,2990,3217,3419,3665,3958,4072,4558,4735,5091,5399,5584,5598,5912,6359,6447,6849,7351,7816,7946,8449,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
