,GS,A078930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,97157.14,95831.93,108661.3,121795.1,134624.3,155800.6,177443.8,177860.6,154442.1,174906,181739,,시가총액,72567,53426,47108,60302,48316,62067,66899,59559,47759,52404,53241,44785,41905,37445,37166,39071,46225,42323,47108,54263,44088,49710,50267,53705,63368,60952,57793,57700,50546,51196,47944,49059,47573,46736,47944,34518,33682,28804,34890,37770,
,영업이익,6842.69,5521.3,-343.28,16043.23,17542.24,20408.01,22098.37,20331.42,9205.69,18805,20342,,영업이익,6643.3,7776.34,9321.02,7266.26,5645.3,7046.58,6842.69,6474,6522.02,6566.05,5521.3,4415.53,4325.68,1924.38,-343.28,948.25,7319.26,10257.27,16043.23,17346.63,15334.35,16334.02,17542.24,20714.39,19616.72,20405.85,20408.01,19510.9,21100.38,23027.04,22098.37,21666.51,21036.83,19654.62,20331.42,15299.15,11993.51,11223.19,9205.69,14277.07,
,순이익,4940.3,3578.14,-3469.29,4922.04,8057.03,9861.91,9031.98,5439.71,-2426.85,5842,6388,,자기자본,58117,58870,60157,60675,60849,62724,63429,63627,63998,66258,65744,63223,63131,62726,59069,59120,61617,63021,63209,62654,65301,66287,69642,70772,73506,76034,77302,77643,80203,83133,84904,85157,87097,89686,88885,84355,83808,85873,83538,85180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1683.42,3300.61,2535.56,1781.62,3742.16,4930.29,5060.38,3653.36,3062.86,0,0,,매출액,19967.38,21305.44,23080.81,23775.75,24345.19,25427.86,23608.34,24597.48,22060.98,25463.61,23709.86,26473.89,26088.16,27257.45,28841.81,27849.42,34110.01,29529.86,30305.81,30672.12,33250.96,33357.5,37343.68,39181.29,38555.56,42291.84,35771.94,42240.32,44687.11,47197.6,43318.82,44187.27,45081.34,45233.51,43358.51,41961.35,36654.84,39296.66,36529.29,43833,
,영업이익,1298.06,2964.74,2197.16,1444.18,3358.06,4501.62,4694.1,3090.32,2413,0,0,,영업이익,2320.3,1196.04,1586.68,2163.24,699.34,2597.32,1382.79,1794.55,747.36,2641.35,338.04,688.78,657.51,240.05,-1929.62,1980.31,7028.52,3178.06,3856.34,3283.71,5016.24,4177.73,5064.56,6455.86,3918.57,4966.86,5066.72,5558.75,5508.05,6893.52,4138.05,5126.89,4878.37,5511.31,4814.85,94.62,1572.73,4740.99,2797.35,5166,
,순이익,966.16,2562.18,1642.53,953.95,2207.61,3777.28,4217.45,2775.28,-532.96,0,0,,순이익,1974.97,748.61,1254.3,1790.57,148.31,2039.27,962.15,1438.5,312.49,2310.51,-483.36,338.59,114.11,-445.61,-3476.38,1215,2455.33,603.75,647.96,1523.07,2603.44,1590.13,2340.39,4011.22,1341.71,2340.83,2168.15,2230.76,1879.07,3096.46,1825.69,1569.15,1601.7,2067.3,201.56,-3381.95,-32.24,2339.46,-1352.12,1642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
