,KB금융,A105560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,142101.1,123569.3,116353,103758.2,100218.8,119190.6,137345.7,146391.9,144857.5,145166,156361,,시가총액,195108,155893,140246,159756,142564,153382,146427,144882,132132,145268,163234,143916,135996,148939,139666,150098,142564,136189,128076,123053,125951,146234,178952,206338,241250,234561,265083,253794,220763,226616,194422,174980,191704,178534,198132,144493,141167,156136,180461,221210,
,영업이익,24321.98,20269.92,19591.23,18211.34,16769.48,40152.74,42674.81,44906.49,46159.92,52438,55279,,영업이익,21432.14,29446,33983.8,31971.9,27792.47,25935.35,24321.98,21556.53,18598.77,18426.51,20269.92,19778.51,20517.65,20514.89,19591.23,20112.92,18837.76,18408.43,18211.34,19531.48,21802.93,23603.89,16769.48,18958.81,23869.9,28309.59,40152.74,43555.85,45634.43,47262.31,42674.81,41995.79,41857.32,41057.3,44906.49,43705.19,44508.16,46191.51,46159.92,50558.73,
,순이익,17310.34,12715.02,14007.22,16983.18,21437.44,33114.38,30611.91,33118.28,34551.51,38339,40232,,자기자본,204145,227663,229180,232324,238035,244080,245686,248773,249456,253599,259823,258299,262429,269267,273151,277291,279887,283732,286806,288917,293423,296823,309980,313248,325712,337207,340387,336243,345872,355807,357039,358177,371922,381549,385339,382242,395647,412114,425037,435923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,60.18,38.59,23.91,21.85,45.97,38.89,66.16,80.2,80.44,0,0,,매출액,34438.16,35936.46,36584.52,36126.77,35899.15,35675.02,34400.12,32020.07,30803.37,30205.16,30540.7,28985.04,29493.12,29220.6,28654.2,27116.9,25857.85,25547.01,25236.47,24663.32,24645.76,24815.57,26094.17,27264.47,29641.4,30819.77,31464.93,31947.67,33632.47,35150.63,36614.92,36464.43,36939.46,36715.97,36272.01,36199.76,36017.71,35787.88,36852.12,26418,
,영업이익,6463.29,1967.49,4340.24,2432.97,5903.08,5477.78,9289.87,7473.82,13788.52,0,0,,영업이익,11652.14,7874.86,4350.8,8094.1,7472.71,6017.74,2737.43,5328.65,4514.95,5845.48,4580.84,4837.24,5254.09,5842.72,3657.18,5358.93,3978.93,5413.39,3460.09,6679.07,6250.38,7214.35,-3374.32,8868.4,11161.47,11654.04,8468.83,12271.51,13240.05,13281.92,3881.33,11592.49,13101.58,12481.9,7730.52,10391.19,13904.55,14165.25,7698.93,14790,
