,KG이니시스,A035600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3101.22,4157.69,5477.91,6968.66,4780.72,7584.53,9246.24,7475.53,8101.55,8659,10148,,시가총액,1062,555,1852,1704,1907,2632,3116,3421,4464,4591,4222,4336,2861,3955,4610,6126,6074,5289,4346,3362,3641,3575,3216,3030,3203,3004,5026,5860,6069,5120,4297,3683,4200,4339,4744,4618,6097,5693,5623,5888,
,영업이익,305.56,360.22,397.76,200.03,488.52,546.77,604.26,822.18,980.06,1072,1349,,영업이익,145.17,162.71,148.54,161.22,168.54,162.36,155,213.63,274.9,330.5,360.22,345.95,346.75,372.36,397.76,376.5,317.45,268.22,200.03,215.9,259.43,294.23,488.53,563.38,587.97,633.71,546.76,577.27,661.25,712.99,604.26,627.39,620.42,629.94,822.17,840.17,903.49,959.43,980.06,980.06,
,순이익,239.71,168.79,177.35,-8.76,80.91,-3.79,352.44,499.92,424.4,589,731,,자기자본,762,808,1204,1242,1314,1372,1260,1482,1582,1640,1565,1575,1607,1663,1694,1736,1721,1583,1563,1549,1800,1843,1769,1794,1815,1804,1869,1921,2025,2144,2133,2181,2294,2401,2494,2460,2861,2805,3078,3078,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
