,LG생활건강,A051900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,38962.18,43262.55,46770.1,53284.92,60940.59,61051.37,67475.37,76854.24,78445.06,86794,94468,,시가총액,71688,83245,76139,92928,96364,99176,102612,96208,87150,85119,85588,71766,71141,79184,97301,124789,120885,133379,163991,146811,174455,149154,133848,128538,155245,146186,185700,188668,218030,199288,171956,221310,205067,204130,196945,171800,210221,226151,253015,244425,
,영업이익,4455.31,4964.12,5110.4,6840.95,8809.37,9300.23,10392.5,11764.11,12208.65,13619,15276,,영업이익,3794.46,3931.59,3701.54,3895.58,3940.31,4132.35,4455.31,4614.89,4766.29,4908.6,4964.11,4788.27,4801.23,4847.84,5110.4,5612.2,6078.06,6477.71,6840.95,7391.5,7965.02,8504.86,8809.37,9072.53,9141.08,9227.61,9300.23,9538.61,9888.66,10135.94,10392.51,10776.8,11119.24,11462.3,11764.12,11880.13,11897.98,12055.7,12208.64,12442.67,
,순이익,3039.36,3573.04,3494.32,4603.51,5682.21,6064.12,6827.43,7780.98,7976.29,9121,10352,,자기자본,8853,9631,9974,10155,10978,11784,12016,12315,13126,14003,14089,14494,15096,15934,16374,16818,17966,19824,20373,21257,23261,24889,25324,25620,27375,29246,29962,30443,32344,34172,35121,35966,38264,40645,41467,42551,44436,46660,47560,49981,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,21446.4,22381.75,25133.52,30313.36,36609.53,37173.6,40601.58,45369.76,44182.57,0,0,,매출액,8659.62,9267.84,8337.7,9717.57,9809.41,10538.55,8896.66,10723.31,10755.11,11517.76,10266.37,11283.85,11423.22,12304.37,11758.65,13019.48,13110.09,13868.23,13287.13,15193.8,15538.68,15634.84,14573.28,15586.41,14881.21,15707.56,14876.2,16592.22,16525.84,17372.38,16984.92,18747.74,18324.92,19648.66,20132.93,18963.62,17831.59,20705.69,20944.16,20614,
,영업이익,2597.45,2380.6,3090.65,4630.99,6541.61,6965.72,7613.81,8593.58,7856.09,0,0,,영업이익,1005.46,1121.13,469.95,1299.04,1050.19,1313.17,792.91,1458.62,1201.59,1455.48,848.42,1282.78,1214.55,1502.09,1110.98,1784.58,1680.41,1901.74,1474.22,2335.13,2253.93,2441.58,1778.73,2598.29,2322.48,2528.11,1851.35,2836.67,2672.53,2775.39,2107.92,3220.96,3014.97,3118.45,2409.74,3336.97,3032.82,3276.17,2562.68,3571,
,순이익,2077.96,1769.6,2493.19,3059.61,5091.6,5956.38,6058.49,6228.68,6184.39,0,0,,순이익,663.41,747.53,467.87,897.53,738.31,879,524.51,1014.76,832.78,1141.49,584.02,890.26,813.17,1031.53,759.37,1228.01,1146.42,1313.82,915.27,1583.37,1562.9,1888.19,647.75,1769.94,1644.21,1844.43,805.54,1937.49,1846.58,2038.35,1005.02,2235.01,2081.97,2132.98,1331.02,2306.19,1998.92,2271.95,1399.23,2421,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,38962.18,43262.55,46770.1,53284.92,60940.59,61051.37,67475.37,76854.24,78445.06,86794,94468,,매출액,4782.5,5258.75,4683.36,5734.12,5155.49,5720.5,4836.29,5975.26,5372.93,5948.45,5085.11,6150.88,5756.8,6694.5,6531.35,7829.31,7143.15,7763.65,7577.26,9433.58,9285.31,9359.18,8531.46,9943.18,8988.36,9752.33,9160.58,10231.41,9691.2,10500.94,10178.02,11592.05,10889.88,11837.57,11050.25,11491.47,9455.19,12276.59,10959.32,0,
