,SK하이닉스,A000660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,101622.1,141651,171255.7,187980,171979.8,301094.3,404450.7,269907.3,319004.2,404882,517609,,시가총액,148339,126429,129982,203002,165548,157913,178744,199571,216675,214836,261354,255672,345801,338407,347621,331241,307945,244245,223861,208573,235873,292657,325417,370553,490674,603514,556922,591866,623898,532170,440441,540178,505962,598418,685050,609338,619530,611522,862683,997363,
,영업이익,-2273.49,33797.85,51094.66,53361,32767.46,137213.3,208437.5,27191.79,50126.24,120123,195577,,영업이익,20757.89,8053.3,3690.66,-2172.79,-6589.21,-4061.84,-2273.49,3531.47,14615.03,26500.06,33797.85,41201,40903.64,42270.57,51094.66,56407.3,59323.43,60143.84,53361,43093.68,33867.41,27294.82,32767.46,51825.47,77803.94,107916.3,137213.3,156210.7,181442.8,208795.1,208437.5,178429,129066.1,69067.55,27191.79,21529.9,34620.75,42892.1,50126.24,56042.23,
,순이익,-1588.86,28724.7,41954.56,43223.56,29537.74,106415.1,155401.1,20059.75,47551.02,93718,148427,,자기자본,85583,82669,78757,98989,98603,97872,97402,100440,111581,123144,130672,138530,146101,162907,180365,191262,202958,207664,213869,214609,216972,220006,240170,251623,277571,308967,338153,363718,407717,434840,468457,471598,477002,482540,479211,482310,493829,504791,518885,529868,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,100017.8,138963.1,168937.2,187807.9,167331.1,297189.4,403246.5,253207.5,305249.9,0,0,,매출액,27583.62,22911.05,25531.59,23883.89,26319.53,24234.82,27183.86,27811.47,39326.47,40836.21,33676.87,37426.9,39228.75,43120.69,51479.32,48183.41,46385.79,49250.34,44160.44,36557.17,39409.27,42436.45,53576.86,62895.18,66922.78,81000.85,90275.53,87196.91,103705.1,114167.9,99380.8,67726.55,64522.01,68387.66,69271.11,71988.92,86065.34,81287.67,79662.25,82708,
,영업이익,-6162.85,32151.16,50473.53,50765.07,30124.19,133407.9,205790.8,19897,45458.77,0,0,,영업이익,4468.89,-2767.59,-1238.64,-2635.45,52.47,-240.22,549.71,3169.51,11136.03,11644.81,7847.5,10572.66,10838.67,13011.74,16671.59,15885.3,13754.8,13832.15,9888.75,5617.98,4528.53,7259.56,15361.39,24675.99,30507,37371.93,44658.34,43673.38,55739.18,64724.2,44300.74,13664.9,6376.3,4725.61,2424.98,8003.01,19467.15,12996.96,9659.12,13919,
,순이익,-4899.9,27969.67,37717.61,40190.8,26550.22,101108,154070.9,14769.81,42178.41,0,0,,순이익,4710.87,-5611,-2398.92,-2711.19,-531.58,18.85,1635.06,1785.95,9468.07,9582.78,7887.9,8025.38,6732.01,10953.2,16243.97,12957.3,11080.69,10483.07,8702.5,4441.94,2861.41,5967.74,16266.65,18979.69,24685.44,30542.48,32207.51,31202.54,43299.47,46936.2,33962.9,11027.53,5355.29,4932.01,-1255.08,6481.54,12628.9,10772.62,17667.96,10983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,101622.1,141651,171255.7,187980,171979.8,301094.3,404450.7,269907.3,319004.2,404882,517609,,매출액,27893.91,22621.24,24329.82,23677.09,26463.22,23841.63,26035.89,27752.26,38599.45,39826.63,32784.75,37163.17,38163.94,42420.96,51189.09,47997.78,46419.58,48832.61,44557.95,34847.35,38498.74,40742.37,53242.65,61958.97,66570.32,79746.11,88913.99,87458.34,102542.7,113355.6,99889.84,64203.3,59957.13,63960.77,65086.35,69451.35,82355.01,78931.03,74512.48,0,
,매출액성장율,-2.25,39.4,20.9,9.8,-8.5,75.1,34.3,-33.3,18.2,26.9,27.8,,영업이익,3962.12,-2741.72,-2005.73,-2967.66,-578.88,-2030.84,-585.47,2224.86,10881.48,11072.58,7972.24,10861.96,10127.67,12773.99,16709.91,15715.45,13740.65,13547.4,7761.57,5163.02,4158.2,5825.42,14977.55,23880.02,29993.79,36137.47,43396.63,43650.63,54790.12,63899.84,43450.19,12169.9,3654.01,3089.13,919.35,7213.8,17589.37,12135.23,8520.37,0,
,,,,,,,,,,,,,,순이익,6253.24,-5341.48,-2616.03,-2986.53,-766.38,-1631.49,484.5,838.51,9350.35,11130.51,6650.3,8753.58,6518.87,10820.87,11624.29,12672.47,11341.9,10317.65,5858.78,4280.34,2843.71,4658.52,14767.65,18723.37,24375.44,29385.55,28623.61,31946.53,42058.29,46111.44,33954.6,9442.76,3772.35,4186.87,-2559.04,6919.38,12036.27,8882.83,14339.93,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,-2273.49,33797.85,51094.66,53361,32767.46,137213.3,208437.5,27191.79,50126.24,120123,195577,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-161.6,1586.6,51.2,4.4,-38.6,318.7,51.9,-87,84.3,139.6,62.8,,매출액,114881.6,105053.7,103958.3,99910.15,98646.06,99969.83,101622.1,105549.7,118556.6,135158,141651,151266.5,151168.7,153453.2,171255.7,182012.2,189169.2,195298.9,187980,176353.7,169377.2,162563.3,171979.8,198317.8,225831.3,264395.7,301094.3,325396.1,362178.4,395345.4,404450.7,384980.3,345797.3,300017,269907.3,274169.7,295713,308613,319004.2,329723.3,
,,,,,,,,,,,,,,영업이익,20757.89,8053.3,3690.66,-2172.79,-6589.21,-4061.84,-2273.49,3531.47,14615.03,26500.06,33797.85,41201,40903.64,42270.57,51094.66,56407.3,59323.43,60143.84,53361,43093.68,33867.41,27294.82,32767.46,51825.47,77803.94,107916.3,137213.3,156210.7,181442.8,208795.1,208437.5,178429,129066.1,69067.55,27191.79,21529.9,34620.75,42892.1,50126.24,56042.23,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,19125.87,2183.87,-566.05,-6010.24,-11252.69,-5622.84,-1588.86,2908.28,12907.93,22471.86,28724.7,34964.13,32228.07,33598.49,41954.56,46886.48,51235.16,50765.03,43223.56,34708.2,26488.92,21973.59,29537.74,44075.49,65899.52,90474.26,106415.1,118638,137252,153645.7,155401.1,135226.1,97281.92,55277.73,20059.75,15513.76,22787.37,28627.98,47551.02,52052.48,
,순이익,-1588.86,28724.7,41954.56,43223.56,29537.74,106415.1,155401.1,20059.75,47551.02,93718,148427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,-180.51,1907.9,46.1,3,-31.7,260.3,46,-87.1,137,97.1,58.4,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,114296,104178.3,101881.6,98522.06,97091.37,98311.76,100017.8,104093,116229.2,132214.2,138963.1,148374,147938.5,150532.8,168937.2,179771.8,188027.4,194439.1,187807.9,174657.5,166736.7,158646.4,167331.1,194442.7,222514.3,261518,297189.4,322688.8,358661.1,392270.7,403246.5,379991.5,337405.9,288011,253207.5,258455.6,280853.5,295823.8,305249.9,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,20557.96,7899.01,2709.19,-3752.99,-8293.99,-7583.11,-6162.85,-970.33,10490.03,23593.45,32151.16,40788.26,40034.45,41735.86,50473.53,55327.02,58940,59713.41,50765.07,40212.64,30630.19,22908.21,30124.19,48841.19,74676.78,104988.8,133407.9,153178.5,177974.8,205737.2,205790.8,174310,123173.9,62363.23,19832.39,14876.29,28811.65,37857.75,45458.77,0,
,EPS증가율,-180.5,1867,42.5,3,-31.7,260.3,46,-87.1,137,97.1,58.4,,순이익,20955.77,5007.9,1291.42,-4690.8,-11710.42,-8000.43,-4899.9,-1074.86,9041.87,21803.87,27969.67,35884.74,33053.26,32743.62,37717.61,41636.5,46459.53,45956.31,40190.8,31798.67,23300.48,17641.35,26550.22,40993.25,62524.98,87252.01,101108,114331.1,132014,148739.9,154070.9,131567.1,93281.15,51356.58,14842.94,12319.56,20583.48,25279.44,42178.41,0,
,BPS증가율,0,31.1,34.7,18.6,12.3,40.8,38.5,2.3,8.3,18.1,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,99,99,98,99,98,98,98,99,98,98,98,98,98,98,99,99,99,100,100,99,98,98,97,98,99,99,99,99,99,99,100,99,98,96,94,94,95,96,96,0,
,주가,25750,36800,47750,30750,44700,76500,60500,94100,118500,137000,,,영업이익,99,98,73,173,126,187,271,-26,72,89,95,99,98,99,99,98,99,99,95,93,90,84,92,94,96,97,97,98,98,99,99,98,95,90,73,69,83,88,91,0,
,주가상승율,17.31,42.91,29.76,-35.6,45.37,71.14,-20.92,55.54,25.93,15.61,,,순이익,110,229,-227,78,104,142,308,-36,70,97,97,103,103,97,90,89,91,91,93,92,88,80,90,93,95,96,95,96,96,97,99,97,96,93,74,79,90,88,89,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매출총이익율+영업이익율+주가,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출총이익율,28.62,19.51,16.27,12.21,10.81,13.68,15.85,20.5,26.72,33.02,37.42,40.79,42.1,42.98,44.75,45.71,46.3,45.84,44.06,41.46,38.07,35.5,37.28,42.34,48.62,53.82,57.81,59.74,61.33,63.38,62.47,58.73,52.1,40.95,30.28,28.03,30.47,32.53,33.89,,
,,,,,,,,,,,,,,영업이익율,18.1,7.7,3.6,0,0,0,0,3.3,12.3,19.6,23.9,27.2,27.1,27.5,29.8,31,31.4,30.8,28.4,24.4,20,16.8,19.1,26.1,34.5,40.8,45.6,48,50.1,52.8,51.5,46.3,37.3,23,10.1,7.9,11.7,13.9,15.7,17,
,,,,,,,,,,,,,,주가,25050,21350,21950,29250,23850,22750,25750,28750,31200,30250,36800,36000,48550,46750,47750,45500,42300,33550,30750,28650,32400,40200,44700,50900,67400,82900,76500,81300,85700,73100,60500,74200,69500,82200,94100,83700,85100,84000,118500,137000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
