,경동나비엔,A009450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3790.14,4141.78,4289.85,5120.31,5832.53,6846.61,7267.42,7742.91,8734.09,10101,11710,,시가총액,673,673,764,985,829,1224,1491,1599,2070,2484,2223,2592,3268,3886,3694,3503,3745,4949,3981,4548,7007,7835,5484,4172,5325,4338,6535,8816,7618,6905,5293,7172,5300,5077,5937,3860,5293,6714,7088,7102,
,영업이익,139.25,197.84,134.65,242.23,458.32,477.57,408.02,448.25,670.99,861,1060,,영업이익,99.52,110.29,99.18,85.79,63.81,66.32,145.86,203.8,181.06,223.37,197.85,148.72,175.01,136.26,134.65,161.22,185.97,202.95,242.23,345.98,432.1,464.59,458.32,419.01,353.82,413.46,477.57,479.99,477.64,422.96,408.03,364.77,378.38,393.01,448.26,495.07,556.87,693.11,670.99,670.99,
,순이익,91.97,111.2,91.83,166.18,369.24,264.24,247.59,278.55,416.37,651,790,,자기자본,1414,1444,1662,1449,1460,1477,1740,1801,1817,1836,1854,1872,1881,1899,1879,1898,1937,1992,2039,2137,2232,2251,2361,2377,2437,2545,2565,2661,2728,2746,2799,2803,2873,2966,3008,3068,3185,3274,3482,3482,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3427.12,3716.01,3823.92,4483.02,5060.82,5698.2,6180.58,6554.19,7463.25,0,0,,매출액,788.48,773.7,892.09,746.47,653.47,832.31,1292.38,970.64,872.1,1004.21,1294.83,904.21,974.96,1023.52,1387.16,1031.17,1066.19,1230.85,1792.09,1319.37,1153.41,1321.38,2038.37,1388.1,1296.68,1644.34,2517.49,1640.33,1519.13,1596.98,2510.97,1649.66,1600.88,1820.17,2672.2,1832.31,1687.5,2102.73,3111.55,0,
