,광주신세계,A037710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2138.03,2066.07,2048.2,2053.32,2104.24,1349.15,1352.13,1548.79,1475.08,1475.09,,,시가총액,2936,2680,2736,3256,3296,3768,3720,4480,4280,4272,4040,3872,3968,5056,4912,4800,5120,4960,4528,4304,4064,4152,3976,3904,3984,3744,3672,3568,3616,3312,2880,2960,2936,2744,2624,2080,2184,2512,2448,2816,
,영업이익,581.86,559.82,518.36,547.72,560.47,526.06,500.69,551.03,483.1,483.1,,,영업이익,546.88,565.13,584.38,588.1,586.6,571.31,581.86,570.26,566.1,566.77,559.82,555.29,544.8,544.93,518.36,517.9,517.82,524.4,547.72,551.16,555.99,558.23,560.47,551.06,555.05,554.36,526.05,516.54,493.74,484.43,500.69,517.15,515.64,537.38,551.02,514.06,532.49,493.33,483.1,483.1,
,순이익,537.7,485.7,422.36,459.01,455.54,478.46,450.93,476.69,431.6,431.6,,,자기자본,2842,2954,3102,3222,3354,3458,3616,3725,3859,3945,4087,4178,4280,4369,4486,4579,4685,4782,4914,5011,5113,5215,5343,5437,5545,5649,5794,5886,5991,6096,6207,6278,6383,6498,6612,6653,6771,6858,6983,6983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2138.03,2066.07,2048.2,2053.32,2104.24,1349.15,1352.13,1548.79,1475.08,,,,매출액,528.53,528.8,566.38,566.61,504.71,508.27,558.44,527.56,495.66,500.51,542.34,525.99,493.61,505.3,523.3,518.8,485.81,503.72,544.99,529.73,503.74,515.48,555.29,517.38,507.53,505.18,-180.94,324.57,314.43,319.64,393.49,371.43,351.77,379.78,445.81,332.95,389.39,327.46,425.29,0,
,영업이익,581.86,559.82,518.36,547.72,560.47,526.06,500.69,551.03,483.1,,,,영업이익,143.88,121.25,170.25,152.72,142.38,105.96,180.8,141.12,138.22,106.63,173.85,136.59,127.73,106.76,147.28,136.13,127.65,113.34,170.6,139.57,132.48,115.58,172.84,130.16,136.47,114.89,144.53,120.65,113.67,105.58,160.79,137.11,112.16,127.32,174.43,100.15,130.59,88.16,164.2,0,
