,대우건설,A047040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,82234.33,87821.96,99950.23,98899.65,111059.3,117668.4,106054.9,86518.52,81367.06,96325,114152,,시가총액,44472,37905,43640,42394,36409,43433,41354,38071,29468,36118,30631,33042,36450,31920,24480,32335,25685,26517,23275,26600,23316,26434,21114,29966,31504,29966,24605,21903,24397,24605,22402,21114,20532,20075,19701,11658,14256,11575,20719,27971,
,영업이익,3456.87,-2446.64,4269.72,1689.35,-4672.42,4290.26,6287.34,3640.61,5582.58,6964,8809,,영업이익,-7861.42,-3833.33,2975.19,3250.26,2519.49,2664.31,3456.87,3492.25,3719.39,3810.71,-2446.65,-2293.49,-2204.74,-2308.88,4269.72,3548.42,3453.3,3715.54,1689.34,1923.1,2007.05,1869.41,-4672.42,-3277.4,-1945.8,-1872.27,4290.26,3899.43,3058.19,3836.66,6287.35,5452.45,4853.04,4128.35,3640.62,3864.74,3658.46,3497.66,5582.58,5888.1,
,순이익,1769.02,-7178.07,1324.03,1059.03,-7358.47,2589.37,2986.86,2086.15,2838.11,4288,5783,,자기자본,33745,33897,33441,33717,34182,34506,33535,34220,34848,34208,25962,26828,26357,26484,26297,25808,26654,27411,27355,27331,27139,26585,20316,21815,23236,24233,22426,21187,22223,22794,22819,23491,24412,25164,24587,25719,26101,26452,26744,27685,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,81802.7,84170.75,98530.92,98317.06,109646.2,113320.6,102046.8,80919.39,76372.56,0,0,,매출액,17588.4,15272.22,21271.4,16380.16,21965.62,22346.97,21541.58,22692.86,23269.16,20196.35,21663.59,21653.58,25458.8,26063.09,26774.76,21937.85,25775.75,25653.45,25532.59,25588.94,30286.11,28060.71,27123.54,26401.45,31140.54,30980.4,29146.02,26528.25,29639.03,27285.03,22602.63,20308.74,22308.29,20808.55,23092.93,19858.27,19632.07,18962.7,22914.02,21294,
,영업이익,3652.16,-2530.99,4154.8,1600.63,-4660.78,3569.3,5694.9,1561.53,3770.87,0,0,,영업이익,1552.58,806.09,-223.48,1115.07,821.81,950.91,569.08,1150.45,1048.95,1042.23,-5688.28,1303.61,1137.7,938.09,890.32,582.31,1042.58,1200.33,-1135.88,816.07,1126.53,1062.69,-7677.71,2211.09,2458.13,1136.22,-1515.18,1820.26,1616.89,1914.69,935.51,985.36,1017.48,1190,447.78,1209.48,811.2,1029.2,2532.7,1515,
,순이익,1593.99,-7436.08,1348.8,1088.43,-7620.06,2227.94,2476.31,77.8,1769.07,0,0,,순이익,1043.85,77.71,163.74,309.07,690.66,428.71,340.58,308.64,386.74,465.36,-8338.81,685.42,300.96,-13.74,351.39,206.6,795.12,209.12,-151.8,-70.27,538.62,681.58,-8508.4,1921.01,1311.4,894.91,-1537.95,1115.59,876.35,679.08,315.85,564.35,828.94,475.62,217.24,618.69,525.71,563.6,1130.12,941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,82234.33,87821.96,99950.23,98899.65,111059.3,117668.4,106054.9,86518.52,81367.06,96325,114152,,매출액,17340.86,15701.47,21439.97,16144.89,21900.9,22245.93,21510.98,20314.85,23097.43,20065.57,20692.91,20730.16,25107.5,25844.25,26849.02,21932.76,25168.87,26021.5,25651.62,25503.37,29959.55,27812.01,26371.23,26000.37,30688.77,28432.94,28198.49,25545.12,28515.33,26263.75,21722.54,19332.51,21362.56,19457.06,20767.25,19315.18,18835.5,18430.11,19791.76,0,
,매출액성장율,17.15,6.8,13.8,-1.1,12.3,6,-9.9,-18.4,-6,18.4,18.5,,영업이익,1026.2,713.2,863.34,1108.72,997.08,1129.67,416.69,1093.41,1083.2,1075.22,-5782.83,1194.89,1030.22,973.97,955.73,639.28,923.93,1208.44,573.97,625.67,1056.9,979.46,-7322.8,2211.91,2475.72,554.92,-1673.25,1682.42,1386.32,1788.93,837.22,863.37,769.16,860.04,-931.03,1184.84,761.84,991.42,832.78,0,
