,대우조선해양,A042660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,135435.4,145848.3,155615.6,154436.1,128192.2,111018.2,96443.84,83587.45,70301.75,71687,79056,,시가총액,86604,43637,46508,57991,50144,49666,51963,52632,48326,66221,66987,61245,49187,38852,35694,34163,25455,12192,9704,14081,11565,12249,12249,29378,29378,47053,14599,29437,28946,37147,36611,29964,35056,32805,29857,14258,28999,25515,29398,30578,
,영업이익,-720.51,-10100.35,-5650.64,-21244.94,-15308.41,7330.04,10248.32,2927.61,1534.37,1831,2621,,영업이익,17433.1,15652.21,9671.81,6747.85,5081.76,3635.43,-720.51,-1464.94,-1611.14,-1639.59,-10100.35,-9966.87,-10207.89,-10037.79,-5650.63,-12211.02,-19058.65,-26848.58,-21244.94,-13948.85,-11654.44,-7061.99,-15308.41,-14617.31,-4443.51,-615.13,7330.03,8083.34,3730.36,3540.84,10248.32,9258.34,8912.28,4579.76,2927.6,3721.52,2507.04,5405.41,1534.37,-1244.77,
,순이익,-2327.86,-8932.73,-7736.11,-20975.13,-27341.39,6214.92,3447.22,-464.85,865.73,-673,-432,,자기자본,43295,45540,43480,45837,47149,47674,39833,46841,47369,48310,30774,49548,49401,49888,22364,47851,24775,12761,9291,10529,10529,10529,10269,12236,42134,42915,33934,37273,39538,36723,38402,40415,41881,38902,37549,39988,40501,40267,38690,38698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
