,롯데지주,A004990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,18644.93,19763.67,22247.65,22579.41,22482.63,18689.88,72711.72,88561.61,90866.49,113008,0,,시가총액,24178,21520,24263,23581,22231,22060,23169,26026,22842,24235,27177,25912,27461,30972,25301,25372,27632,31257,32394,37298,27788,25017,25372,27575,28144,23595,47968,46789,65113,66559,61430,51825,46160,38030,40862,24916,33151,30004,37033,34987,
,영업이익,1153.95,915.37,1147.7,1444.62,1277.69,-67.64,984.18,1748.55,1562.49,2895,0,,영업이익,1699.01,1720.9,1732.24,1680.62,1436.42,1331.21,1153.96,1065.93,922.9,803.8,915.37,963.16,1071.78,1127.05,1147.7,1164.57,1242.03,1358.99,1444.6,1439.48,1371.25,924.98,1277.68,1299.91,1279.1,1263.92,-67.63,-303.13,-269.88,62.46,984.18,1070.12,1311.86,1610.9,1748.54,1689.63,1620.27,1908.01,1562.49,1690.84,
,순이익,916.25,507.28,-28.51,752.31,698.11,4688.15,1850.73,-3595.4,-1984.29,4761,0,,자기자본,28094,26088,25307,25919,25235,25858,27056,27942,26622,27909,28124,26500,26380,27496,24829,24939,27059,27720,25872,25488,24354,24192,24426,24198,26611,10792,61148,61025,70170,70666,71130,72384,73605,75401,66998,66024,66433,67734,64172,65822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
