,메리츠화재,A000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,47686.61,37177.54,51967.44,56658.3,60019.2,64286.54,71072.98,80830.14,91806,94803,100183,,시가총액,11476,9338,11411,12474,10830,12233,13683,11556,12869,13983,15351,15047,12514,13274,13192,12027,17219,16848,17113,17325,16220,16992,16882,17323,22123,27198,25929,23226,21185,21997,24839,27624,23532,21713,20292,13187,14381,14608,17611,22557,
,영업이익,1812.8,1747.77,1566.2,2247.07,3143.2,5136.3,3127.35,3527.56,6080.12,6129,6788,,영업이익,1842.4,2092.05,2337.02,2099.37,1702.9,1650.13,1372.85,1812.8,2054.85,2194.47,2384.07,2153.91,1877.8,1808.27,1566.21,1418.02,1854.51,1946.08,2247.07,2609.86,2706.27,3077.15,3143.21,3919.08,4740.8,4718.73,5136.3,4588.38,3778.31,3681.93,3127.35,3285.9,3523.74,3651.46,3527.56,3983.17,4269.11,4792.49,6080.12,5944.27,
,순이익,1357.41,1326.49,1145.49,1685.17,2364.97,3838.33,2338.18,3004.37,4310.95,4483,4846,,자기자본,7081,8210,8668,8985,9099,10409,10141,10862,10288,10709,10393,10664,11680,12612,13976,14359,14343,14899,14762,15032,20040,20774,16326,15607,17382,17586,17732,15715,16672,19409,22765,23745,27064,28945,24324,24499,25914,27272,26748,27907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,47627.46,37105.61,51892.64,56574.09,59916.06,64166.76,70943.22,80677.34,91647.3,0,0,,매출액,10123.25,10414.51,10746.02,11082.69,11661.14,11866.33,12162.64,11996.49,12151.06,12344.24,12682.24,12566.19,12874.95,13006.78,13519.52,13747.05,14047.03,14178.17,14686.05,14681.82,15094.27,14847.02,15396.1,15561.68,16203.17,16000.42,16521.27,17042.41,17585.77,17705.59,18739.21,19143.15,19721.34,20396.15,21569.49,22311.84,22667.8,22936.95,23889.41,22960,
,영업이익,1805.63,1743.69,1541.56,2278.85,3415.22,4741.66,3529.6,3124.21,6102.88,0,0,,영업이익,824.4,532.65,545.97,196.35,427.93,479.88,268.69,636.3,669.98,619.5,458.29,406.14,393.87,549.97,216.23,257.95,830.36,641.54,517.22,620.74,926.77,1012.42,583.28,1396.61,1748.49,990.35,1000.85,848.69,938.42,893.97,446.27,1007.24,1176.26,1021.69,322.37,1462.85,1462.2,1545.07,1610,1327,
,순이익,1351.8,1332.9,1127.34,1713.12,2578.23,3551.39,2600.43,2711.82,4334.13,0,0,,순이익,650.81,393.24,403.68,152.14,319.93,362.59,199.32,475.57,504.7,461.9,359.88,304.09,293.26,411.44,136.7,191.93,624.97,480.69,387.58,487.05,699.53,746.6,431.8,1053.62,1322.73,755.73,706.25,608.08,715.57,645.54,368.99,731.21,850.06,747.88,675.22,1027.3,1065.8,1107.8,1110.05,1159,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,47686.61,37177.54,51967.44,56658.3,60019.2,64286.54,71072.98,80830.14,91806,94803,100183,,매출액,11644.1,12420.83,12283.12,11769.04,13076.46,13687.18,14290.9,13248.68,14069.57,15022.79,14030.67,14633.36,15397.76,14629.62,15585.41,16195.44,16241.38,18148.49,16896.89,17579.48,17249.32,18684.85,17569.15,20236.47,18511.61,18991.71,20799.14,20045.63,21219.04,20418.85,22231.18,23093.08,24409.92,26670.02,26415.66,28594.91,27110.47,27333.93,27789,0,
,매출액성장율,12.56,-22,39.8,9,5.9,7.1,10.6,13.7,13.6,3.3,5.7,,영업이익,683.77,509.38,545.87,399.14,634.74,461.41,297.02,353.72,691.15,600.54,478.24,407.64,383.21,485.57,265.14,273.12,798.36,739.45,467.92,784.81,1033.22,1110.24,486.95,1176.06,1514.76,1221.77,829.08,872.82,953.84,1012.94,690,903.6,977.1,1044.87,198.63,1517.14,1456.58,1534.51,1594.66,0,
,,,,,,,,,,,,,,순이익,516.18,399.82,405.95,324.07,476.58,348.7,221.1,260.72,518.97,452.54,381.36,303.93,285.63,363.2,174.57,205.05,602.58,555.17,350.32,615.61,780.67,822.16,359.79,888.01,1146.61,933.73,583.04,631.07,689.23,729.33,550.8,658.02,703.4,765.86,584.53,1076.41,1057.63,1101.58,1098.52,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
