,삼성증권,A016360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,9678.1,4544.94,7685.13,9958.67,7942.21,9670.09,11341.97,12218,14926.33,17960,16796,,시가총액,52800,34754,37759,43415,37415,40052,40816,41428,35237,35963,33670,29848,33861,33708,34052,39976,41734,34740,31912,31530,26982,26447,24230,30139,36881,30853,32684,35140,31032,29156,28130,29737,34916,31568,34470,25272,23531,27326,36122,36702,
,영업이익,2375.38,-3.92,1669.82,3766.6,2116.7,3603.13,4581.27,5175.59,6779.61,9284,7939,,영업이익,3499.37,3537.68,2787.72,2909.56,2383.71,2495.33,2593.48,2375.38,2109.86,1352.08,802.81,478.6,289.36,898.89,1669.81,2307.72,4085.19,3933.37,3766.6,3268.35,2205.99,2261.81,2116.71,2241.03,2441.77,2944.97,3603.14,4657.6,5095.97,4862.35,4581.26,4276.38,4297.28,4572.16,5175.59,3899.24,4324.98,6296.12,6779.61,10230.87,
,순이익,1637.05,110.35,2294.63,2750.42,1742.42,2716.28,3340.86,3918.29,5077.87,7066,6026,,자기자본,27227,27485,31531,32465,32387,32909,32783,33427,32988,33100,32958,33565,33269,35023,34268,34462,35741,36286,35238,34036,34732,34974,38269,41684,42539,43417,44096,44626,45961,46431,46621,46768,47836,48707,49493,48057,49648,51993,53171,55741,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7823.19,4324.6,7251.26,9537.35,7454.57,9170.23,10762.24,11369.96,14126.86,0,0,,매출액,3145.61,3014.86,2451.08,3221.31,2270.93,2834.52,2039.75,2532.91,1910.49,1542.91,1091.53,1874.04,1800.91,2151.2,1858.99,2625.81,3403.73,2036.53,1892.61,2058.61,2200.45,2054.96,1628.2,2178.13,2368.79,2712.97,2410.19,3626.36,3099.52,2522.44,2093.65,3106.13,3067.29,2958.54,3086.04,1810.97,3849.49,5253.55,4012.33,5760,
