,셀트리온,A068270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,3501.96,2262.08,4710.46,6034.13,6705.81,9490.8,9820.75,11284.6,18491.16,28769,25867,,시가총액,51499,51445,42298,43091,52897,48898,52347,54095,41985,46986,39671,45516,48187,50684,42220,74443,87186,76066,97817,127702,112043,124052,131486,110551,141118,174142,276615,387210,380577,372426,284685,231596,263716,210472,243804,249208,412915,347609,494248,433766,
,영업이익,1954.5,998.45,2014.69,2589.54,2496.94,5078.29,3386.95,3780.59,7121.07,13394,11133,,영업이익,1366.99,1522.06,1809.66,1885.65,1873.03,1849.04,1969.92,1934.31,1878.11,1844.98,998.46,919.59,1542.92,1485.24,2014.69,2067.29,1898.84,2269.91,2589.55,2450.28,2410.26,2418.94,2496.94,3121.04,3733.3,4311.75,5078.28,5337.44,5011.78,4429.56,3386.95,3007.41,2783.4,3078.64,3780.59,4209.44,5194.24,6615.49,7121.06,7661.65,
,순이익,1744.31,1024.55,1126.76,1540.9,1779.95,3824.67,2618.42,2975.57,5112.89,12686,8219,,자기자본,8486,8926,8995,9321,9587,9998,10501,10857,10641,10914,10871,11025,11760,12287,12474,12337,15301,16136,16942,18512,19207,19798,20536,20882,22014,23151,23089,25010,25951,25342,25240,25358,26331,26992,27942,28923,30524,32363,33353,35248,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
