,아시아나항공,A020560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,58878.73,57235.06,58362.35,55407.04,57635.51,65941.4,71833.87,68868.47,38953.14,44981,60470,,시가총액,17683,14159,11810,13716,14496,13540,12077,11238,10243,9989,9628,9833,9062,8936,13911,17208,12369,10301,9033,9492,8526,11029,8661,9195,12581,8671,9307,9779,8497,8959,8486,7204,12146,11371,11947,7378,8572,8751,9398,11273,
,영업이익,1793.68,-112.35,980.86,460.79,2564.84,2456.29,282.33,-4357.09,-2763.56,-942,1290,,영업이익,4174.59,3498.5,3582.9,3351.83,3164.23,2450.02,1793.68,1111.71,423.38,-30.94,-112.36,77.5,406.73,429.56,980.85,1771.88,1070.53,868.67,460.78,49.21,1008.5,2069.6,2564.85,2469.78,2610.02,2278.71,2456.29,2848.67,2659.28,2445.06,282.32,-301.67,-1780.99,-3321.7,-4357.09,-7348.86,-5873.85,-5169.89,-2763.56,-2763.56,
,순이익,613.82,-1156.58,621.81,-1380.8,492.67,2518.78,-1978.83,-7852.77,-3998.17,-3213,-1030,,자기자본,9545,8931,8578,9179,8680,9786,10005,9453,8487,9417,8999,8803,8832,9123,10059,10862,9816,9311,8296,8775,8496,9982,8920,10142,9559,9533,11458,11600,11191,11620,9392,9334,13156,10915,7929,1273,4875,4991,10314,10314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
