,에스에프에이,A056190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5074.82,4785.01,4151.37,5260.64,13197.48,19203.85,15600.55,15777.46,15511.71,17164,19089,,시가총액,9534,10611,10952,9606,9731,8169,8474,10970,10306,7963,7379,7891,6877,7792,8914,9947,8834,8079,8878,11024,8932,9677,11581,13053,16141,14848,13915,12424,11760,13143,12424,15548,14489,15154,16608,11204,11742,13717,13861,15100,
,영업이익,700.28,645.86,457.5,580.09,1208.09,2360.88,2343.57,2142.05,1673.33,2113,2448,,영업이익,915.49,800.87,959.76,866.18,709.23,679.6,650.27,753.73,846.38,911.72,645.86,490.71,328.27,266.07,457.5,455.02,586.23,639.27,580.09,602.46,622.52,742.16,1208.08,1604.19,2189.54,2519.99,2360.88,2430.71,2255.61,2198.95,2343.57,2235.59,2116.27,2003.82,2142.05,2166.59,2168.32,2029.98,1673.33,1615.21,
,순이익,713.17,630.88,413.06,308.36,782.37,1969.3,1579.49,1319.87,1082.56,1513,1701,,자기자본,3096,3218,3563,3392,3509,3472,3730,3734,4327,4509,4617,4477,4502,4566,4775,4693,4742,4831,4964,4980,5176,5399,5687,5945,6857,7367,7773,7516,7492,7573,7849,7754,8029,8288,8754,8656,8946,9756,10355,10584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4808.92,4508.32,3784.9,4965.65,8499.72,13138.65,9443.1,8608.49,8354.09,0,0,,매출액,2091.25,1520.67,2580.66,1003.46,1010.82,980.1,1896.6,1156.77,1493.79,1183.05,951.39,573.5,695.43,1235.15,1647.28,870.25,1427.45,1428.81,1534.13,2052.71,2794.24,3201.92,5148.61,4614.58,5747.86,4582.46,4258.95,4042.8,3727.89,3926.67,3903.19,3192.73,3488.06,4087.78,5008.9,3676.44,4187.54,3811.42,3836.31,3607,
,영업이익,644.73,579.95,387.47,512.89,1046.78,1920.01,1772.17,1559.29,1057.32,0,0,,영업이익,271.49,149.38,365.89,79.42,114.54,119.75,336.56,182.88,207.19,185.09,70.7,27.73,44.75,122.89,262.13,25.25,175.96,175.93,202.95,47.62,196.02,295.57,668.87,443.73,781.37,626.02,509.76,513.56,606.27,569.36,654.38,405.58,486.95,456.91,792.61,430.12,488.68,318.57,435.96,372,
,순이익,683.4,597.94,379.46,346.46,904.56,1787.61,1425.78,1623.93,1135.46,0,0,,순이익,246.74,116.88,248.49,171.57,118.2,116.4,275.16,173.27,171.29,183.58,102.75,47.33,68.97,103.76,192.99,32.15,48.35,85.36,142.5,115.38,174.04,248.83,244.12,488.23,535.24,498.23,447.6,374.28,470.06,400.74,334.41,302.7,269.66,242.18,505.33,198.24,301.33,242.11,340.88,229,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
