,엔씨소프트,A036570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7535.2,7566.56,8387.18,8382.98,9835.57,17587.22,17151.16,17011.85,24161.84,29778,37600,,시가총액,63514,73607,67181,65457,59764,52000,32956,34397,35502,41857,54458,47803,40020,29495,39911,37828,43529,41446,46709,55042,51752,64800,54274,66226,83221,101907,98177,92144,81394,97080,102346,108818,104685,114380,118771,136993,195610,176949,204392,201099,
,영업이익,1512.52,2052.35,2781.88,2374.66,3287.62,5850.19,6149.29,4789.92,8247.94,11020,15473,,영업이익,2158.52,2104.45,1977.29,1750.48,1224.64,1002.63,1822.84,2078.77,2588.57,2595.95,2052.36,1942.44,1969.44,2475.52,2781.88,2785.35,2806.85,2499.33,2374.66,2683.84,2874.34,3019.61,3287.62,2834.15,2348.33,4975.12,5850.19,7584.19,8803.64,6915.8,6149.3,4906.06,4605.02,4504.07,4789.92,6409.02,7204.79,8092.37,8247.94,7018.7,
,순이익,1558.02,1587.56,2299.58,1653.93,2722.69,4409.67,4181.85,3581.74,5874.03,8236,11568,,자기자본,8960,9421,8556,9952,10172,10492,10006,10383,10725,10975,11412,11711,12198,12975,13606,16474,17043,17367,17695,16223,17091,17517,18856,18141,21887,24477,27212,25323,26643,24822,23677,23761,24361,24627,24992,25936,27759,32109,31416,32261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4753.02,5304.4,6126.52,6166.04,7441.36,15466.36,15299.13,15258.68,22424.31,0,0,,매출액,1401.48,1240.94,1090.05,1158.64,1165.56,1130.55,2833.53,1848.75,1920.14,1697.4,2100.26,1781.47,2138.11,2116.15,2351.45,1881.13,2175.38,1956.71,2369.75,2408.48,2405.26,2175.59,2846.24,2395.03,2586.23,7272.65,5333.3,4751.69,4364.61,4038.31,3996.55,3587.56,4107.86,3978.09,5338.34,7311.11,5385.67,5851.7,5613.36,5397,
,영업이익,1010.09,1840.91,2693.71,2572.51,3191.54,6189.76,6810.37,5569.3,8685.39,0,0,,영업이익,638.52,521.93,290.84,299.19,112.68,299.92,1111.05,555.12,622.48,307.3,567.46,445.2,649.48,813.38,873.82,448.67,670.98,505.86,749.15,757.85,861.48,651.13,1017.16,304.38,375.66,3277.92,1892.23,2038.38,1595.11,1390.08,1125.73,795.14,1294.07,1289.13,1411.58,2414.24,2089.84,2176.71,1567.15,1185,
,순이익,687.49,1425.69,2067.71,1875.89,2872.26,4715.74,4384.26,3074.92,6275.24,0,0,,순이익,566.56,456.2,271.79,283.33,142.54,326.76,1043.13,520.82,340.59,253.88,472.28,368.07,542.7,761.07,627.76,356.42,569.76,303.17,424.58,662.24,906.21,482.08,672.15,175.47,306.85,2746.05,1181.3,1187.57,1399.44,928.69,666.16,741.89,1164.23,1133.39,542.23,1954.59,1582.1,1531.61,805.73,845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7535.2,7566.56,8387.18,8382.98,9835.57,17587.22,17151.16,17011.85,24161.84,29778,37600,,매출액,1401.48,1240.94,1090.05,1158.64,1165.56,1130.55,1298.27,1247.73,1366.85,1177.71,1512.1,1339.39,1361.9,1559.15,1866.07,1438.19,1601.73,1467.15,1658.98,1693.55,1771.16,1638.11,2338.53,1936.04,2100.43,6765.1,4664.79,4283.53,3871.96,3504.24,3639.4,3207.81,3615.89,3467.67,4967.31,6941.36,4933.38,5362.31,5187.26,0,
,매출액성장율,23.76,0.4,10.8,-0.1,17.3,78.8,-2.5,-0.8,42,23.2,26.3,,영업이익,627.89,495.57,290.84,299.19,112.68,299.92,298.3,371.4,653.17,276.64,539.7,410.31,542.34,803.6,937.46,467.62,748.06,662.5,694.32,558.63,812.63,691.64,1128.63,403.23,488.38,3453.41,1844.73,2103.32,1715.72,1533.27,1458.06,963.66,1479.65,1426.39,1699.6,2456.71,2253.31,2274.84,1700.54,0,
,,,,,,,,,,,,,,순이익,566.56,456.2,271.79,283.33,142.54,326.76,-65.14,352.76,381.22,246.14,445.58,326.31,445.22,612,684.18,399.19,654.55,442.25,379.91,585.97,886.83,471.44,783.78,206.47,479.22,2933.75,1096.3,1284.15,1526.58,622.41,951.12,1018.69,1338.74,1288.1,-570.61,1957.1,1623.17,1672.1,1022.86,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,1512.52,2052.35,2781.88,2374.66,3287.62,5850.19,6149.29,4789.92,8247.94,11020,15473,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,11.44,35.7,35.5,-14.6,38.4,77.9,5.1,-22.1,72.2,33.6,40.4,,매출액,5165.48,5185.42,5001.47,4891.11,4655.19,4544.8,6288.28,6978.39,7732.97,8299.82,7566.55,7499.27,7717.24,8135.99,8387.18,8486.84,8524.11,8364.67,8382.97,8910.32,9140.2,9359.08,9835.57,9822.12,10003.09,15100.15,17587.21,19943.87,21722.25,18487.91,17151.16,15987.03,15730.28,15670.06,17011.85,20735.4,22013.21,23886.82,24161.84,22247.73,
,,,,,,,,,,,,,,영업이익,2158.52,2104.45,1977.29,1750.48,1224.64,1002.63,1822.84,2078.77,2588.57,2595.95,2052.36,1942.44,1969.44,2475.52,2781.88,2785.35,2806.85,2499.33,2374.66,2683.84,2874.34,3019.61,3287.62,2834.15,2348.33,4975.12,5850.19,7584.19,8803.64,6915.8,6149.3,4906.06,4605.02,4504.07,4789.92,6409.02,7204.79,8092.37,8247.94,7018.7,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,1925.56,1897.76,1769.55,1577.88,1153.86,1024.42,1795.76,2033.25,2231.3,2158.42,1587.57,1434.82,1636.93,2144.12,2299.6,2287.95,2315.01,1857.11,1653.93,1959.75,2296.2,2475.11,2722.68,2235.91,1636.55,3900.52,4409.67,5421.77,6514.36,4697,4181.86,3736.18,3500.97,3705.67,3581.74,4794.44,5212.31,5610.53,5874.03,4764.44,
,순이익,1558.02,1587.56,2299.58,1653.93,2722.69,4409.67,4181.85,3581.74,5874.03,8236,11568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,29.1,1.9,44.8,-28.1,64.6,62,-5.2,-14.4,64,40.2,40.5,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,5166.68,5186.2,5001.77,4891.1,4655.19,4544.81,4753.02,4842.11,5043.4,5090.56,5304.4,5396.06,5391.11,5772.55,6126.52,6225.31,6465.14,6373.14,6166.04,6421.41,6590.84,6761.8,7441.36,7683.85,8013.12,13140.11,15466.36,17813.85,19585.38,16324.52,15299.13,14223.41,13967.34,13930.77,15258.68,18992.23,20309.71,22204.35,22424.31,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,2271.78,2185.99,1949.85,1713.49,1198.28,1002.63,1010.09,1082.29,1622.78,1599.51,1840.91,1879.83,1769,2295.95,2693.71,2751.01,2956.73,2815.64,2572.51,2663.52,2728.09,2757.24,3191.54,3036.14,2711.89,5473.65,6189.76,7889.85,9117.19,7197.05,6810.37,5670.72,5434.64,5327.77,5569.3,7062.35,7836.01,8684.45,8685.39,0,
,EPS증가율,29.1,1.8,44.8,-28.1,64.6,61.9,-5.2,-14.4,64,40.2,40.5,,순이익,1893,1876.19,1769.25,1577.88,1153.86,1024.42,687.49,756.92,995.6,914.97,1425.69,1399.24,1463.25,1829.12,2067.71,2140.59,2349.91,2180.16,1875.89,2062.68,2294.96,2324.15,2728.03,2348.52,1940.91,4403.22,4715.74,5793.42,6840.79,4529.45,4384.26,4118.8,3930.95,4596.64,3074.92,4013.33,4297.76,4681.77,6275.24,0,
,BPS증가율,0.2,14,19.1,30.1,6.6,44.3,-13,5.5,25.7,26.2,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,100,100,100,100,100,100,76,69,65,61,70,72,70,71,73,73,76,76,74,72,72,72,76,78,80,87,88,89,90,88,89,89,89,89,90,92,92,93,93,0,
,주가,150500,248500,182000,213000,247500,447500,466500,541000,931000,916000,,,영업이익,105,104,99,98,98,100,55,52,63,62,90,97,90,93,97,99,105,113,108,99,95,91,97,107,115,110,106,104,104,104,111,116,118,118,116,110,109,107,105,0,
,주가상승율,-51.06,65.12,-26.76,17.03,16.2,80.81,4.25,15.97,72.09,-1.61,,,순이익,98,99,100,100,100,100,38,37,45,42,90,98,89,85,90,94,102,117,113,105,100,94,100,105,119,113,107,107,105,96,105,110,112,124,86,84,82,83,107,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,매출총이익율+영업이익율+주가,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출총이익율,83.59,82.33,63.84,62.89,60.53,57.03,74.44,72.58,72.16,71.71,70.86,70.63,69.86,71.76,73.73,74.8,76.41,76.56,75.82,77,78.02,79.1,80.93,85.83,90.72,96.6,100,100.11,100.1,100.1,100,100,100,100.01,100,100,100,100,100,,
,,,,,,,,,,,,,,영업이익율,41.8,40.6,39.5,35.8,26.3,22.1,29,29.8,33.5,31.3,27.1,25.9,25.5,30.4,33.2,32.8,32.9,29.9,28.3,30.1,31.4,32.3,33.4,28.9,23.5,32.9,33.3,38,40.5,37.4,35.9,30.7,29.3,28.7,28.2,30.9,32.7,33.9,34.1,31.5,
,,,,,,,,,,,,,,주가,291000,337000,307500,299500,273000,237500,150500,157000,162000,191000,248500,218000,182500,134500,182000,172500,198500,189000,213000,251000,236000,295500,247500,302000,379500,464500,447500,420000,371000,442500,466500,496000,477000,521000,541000,624000,891000,806000,931000,916000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,영업이익율 3가지,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,영업이익율,41.8,40.6,39.5,35.8,26.3,22.1,29,29.8,33.5,31.3,27.1,25.9,25.5,30.4,33.2,32.8,32.9,29.9,28.3,30.1,31.4,32.3,33.4,28.9,23.5,32.9,33.3,38,40.5,37.4,35.9,30.7,29.3,28.7,28.2,30.9,32.7,33.9,34.1,31.5,
,,,,,,,,,,,,,,영업이익율(분기),45.6,42.1,26.7,25.8,9.7,26.5,39.2,30,32.4,18.1,27,25,30.4,38.4,37.2,23.9,30.8,25.9,31.6,31.5,35.8,29.9,35.7,12.7,14.5,45.1,35.5,42.9,36.5,34.4,28.2,22.2,31.5,32.4,26.4,33,38.8,37.2,27.9,22,
,,,,,,,,,,,,,,영업이익율(개별),43.97,42.15,38.98,35.03,25.74,22.06,21.25,22.35,32.18,31.42,34.71,34.84,32.81,39.77,43.97,44.19,45.73,44.18,41.72,41.48,41.39,40.78,42.89,39.51,33.84,41.66,40.02,44.29,46.55,44.09,44.51,39.87,38.91,38.24,36.5,37.19,38.58,39.11,38.73,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,순이익율(연결)+순이익율(개별),11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,순이익율(연결 연환산),37.3,36.6,35.4,32.3,24.8,22.5,28.6,29.1,28.9,26,21,19.1,21.2,26.4,27.4,27,27.2,22.2,19.7,22,25.1,26.4,27.7,22.8,16.4,25.8,25.1,27.2,30,25.4,24.4,23.4,22.3,23.6,21.1,23.1,23.7,23.5,24.3,21.4,
,,,,,,,,,,,,,,순이익율(개별 연환산),36.64,36.18,35.37,32.26,24.79,22.54,14.46,15.63,19.74,17.97,26.88,25.93,27.14,31.69,33.75,34.39,36.35,34.21,30.42,32.12,34.82,34.37,36.66,30.56,24.22,33.51,30.49,32.52,34.93,27.75,28.66,28.96,28.14,33,20.15,21.13,21.16,21.08,27.98,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ROE+ROA+부채비율,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,ROE,21.49,20.14,20.68,15.85,11.34,9.76,17.95,19.58,20.8,19.67,13.91,12.25,13.42,16.53,16.9,13.89,13.58,10.69,9.35,12.08,13.44,14.13,14.44,12.33,7.48,15.94,16.2,21.41,24.45,18.92,17.66,15.72,14.37,15.05,14.33,18.49,18.78,17.47,18.7,15.17,
,,,,,,,,,,,,,,ROA,16.52,16.45,16.08,13.36,9.61,8.6,13.85,15.24,16.01,15.26,10.86,9.47,10.67,13.43,13.66,10.94,11.02,8.6,7.52,8.83,10.43,11.09,11.58,9.52,5.99,12.39,12.53,15.62,19.78,15.53,14.27,11.39,11.07,11.63,10.75,13.48,14.36,13.38,14.4,0,
,,,,,,,,,,,,,,부채비율,30,22,28,19,18,14,29,28,29,28,28,29,25,23,23,27,23,24,24,37,29,27,25,29,25,29,29,37,24,22,24,38,30,29,33,37,31,31,30,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EPS+BPS+주가,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,EPS,8821,8689,8099,7218,5271,4680,8200,9280,10184,9851,7246,6543,7464,9777,10486,10433,10556,8468,7542,8936,10471,11286,12415,10196,7463,17778,20099,24712,29692,21408,19060,17029,15950,16882,16318,21843,23746,25561,26761,21706,
,,,,,,,,,,,,,,BPS,41044,43136,39158,45526,46469,47931,45689,47389,48950,50091,52086,53402,55622,59166,62043,75121,77715,79193,80689,73976,77934,79877,85983,82722,99804,111563,124029,115419,121436,113136,107917,108300,110984,112196,113859,118159,126465,146282,143125,146975,
,,,,,,,,,,,,,,주가,291000,337000,307500,299500,273000,237500,150500,157000,162000,191000,248500,218000,182500,134500,182000,172500,198500,189000,213000,251000,236000,295500,247500,302000,379500,464500,447500,420000,371000,442500,466500,496000,477000,521000,541000,624000,891000,806000,931000,916000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PER+PBR,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,PER,33,38.8,38,41.5,51.8,50.8,18.4,16.9,15.9,19.4,34.3,33.3,24.4,13.8,17.4,16.5,18.8,22.3,28.2,28.1,22.5,26.2,19.9,29.6,50.9,26.1,22.3,17,12.5,20.7,24.5,29.1,29.9,30.9,33.2,28.6,37.5,31.5,34.8,42.2,
,,,,,,,,,,,,,,PBR,7.09,7.81,7.85,6.58,5.88,4.96,3.29,3.31,3.31,3.81,4.77,4.08,3.28,2.27,2.93,2.3,2.55,2.39,2.64,3.39,3.03,3.7,2.88,3.65,3.8,4.16,3.61,3.64,3.05,3.91,4.32,4.58,4.3,4.64,4.75,5.28,7.05,5.51,6.51,6.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
