,예림당,A036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,513.57,1381.49,2924.94,3192.62,4527.52,6433.03,7611.09,8356.61,2935.77,2935.77,,,시가총액,1081,898,1605,1365,1410,1801,1212,1288,1136,1251,1366,1603,1601,1255,1497,1500,1274,1242,1143,1077,1143,1096,1058,1477,2730,2027,2131,2262,3225,1635,1244,1336,1096,885,864,486,496,582,688,721,
,영업이익,108.4,102.71,190.39,56.56,192.47,473.18,421.51,-246.72,-1741.95,-1741.96,,,영업이익,166.84,173.38,149.04,147.71,155.23,136.59,113.46,109.6,88.05,123.62,102.72,105.45,150.7,194.06,190.39,175.51,136.47,63.36,56.55,109.22,72.1,231.39,192.47,272.18,347.21,419.06,473.18,755.55,720.66,574.51,421.51,336.99,53.94,-160.91,-246.72,-834.84,-1047.72,-1254.53,-1741.96,-1741.96,
,순이익,81.49,70.43,85.04,23.17,53.94,196.06,169.22,-163.15,-402.32,-402.32,,,자기자본,615,646,574,600,690,696,690,708,708,737,727,787,816,870,879,858,858,871,867,929,908,1007,909,1036,1049,1183,1084,1359,1343,2310,1835,2387,2262,2188,1682,1580,1426,1333,1282,1282,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,479.96,440.69,456.63,253.2,356.96,263.74,229.52,183.98,167.02,,,,매출액,106.6,122.68,142.79,163.62,98.5,102.79,128.1,169.53,69.18,587,555.78,704.22,658.98,789.35,772.4,738.35,781.32,820.82,852.14,1030.68,1002.53,1337.05,1157.26,1529.35,1381.88,1801.79,1720.01,2122.95,1698.4,1982.47,1807.27,2473.67,1882.88,2087.49,1912.58,1543.34,302.89,544.33,545.21,0,
,영업이익,127.86,83.21,89.1,17.9,54.48,18.49,2.9,-9.49,35.45,,,,영업이익,14.84,37.54,44.66,50.67,22.36,18.9,21.53,46.81,0.81,54.47,0.63,49.54,46.06,97.83,-3.04,34.66,7.02,24.72,-9.85,87.33,-30.1,184.01,-48.77,167.04,44.93,255.86,5.35,449.41,10.04,109.71,-147.65,364.89,-273.01,-105.14,-233.46,-223.23,-485.89,-311.95,-720.89,0,
,순이익,100.67,29.27,38.57,3.44,15.98,11.22,352.14,-12.99,27.36,,,,순이익,11.28,29.66,30.94,52.53,20.18,5.99,10.64,45.36,5.95,29.43,-10.31,34.17,28.98,53.68,-31.8,14.28,0.13,12.39,-3.61,49.83,-22.22,98.17,-71.85,88.97,21.8,136.26,-50.96,217.03,-36.3,9.3,-20.82,58.21,-110.06,-72.33,-38.96,-99.13,-152.9,-93.66,-56.63,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,513.57,1381.49,2924.94,3192.62,4527.52,6433.03,7611.09,8356.61,2935.77,2935.77,,,매출액,106.6,122.68,142.79,163.62,98.5,102.79,115.04,156.78,58.05,117.84,108.01,169.26,74.6,74.15,138.62,46.21,45.48,71.23,90.27,90.3,92.19,88.02,86.46,78.43,52.53,56.72,76.06,58.54,53.84,49.51,67.62,52.19,43.98,40.69,47.12,38.06,41.68,41.42,45.86,0,
,매출액성장율,-8.81,169,111.7,9.2,41.8,42.1,18.3,9.8,-64.9,0,,,영업이익,15.02,37.18,44.66,50.67,22.36,18.9,35.93,53.41,1.54,18.26,10,45.52,23.88,3.51,16.19,-1.31,1.11,2.73,15.37,11.2,15.66,7.34,20.29,12.89,0.41,-3.74,8.93,4.38,3.02,2.39,-6.89,1.12,-0.48,3.59,-13.72,8.85,9.28,7.78,9.55,0,
,,,,,,,,,,,,,,순이익,11.28,29.66,30.94,52.53,20.18,5.99,21.97,27.1,2.68,17.8,-18.31,31.06,13.5,3.2,-9.2,-2.65,-1.87,0.7,7.26,8.48,3.09,1.33,3.08,9.81,1.32,5.31,-5.23,4.67,1.43,350.43,-4.39,2.68,-3.24,-3.94,-8.48,7,7.19,7.13,6.04,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,108.4,102.71,190.39,56.56,192.47,473.18,421.51,-246.72,-1741.95,-1741.96,,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-27.59,-5.2,85.4,-70.3,240.3,145.8,-10.9,-158.5,-606,0,,,매출액,554.6,562.28,538.07,535.69,527.59,507.7,493.01,498.92,469.6,953.81,1381.49,1916.18,2505.98,2708.33,2924.95,2959.08,3081.42,3112.89,3192.63,3484.96,3706.17,4222.4,4527.52,5026.19,5405.54,5870.28,6433.03,7026.63,7343.15,7523.83,7611.09,7961.81,8146.29,8251.31,8356.62,7426.29,5846.3,4303.14,2935.77,0,
,,,,,,,,,,,,,,영업이익,166.84,173.38,149.04,147.71,155.23,136.59,113.46,109.6,88.05,123.62,102.72,105.45,150.7,194.06,190.39,175.51,136.47,63.36,56.55,109.22,72.1,231.39,192.47,272.18,347.21,419.06,473.18,755.55,720.66,574.51,421.51,336.99,53.94,-160.91,-246.72,-834.84,-1047.72,-1254.53,-1741.96,0,
