,오뚜기,A007310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,16866.38,17281.75,17817.29,18830.99,20106.58,21261.5,22467.64,23596.51,25958.81,26426,27111,,시가총액,4868,4472,5332,5366,5607,8566,7516,11180,12246,12883,13691,12866,17785,21225,16718,20881,27314,35742,42140,31338,28311,25800,22773,25869,27176,25250,27726,24493,29550,25697,26102,27796,24696,21019,19973,16909,20081,20857,21187,21077,
,영업이익,1086.88,1050.76,1158.71,1334.09,1425.01,1460.55,1517.25,1482.78,1984.45,1787,1933,,영업이익,736.75,823.9,769.16,760.75,811.87,858.43,1005.82,1068.15,1087.27,1087.48,1050.76,1087.1,1122.57,1120.37,1158.71,1199.3,1283.91,1369.98,1334.09,1300.96,1334.42,1393.76,1425.02,1369.29,1379.91,1370.27,1460.55,1546.03,1516.07,1476.3,1517.26,1660.35,1653.89,1616.18,1482.78,1526.49,1676.73,1906.76,1984.45,1920.18,
,순이익,747.32,913.57,937.66,1044.55,1375.22,1312.73,1599.56,968.39,1062.54,1189,1419,,자기자본,4951,5160,5851,5301,5481,5575,6494,6630,6869,7113,7366,7511,7731,8008,8181,8368,8680,9014,9434,9778,9910,10219,10292,10283,10661,10779,10980,11068,11379,11906,12080,12203,12333,12615,12776,13031,13370,13900,14014,14376,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,16525.92,16978.65,17450.68,18297.62,19591.05,20501.92,20971.3,21086.3,23052.13,0,0,,매출액,3723.62,3925.05,3672.23,4166.96,4034.3,4457.58,3943.9,4343.72,4153.49,4526.2,4258.34,4538.45,4320.57,4635.6,4322.66,4645.28,4556.63,5035.06,4594.02,5156.49,4880.49,5164.44,4905.17,5318.37,5134.34,5643.43,5165.36,5772.91,5371.3,5796.28,5527.15,5967.47,5670.44,5970.11,5988.49,6455.34,6409,6812.99,6281.48,6476,
,영업이익,957.02,900.69,1055.73,1186.72,1258.6,1294.73,1362.98,1261.05,1552.42,0,0,,영업이익,180.75,263.15,67.26,249.59,231.87,309.71,214.65,311.92,250.99,309.92,177.93,348.26,286.46,307.72,216.27,388.85,371.07,393.79,180.38,355.72,404.53,453.13,211.64,299.99,415.15,443.49,301.92,385.47,385.19,403.72,342.88,528.56,378.73,366.01,209.48,572.27,528.97,596.04,287.17,508,
,순이익,618.33,753.66,877.11,940.04,1196.62,1041.68,1394.27,959.89,1377.59,0,0,,순이익,145.01,209.59,50.94,200.77,190.72,106.31,169.64,252.13,202.79,272.19,186.47,277.08,242.59,283.1,134.9,328.63,300.98,327.17,87.77,489.7,257.17,356.12,272.23,324.01,356.96,467.28,164.48,303.32,331.39,786.64,178.21,300.19,248.38,286.87,132.95,487.41,354.88,93.4,126.86,362,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,16866.38,17281.75,17817.29,18830.99,20106.58,21261.5,22467.64,23596.51,25958.81,26426,27111,,매출액,3723.62,3925.05,3672.23,4166.96,4034.3,4457.58,3867.09,4239.26,4121.39,4461.72,4156.29,4438.17,4227.01,4564.23,4221.26,4550.56,4376.62,4897.26,4473.19,4994.72,4727.05,5059.23,4810.05,5142.91,4928.23,5533.72,4897.06,5483.23,5135.73,5454.92,4897.42,5410.51,5131.78,5312.62,5231.4,5753.18,5677.47,6102.08,5519.4,0,
