,오스코텍,A039200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,247.56,218.59,171.1,183.36,35.54,39.08,187.03,43.69,434.71,67,0,,시가총액,343,458,617,527,470,437,358,462,349,309,377,421,385,458,440,641,1196,1357,1697,2369,2528,2454,1833,1533,2176,2020,4483,7208,5505,7208,6159,7363,5929,5353,7037,6249,7256,13432,19155,12445,
,영업이익,-7.73,-8.85,-7.56,6.86,-66.55,-58.06,61.78,-198.56,15.8,-273,0,,영업이익,14.62,6.07,5.92,8.62,4.54,3.37,-23.27,-11.56,-8.39,-6.2,-8.85,-19.24,-22.13,-23.46,-7.56,-8.7,-14.21,-2.35,6.86,7.39,4.47,-13.71,-66.56,-76.33,-79.51,-87.51,-58.05,-55.15,-57.69,-85.97,61.78,24.67,-9.26,-8.13,-198.56,-223.12,-102.76,-138.59,15.81,15.81,
,순이익,-144.76,-39.71,-20.22,3.95,-83.83,-58.57,34.71,-224.36,-43.57,-301,0,,자기자본,237,239,253,278,286,282,242,250,250,246,215,226,227,226,211,234,234,251,262,276,223,247,143,260,293,296,212,204,195,261,463,421,359,326,513,452,522,452,531,531,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,134.73,113.81,69.6,63.93,46.61,37,116.88,43.74,234.1,0,0,,매출액,34.23,50.47,27.84,29.05,33.34,41.8,46.69,61.14,61.43,60.18,35.84,47.22,39.38,47.38,37.12,43.57,37.07,56.65,46.07,52.36,5.26,7.67,-29.75,13.31,9,10.24,6.53,11.44,9.88,11.32,154.39,10.98,11.13,12.35,9.23,9.5,155.26,7.83,262.11,0,
,영업이익,-6.05,-17.29,-8.24,6.43,-48.63,-35.21,21.93,-138.58,-98.26,0,0,,영업이익,3.62,0.45,6.85,-2.3,-0.46,-0.72,-19.79,9.41,2.71,1.47,-22.44,-0.98,-0.18,0.14,-6.54,-2.12,-5.69,12,2.67,-1.59,-8.61,-6.18,-50.18,-11.36,-11.79,-14.18,-20.72,-8.46,-14.33,-42.46,127.03,-45.57,-48.26,-41.33,-63.4,-70.13,72.1,-77.16,91,0,
,순이익,-115.57,-45.59,-22.8,4.02,-46.7,-40.6,11.03,-150.24,-105.22,0,0,,순이익,2.42,-0.85,-17.49,-4.98,5.52,-4.43,-151.83,8.54,-0.04,-6.98,-41.22,-0.52,-2.83,-1.68,-15.19,-5.62,-3.66,13.84,-0.61,-3.31,-34.72,-8.87,-36.93,-13.32,-11.38,-13.39,-20.48,-8.36,-13.14,-42.17,98.37,-44.4,-64.23,-37.08,-78.64,-64.49,57.9,-68.88,31.9,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,247.56,218.59,171.1,183.36,35.54,39.08,187.03,43.69,434.71,67,0,,매출액,34.23,50.47,27.84,29.05,33.34,41.8,30.54,25.45,41.37,35.67,11.33,14.23,17.8,22.15,15.42,14.89,10.37,23.01,15.66,24.47,5.26,7.67,9.21,11.18,9.02,10.25,6.55,11.44,9.88,11.32,84.25,11.04,11.13,12.35,9.23,9.5,83.44,8.19,132.96,0,
,매출액성장율,-4.66,-11.7,-21.7,7.2,-80.6,10,378.6,-76.6,895,-84.6,0,,영업이익,1.19,-1.09,6.85,-2.3,-0.46,-0.72,-2.57,-2.14,0.01,-6.14,-9.02,-2.7,-1.58,-1.43,-2.53,-1.11,-3.2,10.3,0.45,-0.7,-5.13,-2.32,0.13,1.74,-2.39,-2.31,-32.25,-2.04,-6.22,-33.68,63.87,-35.9,-34.61,-21.16,-46.91,-52.5,19.82,-45.41,-20.17,0,
,,,,,,,,,,,,,,순이익,2.42,-0.85,-17.49,-4.98,5.52,-4.43,-111.67,-0.38,-0.11,-10.37,-34.73,-1.05,-3.91,-2.14,-15.7,-4.88,-3.09,13.34,-1.35,-2.53,-6.95,-5.04,8.42,-1.32,-4.02,-2.67,-32.59,-3.66,-7.35,-35.86,57.9,-37.21,-38.76,-22.85,-51.41,-51.89,18.97,-46,-26.31,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
