,위닉스,A044340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1920.67,2578.25,2631.89,1975.04,2131.53,2607.28,3305.57,3862.34,3823.43,4572,0,,시가총액,497,339,373,488,571,491,530,694,1118,1408,1755,2211,2886,2061,2315,3574,2495,1669,1930,2086,1718,1507,1364,1759,1849,1726,2249,3467,3199,2502,2601,5237,4102,3610,4656,2779,3539,3494,4236,4343,
,영업이익,41.71,205.65,97.07,-107.54,24.99,172.8,205.71,513.92,519.57,701,0,,영업이익,33.05,28.62,12.42,24.2,45.69,60.92,33.16,19.53,113.47,149.69,205.66,245.2,253.79,91.65,97.07,60.34,-58.82,5.15,-107.55,-90.77,-78.41,-62.57,24.99,44.96,100.51,167.84,172.81,219.18,273.83,261.76,205.71,446.97,411.5,413.04,513.92,279.61,310.5,498.32,519.57,613.54,
,순이익,53.89,150.93,58.33,-171.06,-138.84,113.19,188.76,404.99,424.15,535,0,,자기자본,613,564,602,576,586,612,628,651,733,772,775,733,820,1232,1254,1247,1233,1192,1054,1066,1081,970,916,923,1002,1018,975,1151,1222,1205,1187,1435,1502,1502,1527,1668,1762,1888,1878,2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1401.98,2007.37,2019.27,1457.77,1650.09,2081.97,2819.71,3329.6,3628.18,0,0,,매출액,448.51,398.7,227.82,298.26,495.12,424.89,301.6,351.67,1122.54,697.89,406.15,556.75,1213.15,355.09,506.9,436.77,710.91,425.09,402.27,477.5,740.19,536.74,377.1,532.25,791.45,731.96,551.62,765.81,1119.31,702.8,717.65,1317.65,1031.97,734.54,778.18,964.39,891.81,1069.19,898.04,1197,
,영업이익,36.32,176.8,66.57,-113,20.14,171.4,208.3,499.05,556.76,0,0,,영업이익,10.05,4.57,-8.2,17.78,31.54,19.8,-35.96,4.15,125.48,56.02,20.01,43.69,134.07,-106.12,25.43,6.96,14.91,-42.15,-87.27,23.74,27.27,-26.31,0.29,43.71,82.82,41.02,5.26,90.08,137.47,28.95,-50.79,331.34,102,30.49,50.09,97.03,132.89,218.31,71.34,191,
,순이익,49.17,134.75,29.36,-103.78,-142.18,121.02,191.66,403.68,400.25,0,0,,순이익,5.83,-50.87,-4.44,33.32,9.39,24.74,-23.56,3.43,82.12,51.29,14.09,35.81,99.98,-81.42,3.96,9.41,-12.16,-41.39,-126.92,14.47,17.83,-102.58,-68.57,26.13,74.58,22.15,-9.66,71.86,108.51,18.64,-10.24,263.7,72.27,24.76,44.26,48,126.01,175.75,74.39,143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1920.67,2578.25,2631.89,1975.04,2131.53,2607.28,3305.57,3862.34,3823.43,4572,0,,매출액,448.51,398.7,227.82,298.26,495.12,424.89,183.71,213.35,939.33,556.98,297.71,383.01,1032.96,225.79,377.5,292.54,582.38,320.03,262.83,339,617.13,419.86,274.1,374.59,636.7,661.72,408.97,611.48,969.14,570.95,668.14,1132.38,903.14,700.48,593.6,827.4,752.16,1030.14,1018.47,0,
,매출액성장율,11.03,34.2,2.1,-25,7.9,22.3,26.8,16.8,-1,19.6,0,,영업이익,9.3,4.73,-8.2,17.78,31.54,19.8,-36.65,-5.15,111.34,51.59,19.03,27.92,119.88,-104.9,23.66,3.96,12.78,-41.82,-87.92,11.29,31.6,-29.56,6.8,31.5,76.88,39.98,23.05,80.23,140.21,18.92,-31.05,312.55,118.61,50.56,17.33,115.91,113.6,170.17,157.08,0,
,,,,,,,,,,,,,,순이익,5.83,-50.87,-4.44,33.32,9.39,24.74,-22.14,-7.39,74.69,48.67,18.79,19.47,87.86,-80.37,2.39,35.76,-11.63,-36.07,-91.84,1.78,22.64,-106.13,-60.46,24.93,68.02,26.45,1.62,63.97,112.94,10.31,4.45,247.2,100.24,44.86,11.39,71.59,110.85,125.73,92.08,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,41.71,205.65,97.07,-107.54,24.99,172.8,205.71,513.92,519.57,701,0,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
