,인트론바이오,A048530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,81.74,92.77,99.8,118.35,102.22,109.63,205.84,83.47,454.33,454.34,,,시가총액,663,591,834,1054,765,1228,1090,1746,1952,2171,1767,2116,1837,2270,1928,3311,7951,7271,8166,11038,8166,6827,4602,3233,5760,4316,6722,6745,5842,6406,6482,5912,4232,3376,4652,3721,4688,4790,9169,8820,
,영업이익,-11.15,0.59,11.25,21.32,-33.73,-39,51.66,-43.68,157.36,157.36,,,영업이익,2.66,4.58,3.2,1.83,-0.63,-5.71,-11.16,-7.91,-4.08,-1.9,0.58,0.87,4.39,7.37,11.25,12.09,10.45,7.61,21.32,16.5,12.71,8.14,-33.73,-40.06,-44.72,-52.85,-39,-42.25,-45.01,-51.37,51.66,52.66,53.11,59.09,-43.68,-42.31,82.17,103.25,157.36,157.36,
,순이익,-11.84,3.54,0.21,15.58,-22.52,-87.34,87.11,-31.87,149.48,149.48,,,자기자본,104,98,100,99,94,91,119,131,148,174,175,176,203,202,194,195,331,331,344,343,339,494,386,493,460,467,302,289,326,282,391,421,553,527,650,645,762,818,854,854,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
