,케이엠더블유,A032500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2925.12,3178.92,2107.21,2198.22,2105.41,2037.21,2962.68,6828.76,3384.96,4847,8202,,시가총액,779,674,782,1132,964,1103,2206,2657,3759,3341,2737,2544,2270,1626,2528,2278,1626,1158,1143,1417,1463,1164,1204,1811,2866,2157,4234,3365,3961,4548,4148,5690,15987,28981,20339,19990,25485,31299,32135,24530,
,영업이익,416.51,434.66,-189.49,-448.85,-144.95,-30.47,-262.27,1377.74,326.62,756,1705,,영업이익,38.89,-25.72,-82.59,-14.63,79.63,222.79,313.01,427.7,503.49,504.2,434.67,247.48,75.78,-42.78,-189.48,-225.1,-383.3,-473.57,-448.85,-372.09,-293.68,-232.29,-144.94,-105.64,-17.02,32.9,-30.48,-59.75,-136.36,-149.73,-262.27,-41.75,587.28,1171.52,1377.74,1195.2,860.03,342.91,326.62,285.01,
,순이익,365.13,392.06,-132.69,-479.17,39.36,-86.87,-312.92,1037.38,266.38,593,1349,,자기자본,485,398,114,340,406,491,462,630,781,865,845,802,765,761,847,802,659,559,423,611,486,480,456,452,450,520,513,618,613,565,862,1122,1687,2313,2178,2340,2443,2452,2440,2470,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2544.79,2679.22,2027.96,1862.39,1567.37,1456.13,1566.21,5973.7,3264.86,0,0,,매출액,323.64,229.12,359.62,517.72,635.75,720.03,720.85,946.51,867.22,765.68,599.51,693.24,724.71,740.87,-51.61,695.7,326.59,594.98,580.94,707.99,394.71,400.3,602.42,682.89,550.09,437.8,366.43,703.96,849.87,866.9,541.95,1182.49,2123.16,2649.95,873.16,775.25,1272.15,745.25,592.32,613,
