,코리안리,A003690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,56454.85,45664.12,59895.03,63844.07,66845.38,72080.79,75585.24,80515.48,84470.68,60952,62753,,시가총액,16169,15879,17386,16123,13170,13997,13583,13583,12402,15119,13782,12398,12579,13602,13000,12338,14805,17153,17032,16972,14685,14023,13722,13722,14565,13662,13241,13662,14264,12579,10424,11014,10496,9642,10966,8691,8859,8968,9497,10280,
,영업이익,1865.37,1645.7,1583.73,2452.87,2072.48,1756.46,1435.84,2498.45,1922.59,2568,2695,,영업이익,2128.49,2265.24,1685.74,508.16,-451.72,-777.46,-182.86,1865.36,2631.53,2930.79,2578.34,1828.54,1923.21,1675.96,1583.73,2195,2421.78,2476.68,2452.86,2286.36,2017.71,1939.75,2072.48,1969.08,2428.29,2334.87,1756.45,1927.65,1441.63,955.35,1435.84,1582.86,1678.13,2363.52,2498.44,2208.24,2245.34,1981.99,1922.58,1922.58,
,순이익,1411.86,1238.68,1174.8,1864.56,1600.49,1330.08,1029.44,1887.1,1420.52,1942,2003,,자기자본,11481,11953,11938,12580,12635,13330,13466,14128,14311,14577,14509,14566,15487,16128,18390,19138,19693,20295,20168,20772,21487,21620,21116,21036,21993,22136,21630,21746,22330,22300,22376,22717,23550,24018,24560,23914,24571,24570,24559,24559,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,56454.85,45664.12,59895.03,63639.47,66612.48,71846.6,75543.61,80433.8,83771.02,0,0,,매출액,12897.27,12914.37,13224.67,12771.04,15269.89,13752.37,13992.7,13439.89,16412.19,14788.36,14463.57,14571.39,16466.05,14422.97,14434.63,14935.43,17101.13,15189.09,16618.43,15841.64,17826.54,16336.11,16841.08,16943.37,18751.85,17937.45,18448.12,17610.11,19529.57,18637.42,19808.14,19212.88,20798.91,19714.31,20789.38,20525.13,21929.8,20942.61,21073.13,0,
,영업이익,1830.67,1691.75,1569.4,2452.01,2090.79,1750.9,1422.87,2510.01,2032.99,0,0,,영업이익,953.49,697.75,-27.5,-1115.58,-6.39,372.01,567.1,932.64,759.78,671.27,214.65,182.84,854.45,424.02,122.42,794.11,1081.23,478.92,98.6,627.61,812.58,400.96,231.33,524.21,1271.79,307.54,-347.09,695.41,785.77,-178.74,133.4,842.43,881.04,506.65,268.32,552.23,918.14,243.3,208.91,0,
,순이익,1382.17,1288.49,1163.19,1862.44,1625.39,1325.31,1027.04,1911.66,1503.7,0,0,,순이익,718.83,526.71,-140.95,-852.84,-6.76,280.76,428.22,709.63,573.94,506.32,158.42,137.16,646.98,318.92,71.75,600.43,808.84,363.17,92.11,474.41,616.65,303.47,205.96,395.12,963.82,233.1,-261.96,530.34,593.22,-137.01,42.88,636.04,674.48,382.05,194.54,409.82,696.8,194.14,119.76,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,56454.85,45664.12,59895.03,63844.07,66845.38,72080.79,75585.24,80515.48,84470.68,60952,62753,,매출액,16188.35,17202.68,17539.79,16695.42,19228.94,17959.25,20921.03,17550.77,20571.4,19315.11,19556.38,19087.23,21822.71,18852.74,19786.28,20590.92,21872.91,20245.46,21355.47,19738.69,22369.06,20874.12,22388.48,21091.48,22677.51,22589.74,24507.12,22686.1,25847.45,23486.39,26818.01,25034.65,26400.54,26094.62,29020.95,26680.48,29171.04,26429.94,29947.97,0,
,매출액성장율,8.97,-19.1,31.2,6.6,4.7,7.8,4.9,6.5,4.9,-27.8,3,,영업이익,944.13,688.37,-34.93,-858.68,270.11,431.02,556.34,537.81,758.52,663.72,269.52,178.51,848.7,419.65,122.55,792.69,1086.9,474.23,98.19,624.88,798.76,394.81,272.34,516.57,1270.19,325.37,-361.23,695.69,748.23,-187.22,166.16,844.08,893.9,502.3,269.72,595.34,950.41,236.57,250.67,0,
,,,,,,,,,,,,,,순이익,710.87,519.17,-147.25,-648.57,201.99,324.87,418.97,409.52,573.6,499.87,215.02,134.24,641.72,315.43,71.8,599.94,815.36,359.15,87.98,472.43,603.94,299.42,249.6,388.83,962.27,247.2,-272.99,530.4,562.25,-142.65,77.04,637.74,687.77,380.33,205.82,450.19,731.56,188.54,133.4,0,
