,티웨이홀딩스,A004870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,51.96,1325.66,2362.06,2888.7,4118.71,6127.87,7374.89,8173.02,2769.09,2769.08,,,시가총액,166,119,108,120,149,225,210,183,196,386,403,655,931,848,1728,2218,1760,1500,1217,1792,1310,1324,1113,1579,3102,2384,2480,4116,3264,2278,1795,1799,1580,1269,1330,633,828,719,790,1005,
,영업이익,-11.34,29.55,79.73,40.72,142.3,455.3,432.77,-237.23,-1777.41,-1777.41,,,영업이익,-6.86,-4.71,-30.58,-25.98,-38.48,-31.36,-11.35,-10.62,6.06,46.32,29.55,22.93,20.45,74.54,79.73,123.84,118.69,47.44,40.71,79.11,27.04,173.69,142.3,219.41,311.07,401.52,455.31,753.08,718.59,571.71,432.76,347.98,63.31,-158.45,-237.22,-832.62,-1054.91,-1265.47,-1777.41,-1777.41,
,순이익,-30.15,41.85,59.31,22.42,32.91,297.43,248.39,-295.43,-854.65,-854.65,,,자기자본,108,105,56,62,71,197,183,178,217,333,283,289,297,370,393,417,419,438,415,483,480,606,473,634,672,908,835,1200,1172,1895,1852,2014,1814,1674,1612,1398,1076,878,763,763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,51.96,67.1,177.52,219.88,291.15,287.55,57,68.53,76.91,,,,매출액,27.31,20.49,23.94,11.51,19.1,10.7,10.66,14.74,425.7,456.55,428.67,491.09,557.21,694.75,619.01,681.62,724.6,734.06,748.42,924.84,899.82,1235.31,1058.74,1432.98,1323.63,1735.34,1635.92,2060.8,1640,1931.9,1742.2,2421.16,1838.65,2046.24,1866.97,1505.37,261.29,502.99,499.43,0,
,영업이익,-11.34,-5.32,5.58,12.82,20.55,-8.81,-41.34,-40.86,-30.37,,,,영업이익,10.14,-7.85,-24.87,-3.4,-2.36,-0.73,-4.86,-2.67,14.32,39.53,-21.63,-9.29,11.84,93.62,-16.44,34.82,6.69,22.37,-23.17,73.22,-45.38,169.02,-54.56,150.33,46.28,259.47,-0.77,448.1,11.79,112.59,-139.72,363.32,-272.88,-109.17,-218.49,-232.08,-495.17,-319.73,-730.43,0,
,순이익,-30.15,-4.08,5.35,3.36,20.21,-17.21,-53.77,-41.45,-49.98,,,,순이익,7.58,-10.52,-42.12,-8.63,-4.59,-2.89,-14.05,-5.48,8.28,16.29,22.76,-9.79,8.24,72.73,-11.87,23.29,2.62,18.65,-22.14,55.44,-43.13,124.67,-104.07,111.34,31.26,211.5,-56.67,308.86,-45.64,19.95,-34.78,108.08,-207.91,-135.3,-60.31,-209.96,-320.92,-197.93,-125.84,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
