,팬오션,A028670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,54178.46,26820.24,16455.71,18193.13,18739.86,23362.4,26683.53,24678.91,24971.59,28331,30368,,시가총액,15398,15748,12516,16242,9264,7648,9706,9078,2882,4714,1569,5670,4389,7076,5589,6982,6857,24237,19351,20036,18581,20521,21296,29606,28221,28809,28170,27796,26113,28010,23762,21971,24804,24430,24296,15556,20421,18282,26835,32448,
,영업이익,-2116.76,-2220.91,2159.55,2293.7,1679.01,1950.23,2039.36,2100.19,2252.12,2686,3035,,영업이익,631.12,-256.86,-1233.39,-2102.16,-2875.51,-3023.33,-2116.76,-1661.89,-1519.99,-1765.71,-2220.91,-896.2,-125.57,1199.64,2159.55,2279.08,2128.89,2319.72,2293.7,2077.14,1976.83,1734.44,1679.01,1690.06,1766.64,1920.47,1950.23,1981.29,1993.62,2046.67,2039.36,2048.98,2053.26,2112.71,2100.19,2028.87,2166.59,2161.52,2252.12,2431.93,
,순이익,-4652.66,-19101.39,7861.46,455.37,978.79,1430.57,1524.1,1518.8,925.29,2096,2383,,자기자본,22489,24183,24207,22560,21883,20222,17703,17652,17954,12490,2327,2716,5389,7860,14213,14487,21518,23465,24062,23949,24459,23243,25407,23724,24417,24992,23890,24120,25737,25943,26438,27216,28037,29656,28864,30712,30571,30362,28067,28494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,49194.76,24281.86,15550.24,17605.9,16063.37,20130.13,23375.17,21559.25,21028.95,0,0,,매출액,15203.47,13469.32,15122.04,12322.61,14453.87,13464.69,13937.29,11406.79,9611.82,2558.46,3243.17,4125.43,3869.28,3897.46,4563.54,3997.36,4157.56,4917.38,5120.83,4525.43,4429.82,4658.36,5126.25,5229.16,6325.03,5838.27,5969.94,5655.16,6787.99,7714.94,6525.44,5347.97,6322.57,6821.83,6186.54,5587.79,6834.34,6344.33,6205.13,6436,
