,한글과컴퓨터,A030520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,656.1,685.25,758.37,849.41,1012.44,1211.82,2128.58,3192.56,4013.69,4460,5016,,시가총액,1145,1445,2804,2931,2528,3462,4870,4351,3924,3716,4686,5401,5678,6232,4663,4062,4155,5517,5401,4443,4305,3970,3820,3716,3936,4016,4143,3751,4086,3670,3001,3105,2908,2493,2444,2185,3788,4645,4632,4534,
,영업이익,247.59,239.19,274.86,279.19,290.41,289.51,424.37,332.07,682.14,790,878,,영업이익,183.96,213.81,214.62,222.75,226.69,231.64,243.58,251.67,249.29,243.99,239.19,246.7,264.27,279.17,274.86,286.02,292.83,292.92,279.19,264.91,266.16,264.96,290.42,307.81,313.82,325.3,289.52,231.4,285.29,310.67,424.37,446.08,421.7,344.35,332.07,418.56,563.18,673.82,682.14,650.06,
,순이익,124.88,190.7,200.84,240.16,149.1,201.75,65.17,192.63,357.67,422,491,,자기자본,1097,1141,1099,1181,1235,1318,1254,1266,1343,1392,1399,1426,1493,1568,1498,1472,1555,1626,1516,1495,1550,1577,1586,1602,1684,1795,1851,1872,1959,1998,1988,1983,2120,2317,2354,2435,2610,2625,2673,2801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
