,헬릭스미스,A084990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,38.88,57.46,61.38,76.95,68.44,31.58,31.27,44.55,43.04,43.05,,,시가총액,754,947,1409,2507,3015,4430,3696,5088,4997,5189,5608,7142,7411,8079,7482,10506,25315,17463,26138,22191,20243,18812,16515,14839,16419,18701,26057,35886,37593,38423,40529,44646,28757,14135,19852,14305,16354,9488,11308,8875,
,영업이익,-16.76,3.79,2.46,10.72,-19.83,-69.41,-199.9,-417.34,-711.01,-711.01,,,영업이익,-36.86,-44.55,-30.5,-25.08,-27.75,-12.5,-16.53,-16.35,-10.28,-13.7,3.8,-0.45,-0.8,-6.02,2.46,-0.04,-2.71,9.66,10.73,11.5,30.04,23.39,-19.83,-26.39,-58.29,-76.7,-69.4,-77.38,-97.19,-138.19,-199.89,-263.8,-326.75,-395.7,-417.34,-482.69,-610.15,-626.54,-711.01,-711.01,
,순이익,-46.33,2.66,1.59,2.57,-7.14,-64.96,-287.29,-1070.37,-828.57,-828.57,,,자기자본,508,487,498,564,555,683,645,645,667,678,670,660,659,652,671,659,653,654,672,814,830,832,1709,2193,2195,2193,1645,1625,1613,1561,1339,1180,1332,2858,1956,1695,1483,1349,2763,2763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,38.88,57.46,61.38,76.95,68.44,31.58,31.87,44.55,43.01,,,,매출액,12.13,1.12,15.97,7.94,7.52,17.76,5.66,8.77,12.62,12.51,23.55,5.25,13.52,9.73,32.88,3.99,10.8,22.93,39.23,5.66,29.87,17.31,15.6,3.97,10.25,8.32,9.04,4.74,10.58,7.19,8.76,4.66,9.54,13.57,16.78,8.53,14.79,9.58,10.15,0,
,영업이익,-16.76,3.79,2.46,10.72,-19.83,-69.41,-141.3,-364.88,-557.76,,,,영업이익,-4.86,-11.69,-3.95,-4.58,-7.53,3.56,-7.98,-4.4,-1.46,0.14,9.52,-8.65,-1.81,-5.08,18,-11.15,-4.48,7.29,19.07,-10.38,14.06,0.64,-24.15,-16.94,-17.84,-17.77,-16.85,-24.92,-37.65,-58.77,-78.55,-88.83,-100.6,-127.72,-100.19,-154.18,-228.06,-144.11,-184.66,0,
,순이익,-46.36,2.66,1.59,2.57,-7.14,-64.96,-286.83,-1071.49,-829.63,,,,순이익,-6.5,-21.08,-59.32,-4.01,-9.86,9.46,-41.95,-5.68,5.61,10.94,-8.21,-9.22,-1.91,-6.73,19.46,-11.87,-5.48,0.32,19.61,-7.8,16.13,1.95,-17.42,-15.17,-10.01,-9.43,-30.35,-22.1,-20.75,-59.32,-185.11,-169.14,136.52,-95.92,-941.83,-285.72,-209.67,-156.64,-176.54,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,38.88,57.46,61.38,76.95,68.44,31.58,31.27,44.55,43.04,43.05,,,매출액,12.13,1.12,15.97,7.94,7.52,17.76,5.66,8.77,12.62,12.51,23.55,5.25,13.52,9.73,32.88,3.99,10.8,22.93,39.23,5.66,29.87,17.31,15.6,3.97,10.25,8.32,9.04,4.74,10.58,7.19,9.36,3.56,8.47,15.74,16.78,8.41,14.33,9.58,10.68,0,
,매출액성장율,2.17,47.8,6.8,25.4,-11.1,-53.9,-1,42.5,-3.4,0.02,,,영업이익,-5.21,-11.69,-3.95,-4.81,-7.83,3.56,-7.68,-4.4,-1.46,0.14,9.52,-8.65,-1.81,-5.08,18,-11.15,-4.48,7.29,19.07,-10.38,14.06,0.64,-1.29,-12.96,-6.24,-9.99,-40.23,-23.67,-34.32,-42.1,-41.21,-51.47,-98.04,-107.85,-107.52,-113.03,-204.37,-99.62,-140.75,0,
,,,,,,,,,,,,,,순이익,-6.5,-21.08,-59.32,-4.01,-9.86,9.46,-41.96,-5.69,5.59,10.93,-8.21,-9.23,-1.92,-6.74,19.48,-11.87,-5.48,0.32,19.61,-7.8,16.13,1.95,-4.78,-11.18,1.59,-1.64,-53.72,-20.86,-17.41,-42.66,-205.9,-168.92,133.34,-95.92,-939.99,-285.82,-216.07,-155.89,-171.85,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,-16.76,3.79,2.46,10.72,-19.83,-69.41,-199.9,-417.34,-711.01,-711.01,,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,45.11,122.6,-35.1,335.8,-285,-250,-188,-108.8,-70.4,0,,,매출액,36.13,30.25,38.22,37.16,32.55,49.19,38.88,39.71,44.81,39.56,57.45,53.93,54.83,52.05,61.38,60.12,57.4,70.6,76.95,78.62,97.69,92.07,68.44,66.75,47.13,38.14,31.58,32.35,32.68,31.55,31.27,31.19,30.15,36.53,44.55,48.42,53.67,49.68,43.05,0,
,,,,,,,,,,,,,,영업이익,-36.86,-44.55,-30.5,-25.08,-27.75,-12.5,-16.53,-16.35,-10.28,-13.7,3.8,-0.45,-0.8,-6.02,2.46,-0.04,-2.71,9.66,10.73,11.5,30.04,23.39,-19.83,-26.39,-58.29,-76.7,-69.4,-77.38,-97.19,-138.19,-199.89,-263.8,-326.75,-395.7,-417.34,-482.69,-610.15,-626.54,-711.01,0,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,순이익,-31.5,-50.58,-100.9,-90.91,-94.27,-63.73,-46.36,-48.03,-32.56,-31.08,2.66,-0.88,-8.4,-26.07,1.6,-1.05,-4.62,2.43,2.58,6.65,28.26,29.89,-7.14,-14.51,-40.65,-52.03,-64.96,-71.89,-82.63,-132.52,-287.28,-434.32,-277.05,-313.65,-1070.37,-1186.95,-1533.14,-1593.86,-828.57,0,
,순이익,-46.33,2.66,1.59,2.57,-7.14,-64.96,-287.29,-1070.37,-828.57,-828.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,54.2,105.7,-40.2,61.6,-377.8,-809.8,-342.3,-272.6,22.6,0,,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,35.88,29.9,38.05,37.16,32.56,49.2,38.88,39.71,44.81,39.56,57.46,53.94,54.84,52.05,61.38,60.12,57.4,70.6,76.95,78.62,97.69,92.07,68.44,66.75,47.13,38.14,31.58,32.35,32.68,31.54,31.87,30.7,28.58,37.13,44.55,49.39,55.26,49.1,43.01,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,영업이익,-41.48,-40.11,-30.53,-25.66,-28.28,-13.03,-16.76,-16.35,-9.98,-13.4,3.79,-0.46,-0.8,-6.02,2.46,-0.03,-2.71,9.66,10.72,11.49,30.04,23.39,3.03,0.45,-19.85,-30.48,-69.41,-80.12,-108.2,-140.31,-141.3,-169.1,-232.82,-298.58,-364.88,-426.44,-532.76,-524.53,-557.76,0,
,EPS증가율,54.2,105.6,-40.2,61.6,-353.3,-809.8,-342.3,-253.4,35.7,0,,,순이익,-39.73,-54.36,-101.2,-90.9,-94.26,-63.71,-46.36,-48.04,-32.59,-31.12,2.63,-0.92,-8.43,-26.11,1.59,-1.06,-4.61,2.44,2.57,6.64,28.25,29.89,5.5,2.12,-12.42,-16.01,-64.96,-74.63,-93.63,-134.66,-286.83,-434.89,-284.14,-337.4,-1071.49,-1188.38,-1537.8,-1597.77,-829.63,0,
,BPS증가율,-0.1,1.7,0.1,0.2,131.9,-3.8,-18.6,38.6,17.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,98,95,102,100,102,103,99,100,0,
,주가,15332,22767,30375,106111,61132,96452,150023,69702,33000,25900,,,영업이익,113,90,100,102,102,104,101,100,97,98,100,102,100,100,100,75,100,100,100,100,100,100,-14,-1,34,40,100,104,111,102,71,64,71,75,87,88,87,84,78,0,
,주가상승율,145.16,48.49,33.42,249.34,-42.39,57.78,55.54,-53.54,-52.66,-21.52,,,순이익,126,107,100,100,100,100,100,100,100,100,99,105,100,100,99,101,100,100,100,100,100,100,-76,-14,31,31,100,104,113,102,100,100,103,108,100,100,100,100,100,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
