,현대모비스,A012330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,307890.2,341985.9,351266.1,360197.5,382617.4,351445.8,351492.2,380487.7,366265,426438,464036,,시가총액,389375,332429,284244,278890,267209,302253,280350,299332,265749,278403,285704,306633,276457,250174,229732,238979,206369,225351,239953,243360,245307,267696,256988,228758,243360,233625,256014,233139,206369,221944,184953,202962,224447,240173,243985,156365,182505,218626,242865,293859,
,영업이익,29063.85,29244.04,31412.42,29345.71,29046.92,20249.29,20249.57,23592.57,18302.92,27375,31090,,영업이익,23753.68,25874.87,26372.36,26688.9,26513.56,26278.56,29063.85,28224.17,28388.4,28813.33,29244.04,30109.42,30392.8,30841.76,31412.42,31230.05,30559.21,29951.96,29345.71,29501.74,30405.07,30920.32,29046.92,28549.97,25626.45,23853.64,20249.29,18060.8,18448.58,17626.79,20249.57,20688.49,21649.29,23065.8,23592.57,22264.17,17679.11,17623.49,18302.92,20811.94,
,순이익,35585.44,34215.18,34224.1,30554.14,30377.85,15681.52,18888.04,22906.7,15291.46,27642,31680,,자기자본,124801,131782,137743,145617,153903,162245,169044,175696,185001,191788,200996,206847,215005,223575,231627,235752,245252,253020,256218,260683,268612,272860,284945,284562,292611,298682,292954,294127,300958,303406,306305,309840,317774,323634,323300,325476,327816,331273,332527,338652,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
