,현대위아,A011210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,70210.86,70919.94,75956.06,78841.88,75894.47,74873.92,78804.81,73146.26,65922.42,76424,79975,,시가총액,41811,39882,36665,35636,43484,48244,44513,42197,43741,43613,48887,43999,50431,55320,47863,39297,28011,35082,30458,29235,24231,23551,19852,18194,18982,17758,17677,15039,11082,11517,9858,11014,13230,13869,13652,6962,9396,11014,14549,21267,
,영업이익,5396.94,5292.4,5256.4,5009.34,2627.32,167.18,50.31,1019.34,719.57,1723,2378,,영업이익,2506.62,2975.6,3178.97,3571.02,3989.55,4510.75,5396.94,5411.96,5457.96,5495.8,5292.4,5490.72,5638.52,5474.4,5256.4,5230.18,5092.13,4979.77,5009.34,4507.48,4088.56,3611.53,2627.32,2257.79,1651.2,1162.34,167.18,-561.8,-659.36,-713.9,50.31,494.56,589.66,866.28,1019.34,1718.65,1034.05,793.09,719.57,200.21,
,순이익,4184.32,4174.52,4344.33,3268.74,1307.27,-630.04,-555.61,552.07,609.71,1092,1657,,자기자본,13127,13983,14517,15257,16200,17202,18330,19234,20416,21341,22546,23488,24346,25540,28489,29349,30653,31840,31632,31777,32297,31935,32586,31932,32518,32759,31401,31197,31168,30871,30369,30616,30692,30950,30918,31657,31147,31990,31181,31399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
