,NH투자증권,A005940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6706.83,4192.93,7091.29,10767.55,9347.52,11683.94,12316.29,13873.03,16808.59,54887,53273,,시가총액,22726,14775,21121,26003,22018,23412,23612,23412,22416,23113,19108,17594,17395,23512,20424,40523,34332,27972,28422,28563,25693,28056,27156,34754,41789,38272,39116,39819,42071,40241,36724,37850,40804,35739,35739,24398,23273,25721,31799,33628,
,영업이익,1091.92,224.1,1254.7,3141.31,3019.47,4592.04,5401.44,5753.87,7872.51,9859,9388,,영업이익,2205.15,1482.4,2065.55,2330.79,2133.68,2280.86,1779.91,1091.92,900.96,618.17,555.35,483.49,106.32,963.58,1254.7,2228.55,3602.87,3535.73,3141.31,2764.81,2584.29,2528.68,3019.47,3362.81,3954.77,4246.36,4592.04,5154.75,5336.41,5609.35,5401.44,6008.99,5882.21,5593.2,5753.87,3921.53,5358.5,7721.56,7872.51,10366.51,
,순이익,870.85,160.34,810.84,2150.7,2360.72,3501.09,3608.62,4755.17,5769.71,6649,6202,,자기자본,26705,27217,33883,34403,34143,34428,34444,34744,34565,34501,34397,34437,34147,35034,43689,44123,44887,45610,45423,44757,45746,45831,46388,46056,47185,47832,48306,47802,49018,50180,50476,50687,52124,53232,53851,53040,55529,57671,57977,60283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6454.04,4179.55,6668.03,10238.47,8864.51,11639.19,11458.43,12910.23,15600.49,0,0,,매출액,2057.79,1743.19,2027.46,2424.38,1763.52,1784.45,1324.15,1834.71,1408.88,1446.99,1337.06,1481.51,1616.82,2313.46,1679.5,3185.92,3136.03,3056.04,1389.56,2514.85,2224.29,2337.6,2270.78,3134.01,3322.16,2776.37,2451.4,3723.7,3395.73,3139.98,2056.88,4464.47,3532.1,3075.25,2801.21,2483.51,5061.4,5877.95,3385.73,5293,
,영업이익,1182.27,444.97,1110.11,2916.94,2858.37,4863.33,4908.35,5227.3,7239.04,0,0,,영업이익,450.15,299.25,562.15,1019.24,253.04,446.43,61.2,331.25,62.08,163.64,-1.62,259.39,-315.09,1020.9,289.5,1233.24,1059.23,953.76,-104.92,856.74,878.71,898.15,385.87,1200.08,1470.67,1189.74,731.55,1762.79,1652.33,1462.68,523.64,2370.34,1525.55,1173.67,684.31,538,2962.52,3536.73,835.26,3032,
,순이익,762.49,302.22,683.76,2045.69,2110.82,3543.26,3241.46,4301.84,4892.11,0,0,,순이익,357.33,269.25,362.15,672.04,209.22,356.77,20.55,284.31,17.82,129.27,13.25,111.4,-296.39,776.36,219.47,844.34,771.3,644.87,-109.81,641.72,669.38,679.36,370.26,885.68,1069.88,865.32,680.21,1281.3,1167.52,1055.86,103.94,1711.43,1073.5,805.86,1164.38,321.89,2294.92,2397.07,755.83,2306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6706.83,4192.93,7091.29,10767.55,9347.52,11683.94,12316.29,13873.03,16808.59,54887,53273,,매출액,10524.98,16331.25,11632.11,-2864.26,10426.36,10076.98,8893.85,8518.27,15573.29,6495.92,9201.96,11252.94,12135.99,10020.85,14113.08,19646.14,13453.49,28699.67,7129.32,31001.22,19007.48,22251.26,15141.63,36013.81,14580.53,18071.27,24974.85,24448.24,23196.67,18137.46,23733.27,38081.68,36120.21,30121.45,6931.82,66855.03,18901.21,15697.71,21410.29,0,
,매출액성장율,-18.73,-37.5,69.1,51.8,-13.2,25,5.4,12.6,21.2,226.5,-2.9,,영업이익,602.2,150.27,496.98,992.98,347.15,426.01,123.55,293.6,97.58,276.72,70.67,176.91,-214.13,923.5,223.83,1212.06,1001.04,824.15,-120.31,895,803.29,933.13,226.95,1497.57,1283.94,1055.94,1025.88,1820.63,1293.87,1301.58,492.27,2073.42,1403.58,1077.34,672.96,922.85,2395.97,2763.49,1156.73,0,
,,,,,,,,,,,,,,순이익,486.88,152.13,333.57,707.63,122.86,343.93,85.13,216.67,79.65,216.19,6.38,60.54,-157.19,707.82,72.59,841.48,726.92,568.5,-91.21,665.97,594.57,680,170.28,1132.91,918.39,763.42,728.54,1276.03,897.82,912.16,155.45,1468.55,947.43,763.87,1121.99,625.44,1640.72,1890.49,735.46,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
