,미래에셋증권,A006800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7110.64,3628.65,7986.93,4769.17,7960.44,17119.44,16270.27,19787.23,24735.07,85033,82140,,시가총액,33933,34140,33977,43125,34304,41654,39204,37734,32833,32147,29076,26789,28488,35120,32115,42308,49822,38877,30939,27835,25450,25515,23653,60235,73628,65499,61234,61434,56089,55759,42988,48255,53850,49374,49703,35022,43043,54723,60918,64802,
,영업이익,1633.71,-354.09,2707.94,1484.68,31.71,6277.53,5123.29,7279.55,11171.19,11283,10247,,영업이익,2852.93,2205.9,1801.37,2114.25,1970.23,2363.11,2294.93,1633.71,1385.4,659.74,100.57,259.25,864.53,2285.41,2707.94,3519.86,4413.57,3842.91,1484.68,542.87,-279.99,-160.32,31.71,983.05,2017.76,2767.41,6277.52,6988.74,7370.61,6670.62,5123.3,4397.74,4885.81,5612.66,7279.54,7245.73,8498.8,9726.04,11171.19,13731.55,
,순이익,1436.92,-291.76,2051.95,1697.51,392.91,5031.76,4565.65,6589.98,8218.34,8581,8105,,자기자본,26806,27214,38808,39729,39414,40118,39981,40517,39927,39657,39080,39807,40140,41361,41671,41972,43043,43961,34287,43386,43917,43928,66389,66342,72041,73034,73567,80516,82179,82302,83136,84184,87256,90930,91278,91520,95283,95037,92689,95399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6673.72,3356.9,7521.96,4516.51,3455.69,14542.55,14494.79,16204.52,21751.38,0,0,,매출액,1830.74,1688.24,1809.45,2414.8,1668.34,2115.4,1507.31,1819.59,1303.6,1244.36,1080.69,1779.65,1837.03,2104.31,2265.94,3022.96,3132.38,2188.38,-3574.55,1267.23,3045.89,3186.97,460.35,3925.4,4435.54,4455.15,4303.36,4912.07,5074.06,3694.32,2589.82,4928.7,5584.61,4530.71,4743.21,4438.46,7312.67,6349.75,6634.2,7314,
,영업이익,1445.86,-350.79,2552.64,1496.99,432.92,5532.19,5412.28,6022.64,11101.29,0,0,,영업이익,429.93,300.97,267.47,1115.88,285.91,693.85,199.29,454.66,37.6,-31.81,-359.88,613.34,642.88,1389.07,62.65,1425.26,1536.59,818.41,-2295.58,483.45,713.73,938.08,-2103.55,1434.79,1748.44,1687.73,1406.56,2146.01,2130.31,987.74,-140.76,1420.45,2618.38,1714.59,1526.12,1386.64,3871.45,2941.83,2971.27,3947,
,순이익,1160.87,-337.86,1928.16,1427,278.22,4244.28,4340.85,4487.21,5907.31,0,0,,순이익,360.19,240.47,256.62,811.89,309.73,587.45,132.02,407.72,72.27,-55.29,-308.74,459.76,516.1,978.62,97.47,1110.1,1184.48,554.45,-1151.52,400.29,607.6,498.68,-1113.66,1100.73,1619.67,1341.59,969.77,1992.75,1556.04,738.54,278.32,1670.29,2183.54,1368.69,1367.47,1077.81,3006.91,2284.14,1849.48,2710,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7110.64,3628.65,7986.93,4769.17,7960.44,17119.44,16270.27,19787.23,24735.07,85033,82140,,매출액,8218.33,14668.65,9681.13,-3238.41,8808.74,10983.16,6985.84,4464.35,12654.38,10025.54,264.69,8607.96,12150.49,17753.59,-371.63,14362.17,13096.59,24010.15,-1995.26,17027.89,13797.53,16694.3,-6065.15,29127.8,19508.02,20291.59,25720.66,30316.14,33928.92,18518.22,29990.01,39985.68,35887.92,33447.02,18255.53,84431.23,12622.02,22590.17,32309.56,0,
,매출액성장율,-8.17,-49,120.1,-40.3,66.9,115.1,-5,21.6,25,243.8,-3.4,,영업이익,424.72,432.96,251.48,1029.13,207.24,512.92,149.73,352.14,7.05,-8.47,-349.37,590.84,554.74,1365.31,41.75,1339,1494.45,692,263.71,619.51,489.27,594.91,-1270.77,914.69,1658.99,1648.93,1309.59,1816.08,2254.65,909.47,432.08,811.14,2160.22,1695.04,1356.24,923.03,3330.23,2856.79,3991.23,0,
,,,,,,,,,,,,,,순이익,346.77,381.35,238.64,748.92,218.98,405.17,93.7,273.36,40.44,-25.63,-352.67,446.81,453.98,979.23,48.14,1043.13,1143.77,510.05,161.17,471.53,395.25,476.91,-1065.47,702.56,1262.89,1256.74,1022.09,1718.66,1457.19,645.41,519.6,674.94,1506.78,1327.41,978.08,647.42,2486.65,2013.82,759.43,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,1633.71,-354.09,2707.94,1484.68,31.71,6277.53,5123.29,7279.55,11171.19,11283,10247,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-22.73,-121.7,864.8,-45.2,-97.9,19696.7,-18.4,42.1,53.5,1,-9.2,,매출액,9364.74,8213.98,7799.43,7743.23,7580.83,8007.99,7705.85,7110.64,6745.9,5874.86,5448.24,5408.3,5941.73,6801.68,7986.93,9230.24,10525.59,10609.66,4769.17,3013.44,2926.95,3925.54,7960.44,10618.61,12008.26,13276.44,17119.45,18106.12,18744.64,17983.81,16270.27,16286.9,16797.45,17633.84,19787.23,19296.99,21025.05,22844.09,24735.08,27610.62,
,,,,,,,,,,,,,,영업이익,2852.93,2205.9,1801.37,2114.25,1970.23,2363.11,2294.93,1633.71,1385.4,659.74,100.57,259.25,864.53,2285.41,2707.94,3519.86,4413.57,3842.91,1484.68,542.87,-279.99,-160.32,31.71,983.05,2017.76,2767.41,6277.52,6988.74,7370.61,6670.62,5123.3,4397.74,4885.81,5612.66,7279.54,7245.73,8498.8,9726.04,11171.19,13731.55,
,연결연간 순이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,순이익,2217.19,1718.66,1532.28,1669.17,1618.71,1965.69,1841.09,1436.92,1199.46,556.72,115.96,168,611.83,1645.74,2051.95,2702.29,3370.67,2946.5,1697.51,987.7,410.82,355.05,392.91,1093.35,2105.42,2948.33,5031.76,5923.78,5860.15,5257.1,4565.65,4243.19,4870.69,5500.84,6589.99,5997.51,6820.88,7736.33,8218.34,9850.53,
,순이익,1436.92,-291.76,2051.95,1697.51,392.91,5031.76,4565.65,6589.98,8218.34,8581,8105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,순이익성장율,-13.91,-120.3,803.3,-17.3,-76.9,1180.6,-9.3,44.3,24.7,4.4,-5.5,,개별분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,,,,,,,,,,,,,,매출액,33335.82,37087.21,37543.93,29329.7,29920.11,26234.62,23539.33,31242.09,35087.73,34130.11,27408.96,31552.57,31048.68,38776.73,38140.41,43894.62,44840.72,51097.28,49473.65,52139.37,52840.31,45524.46,41454.57,53554.48,59264.97,62862.26,94648.06,95836.4,110257.3,108483.9,112753.3,122422.8,124381.8,139310.6,127576.1,172021.7,148755.8,137899,151953,0,
,EPS증가율+BPS증가율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,영업이익,2827.7,2093.76,1739.39,2138.29,1920.81,2000.77,1899.02,1222.03,1021.84,500.45,1.35,240.05,787.74,2161.52,2552.64,3300.8,4240.51,3567.2,3789.16,3069.67,2064.49,1967.4,432.92,728.1,1897.82,2951.84,5532.19,6433.59,7029.25,6289.79,5412.28,4407.34,4312.91,5098.48,6022.64,6134.53,7304.55,8466.3,11101.29,0,
,EPS증가율,-13.9,-120.3,803.3,-17.3,-76.9,527.9,-6.1,44.3,27.2,6.1,-5.5,,순이익,2302.14,1766.62,1593.08,1715.68,1587.89,1611.71,1466.77,991.21,812.67,381.87,-64.5,108.95,522.49,1527.35,1928.16,2524.48,3214.27,2745.09,2858.12,2286.52,1538,1504.86,278.22,509.25,1376.89,2156.72,4244.28,5260.39,5454.68,4843.35,4340.85,3297.13,3346.72,4028.73,4487.21,4459.69,5439.56,6125.96,5907.31,0,
,BPS증가율,0,-3.5,6.6,-17.7,93.6,-45.7,17,9.8,3.6,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,개별/연결 비중,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,주가&주가상승율,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,,,매출액,356,452,481,379,395,328,305,439,520,581,503,583,523,570,478,476,426,482,1037,1730,1805,1160,521,504,494,473,553,529,588,603,693,752,740,790,645,891,708,604,614,0,
,주가,11731,8701,9610,9258,7078,8984,6530,7550,9440,10200,,,영업이익,99,95,97,101,97,85,83,75,74,76,1,93,91,95,94,94,96,93,255,565,-736,-1226,1365,74,94,107,88,92,95,94,106,100,88,91,83,85,86,87,99,0,
,주가상승율,15.38,-25.83,10.45,-3.66,-23.55,26.93,-27.32,15.62,25.03,8.05,,,순이익,104,103,104,103,98,82,80,69,68,69,-55,65,85,93,94,93,95,93,168,231,374,424,71,47,65,73,84,89,93,92,95,78,69,73,68,74,80,79,72,0,
