,한국금융지주,A071050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7079.24,4753.51,6789.1,7133.1,7412.4,9172.36,11561.94,14001.08,15708.21,16246,16385,,시가총액,20117,19225,20256,25105,21176,22346,23711,25550,23154,23098,22736,20507,22402,30872,27027,34494,35497,34049,27612,25272,23461,22708,23349,26665,39064,34104,38451,46085,46866,42407,33157,34606,44971,41962,40346,26776,24798,40401,44024,58791,
,영업이익,2407.26,783.78,3269.26,3845.29,3618.82,6542.61,6426.7,9417.84,8563.59,13022,12414,,영업이익,637.34,1538.27,2525.36,3016.11,2149.77,1840.61,1876.72,2407.27,2336.82,2366.94,1641.09,1394.93,2030.87,2641.44,3269.26,3959.02,4925.61,4613.7,3845.28,3441.42,2450.58,2836.65,3618.81,4687.32,5645,5873.8,6542.61,6932.51,7140.91,7629.04,6426.7,7092.93,7907.03,7815.43,9417.84,4717.1,5988.75,7424.97,8563.58,8563.58,
,순이익,1891.73,587.47,2392.15,3243.01,2797.19,5102.15,5295.56,8451.73,8634.67,11023,9974,,자기자본,23196,23625,24417,24961,24580,24907,25407,26407,25974,26314,26625,26916,27147,28321,28597,29258,30946,31797,31702,31575,32224,32695,33778,34339,37226,38208,38561,39324,41770,43367,43166,44514,46996,49235,50037,46835,51002,53237,56118,59642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,153.64,139.21,278.72,87.18,118.29,76.21,99.24,107.84,118.52,0,0,,매출액,1501.1,1429.67,1634.63,1623.33,1856.13,1812.06,1862.82,1548.23,1634.64,1542.36,1576.51,1606.15,1722.25,1715.56,1745.13,1761.26,1880.83,1820.75,1670.26,1802.52,1856.37,1871.62,1881.89,1949.8,2100.04,2358.65,2763.88,3185.2,3547.58,2906.37,1922.79,3390.21,3590.6,3550.1,3470.16,3774,3766.76,4010.04,4157.41,0,
,영업이익,1313.29,1486.44,397.41,1277.97,13409.78,3251.09,3370.57,3810.78,1924.84,0,0,,영업이익,1089.34,742.93,857.09,326.75,223,433.77,893.2,857.3,152.55,463.89,167.35,611.14,788.49,1074.46,795.17,1300.9,1755.08,762.55,26.75,897.04,764.24,1148.62,808.91,1965.55,1721.92,1377.42,1477.72,2355.45,1930.32,1865.55,275.38,3021.68,2744.42,1773.95,1877.79,-1679.06,4016.07,3210.17,3016.4,4162,
,순이익,1313.23,1468.98,396.8,1266.35,13394.86,3145.67,3371.08,3488.27,1924.67,0,0,,순이익,1031.41,575.54,708.48,393.08,157.7,259.53,868.49,606.01,138.13,349.67,99.67,444.9,589.88,826.5,530.87,1041.73,1487.68,747.58,-33.99,808.84,530.33,899.17,558.84,1456.67,1312.66,1181.01,1151.81,1982.01,1744.3,1549.58,19.67,2581.81,2082.03,2264.49,1523.4,-1133.89,3854.91,2485.89,3427.76,3524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7079.24,4753.51,6789.1,7133.1,7412.4,9172.36,11561.94,14001.08,15708.21,16246,16385,,매출액,3326.09,134.59,26.93,-89.89,1942.03,62.4,32.78,16.66,1880.2,69.65,-9.19,692.21,113.44,145.85,-0.77,1672.69,71.59,134.18,-112.83,2174.96,43.64,61.08,11565.66,1290.07,59.02,2546.06,37.83,3053.05,108.83,69.81,1636.7,1862.89,81.66,87.95,2479.65,2500.29,99.31,60.27,19.83,0,
,매출액성장율,14.39,-32.9,42.8,5.1,3.9,23.7,26.1,21.1,12.2,3.4,0.9,,영업이익,3141.26,-20.07,-173.18,-200.49,1771.42,-121.83,-218.18,-119.49,1694.79,-111.94,-96.41,538.54,-114.88,-38.32,12.07,1574.64,-11.89,56.09,-340.86,2028.85,-55.04,-114.22,11550.19,1074.93,-80.94,2411.64,-154.55,2855.45,-53.04,-86.35,654.51,1712.04,-109.55,-80.22,2288.51,2243.96,-96.26,-103.06,-119.8,0,
,,,,,,,,,,,,,,순이익,3141.28,-20.07,-173.19,-200.49,1771.42,-121.85,-218.19,-119.52,1680.87,-111.94,-99.95,538.54,-114.88,-38.32,11.47,1574.73,-20.67,56.09,-343.81,2028.85,-56.15,-114.23,11536.39,1074.97,-80.93,2413.36,-261.73,2855.44,-53.04,-86.35,655.04,1712.22,-109.55,-80.23,1965.83,2243.96,-96.24,-103.06,-119.99,0,
,연결연간 영업이익+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,영업이익,2407.26,783.78,3269.26,3845.29,3618.82,6542.61,6426.7,9417.84,8563.59,13022,12414,,연결분기 연환산 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,영업이익성장율,-20.19,-67.4,317.1,17.6,-5.9,80.8,-1.8,46.5,-9.1,52.1,-4.7,,매출액,1564.1,2967.77,4581.4,6188.73,6543.76,6926.15,7154.34,7079.24,6857.75,6588.05,6301.74,6359.66,6447.27,6620.47,6789.09,6944.2,7102.78,7207.97,7133.1,7174.36,7149.9,7200.77,7412.4,7559.68,7803.35,8290.38,9172.37,10407.77,11855.31,12403.03,11561.94,11766.95,11809.97,12453.7,14001.07,14384.86,14561.02,15020.96,15708.21,15708.21,
