,다산네트웍스,A039560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1339.13,1426.77,1639.73,1805.63,1889.11,3067.9,3567.98,4406.68,4049.84,4545,5669,,시가총액,1131,855,957,1190,924,1029,856,1042,1288,1218,1012,994,1340,1314,1197,1260,1279,1198,1238,1308,1353,1524,1425,1471,1246,1283,1683,1718,1712,2191,2012,1956,3220,2910,2618,1456,2688,4343,4685,3597,
,영업이익,59.88,57.42,23.74,-41.26,-139.14,-0.73,121.91,-11.51,-58.04,62,456,,영업이익,85.41,6.7,28.49,98.19,98.94,79.78,108.57,8.78,21.02,49.1,57.42,97.28,70.86,27.18,23.74,-19.13,-37.19,-59.89,-41.26,-38.4,-15.87,-34.84,-139.14,-155.52,-144.51,-74.5,-0.73,44.58,71.28,107.15,121.91,141.01,164.66,97.78,-11.5,-118.75,-160.42,-110.37,-58.03,15.43,
,순이익,-98.53,13.73,-27.43,-51.03,-347.43,-15.72,-260.59,16.02,-134.49,-16,385,,자기자본,1307,1317,1423,1504,1462,1466,1338,1318,1326,1348,1367,1368,1359,1320,1334,1307,1283,1260,1276,1229,1250,1444,1120,1055,1027,1066,1305,1432,1398,1450,1296,1440,1625,1624,1605,1570,1594,1842,1571,1542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1226.97,1308.08,1548.56,595.81,283.09,297.57,369.03,699.09,316.8,0,0,,매출액,334.13,352.24,303.76,360.14,322.01,276.55,47.78,281.2,375.62,379.7,390.25,366.38,365.13,370.44,537.78,426.36,391.54,330.77,656.95,747.43,529.85,424.53,187.29,593.57,850.58,814.45,809.3,691.58,939.31,873.17,1063.92,1000.56,1215.62,1124.47,1066.04,674.91,968.29,1228.62,1178.03,904,
,영업이익,70.74,59.5,23.9,1.79,-4.11,5.96,14.66,65.76,2.13,0,0,,영업이익,9.41,18.29,-1.21,71.7,10.16,-0.87,27.58,-28.09,22.4,27.21,35.9,11.77,-4.02,-16.47,32.46,-31.1,-22.08,-39.17,51.09,-28.24,0.45,-58.14,-53.21,-44.62,11.46,11.87,20.56,0.69,38.16,47.74,35.32,19.79,61.81,-19.14,-73.96,-87.46,20.14,30.91,-21.62,-14,
,순이익,-126.67,33.25,3.33,-21.24,-193.88,10.56,-295.24,45.35,50.75,0,0,,순이익,11.41,9.71,-26.88,63.87,-32.49,3.76,-89.08,-18.13,9.71,27.57,-5.42,0.59,-7.55,-28.33,7.86,-22.81,-15.43,-32.65,19.85,-39.33,25.02,-73.47,-259.65,-47.82,-21.44,2.45,51.08,-18.11,-76.62,18.23,-184.1,67.26,-18.63,-5.97,-26.64,-78.65,44.3,29.54,-129.68,-29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매출액+G,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,개별분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
