,대한항공,A003490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,123417.9,118487.1,119097.5,115448.3,117318.5,120922.1,130116.5,123842.6,76062.24,74668,102746,,시가총액,50164,31811,31308,35986,36202,34223,32603,29797,22402,22150,18307,22619,19598,21123,27842,35407,29500,22835,20177,22362,18902,25457,19922,29212,36705,29212,32105,32057,26794,26651,31346,30208,27458,21719,27031,17736,30098,32839,47385,91477,
,영업이익,2285.67,-195.62,3953.35,8830.88,11208.09,9397.82,6712.28,1760.87,1089.18,1415,5823,,영업이익,6707.7,4942.49,4526.26,1908.5,3050.12,3471.38,2285.66,1808.09,355.66,-864.73,-195.62,1485,1793.33,2600.21,3953.35,5638.4,6341.72,7349.02,8830.89,10164.12,11252.7,12437.84,11208.1,9890.65,10026.64,8981.54,9397.83,9146.12,8084.98,8548.4,6712.28,7356.96,6046.09,3136.01,1760.87,-1375.14,370.53,-1051.99,1089.18,2683.1,
,순이익,2464.13,-2249.95,-6353.59,-5649.77,-5648.82,7915.1,-1684.81,-6290.85,-2115.45,-3577,782,,자기자본,29834,24286,24602,23967,21476,25599,26216,23861,21512,25913,26470,24914,28342,24553,20909,26008,24362,19289,23871,21943,19460,22492,17607,27176,28647,29171,36294,35147,32315,34779,30395,28320,26216,25423,26562,19133,21121,31722,32065,29525,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
