,아모레G,A002790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,34317.33,38953.91,47119.47,56612.06,66975.61,60290.64,60781.79,62842.55,49300.83,55565,61517,,시가총액,17315,18432,20347,21025,26331,39337,37302,31757,27767,31398,37103,40853,59604,93276,79631,113223,149209,130059,118091,115697,133650,132054,109669,99774,107196,101836,116266,117091,101836,76933,59947,57391,51371,53928,68193,44610,42548,40322,45270,57473,
,영업이익,4504.16,4697.51,6590.91,9136.41,10828.11,7314.92,5494.74,4982.5,1506.61,5590,7423,,영업이익,2754.2,3706.2,4346.35,4517.01,4615.74,4810.01,4504.16,4425.75,4402.9,4374.35,4697.51,5099.6,5633.33,6260.54,6590.91,7658.53,8372.18,8516.35,9136.41,10120.48,10780.91,11094.5,10828.12,10422.11,8628.98,7755.83,7314.92,6311.08,6710.21,6233.3,5494.73,4761.98,4163.18,4521.58,4982.5,3613.17,2871.48,2276.59,1506.62,2569.52,
,순이익,1548.28,1630.11,2223.59,2604.37,3423.94,2026.14,1422.86,1337.33,103.81,1660,2247,,자기자본,17893,18255,18508,18928,19358,19723,19785,20308,20788,21165,21256,22055,22488,23020,23178,23878,24575,25098,25327,26345,27389,28033,28332,28926,29434,29880,29973,30587,31107,31329,31188,31621,31406,31846,33673,32826,32831,32855,32495,33024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,375.21,486.09,815.53,685.7,831.28,1002.42,733.4,1537.02,523.98,0,0,,매출액,7769.07,7541.27,7171.46,8866.3,8766.23,8610.8,8074.01,9801.98,10241.18,9912.36,8998.4,11397.22,11767.9,12090.31,11864.04,14438.3,14131.63,13465.82,14576.3,17592.89,17197.07,16542.89,15642.75,18553.87,14129.54,14186.63,13420.59,16642.52,15536.62,14626.26,13976.4,16424.7,15688.73,15704.22,15024.9,12793.34,11807.83,12085.64,12614.02,13935,
,영업이익,260.49,317.95,493.85,392.68,474.28,649.29,448.03,1250.77,308.34,0,0,,영업이익,1113.2,946,642.15,1815.66,1211.93,1140.27,336.3,1737.25,1189.08,1111.72,659.46,2139.34,1722.81,1738.93,989.83,3206.96,2436.46,1883.1,1609.89,4191.03,3096.89,2196.69,1343.51,3785.02,1303.76,1323.54,902.6,2781.18,1702.89,846.63,164.03,2048.43,1104.09,1205.03,624.95,679.1,362.4,610.14,-145.02,1742,
