,아모레퍼시픽,A090430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연간,,,,,,,,,,,,,분기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연결연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,시총과 연환산영익,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,28494.62,31004.13,38740.08,47666.27,56454.4,51238.26,52778.45,55801.42,44321.79,51414,57862,,시가총액,69449,68747,61498,70092,62200,68981,70969,57114,53490,52905,58458,73658,89091,139833,129778,189464,244356,225065,242310,226819,252248,227404,187944,165438,177714,151700,178006,185313,188529,152577,122471,110194,96164,82134,116917,98795,97918,95872,120424,155207,
,영업이익,3653.39,3698.38,5637.51,7729.1,8481.03,5963.99,4819.81,4278.35,1430.09,4712,6075,,영업이익,3682.69,3656.44,3728.89,3755.38,3803.71,3941.71,3653.39,3548.94,3460.35,3450.59,3698.38,4053.33,4668.79,5251.76,5637.52,6660.28,7230.28,7387.71,7729.1,8327.27,8652.33,8692.94,8481.04,8271.44,6881.03,6216.8,5963.99,5155.03,5597.27,5351.37,4819.81,4326.72,3746.67,4057,4278.35,3021.5,2496.09,1981.33,1430.1,2299.68,
,순이익,2704.3,2679.75,3791.04,5775.23,6392.55,3940.11,3321.95,2388.04,351.32,3544,4588,,자기자본,19927,20636,21281,21957,22518,23204,23336,23826,24658,25196,25544,26301,27214,28296,28587,30019,31670,33146,33456,35114,36964,38077,38788,39637,40561,41438,41538,42537,43647,44079,44220,44523,44424,45518,44895,45029,45105,45233,44679,45805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개별연간 매영순,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,연결분기 매영순,11.2Q,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,25103.94,26676.5,31823.17,37579.59,42708.67,36275.43,36707.05,39138.3,30169.51,0,0,,매출액,6515.27,6227.76,5883.26,7414.87,7267.77,7333.07,6478.92,8037.94,7989.94,7927.82,7048.44,9318.23,9667.06,9967.23,9787.56,12043.57,11953.99,11410.99,12257.73,14850.58,14434.3,14009.21,13160.32,15690.48,12049.53,12098.62,11399.62,14315.93,13436.79,12784.22,12241.5,14513.3,13931.35,14020.02,13336.76,11308.57,10557.35,10886.41,11569.46,12617,
