,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,NHN한국사이버결제,A060250,56900,13942,,컨센서스,1726,103,84,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,전자결제,0.06,143.00,31.83,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,2.10,-14.40,34.20,,,,,,,,,,,,
,46.45,9.05,19.49,6.42,,YOY,21.60,29.20,16.10,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-1.30,-4.50,7.90,,,,,,,,,,,,
,31.20,4.28,14.20,5.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,73.40,7.50,10.90,2.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,1327.54,1371.43,1539.68,1954.66,2721.33,3519.89,4326.58,4698.98,6248.4,7587,9026,, 매출액,1351.55,1419.82,1487.04,1592.24,1749.31,1726,1818
, 영업이익,57.15,83.87,88.49,109.3,115.25,179.31,217.72,320.93,397.72,520,626,, 영업이익,90.58,79.73,97.81,112.33,107.85,103,132
, 지배주주순이익,46.87,71.86,85.89,95.84,101.79,107.44,170.44,245.47,300.14,414,499,, 지배주주순이익,17.45,72.37,66.49,83.43,77.86,84,106
, 매출총이익율(%),13.61,16.3,16.94,15.91,12.21,13.33,12.15,14.42,12.53,0,0,, 매출총이익율(%),14.23,12.84,12.52,12.96,11.9,0,0
, 판관비율(%),9.3,10.18,11.2,10.31,7.97,8.24,7.12,7.59,6.17,0,0,, 판관비율(%),7.52,7.22,5.95,5.9,5.73,0,0
