,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,다날,A064260,8110,5592,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,전자결제,0.00,144.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-5.00,-38.00,7.70,,,,,,,,,,,,
,33.22,2.41,7.25,6.52,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,25.50,1.36,4.80,5.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,743.80,7.70,2.96,0.89,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,1017.42,1181.04,985.23,1129.48,1334.78,1728.82,1816.93,1911.62,2294.18,2692,,, 매출액,486.76,541.82,570.78,604.17,577.41,,
, 영업이익,-20.7,45.45,40.89,8.88,52.28,172.63,59.56,108.88,149.66,227,,, 영업이익,-6.38,31.41,41.49,47.64,29.13,,
, 지배주주순이익,-81.38,29.75,28.24,2.58,-5.94,115.8,30.2,253.4,168.32,266,,, 지배주주순이익,6.6,-8.37,83.59,20.92,72.17,,
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,0,,, 매출총이익율(%),100,100,100,100,100,,
, 판관비율(%),102.03,96.15,95.85,99.21,96.08,90.01,96.72,94.3,93.48,0,,, 판관비율(%),101.31,94.2,92.73,92.11,94.96,,
, 영업이익률(%),-2.03,3.85,4.15,0.79,3.92,9.99,3.28,5.7,6.52,8.43,,, 영업이익률(%),-1.31,5.8,7.27,7.89,5.04,,
, 매출액 YOY(%),8.82,16.1,-16.6,14.6,18.2,29.5,5.1,5.2,20,17.3,,, 매출액 YOY(%),6.37,24.87,18,19.11,18.62,,
, 영업이익 YOY(%),-6.92,319.6,-10,-78.3,488.7,230.2,-65.5,82.8,37.5,51.7,,, 영업이익 YOY(%),-37.2,19.66,-22.61,34.58,556.58,,
, 지배순이익 YOY(%),-156.4,136.6,-5.1,-90.9,-330.2,2049.5,-73.9,739.1,-33.6,58,,, 지배순이익 YOY(%),113.97,-104.8,-15.39,179.73,993.48,,
, 매출액(개별),849.24,1026.97,923.68,1065.81,1323.05,1563.24,1473.12,1633.95,1952.01,0,,, 매출액(개별),437.92,458.16,479.66,496.04,518.16,,
, 영업이익(개별),83.66,100.58,88.1,95.73,164.21,238.35,218.47,245.37,261.14,0,,, 영업이익(개별),56.74,52.36,58.47,71.23,79.08,,
, 순이익(개별),-46.47,-11.76,25.1,12.71,90.15,119.64,114.4,303.91,245.51,0,,, 순이익(개별),95.61,-3.86,86.66,50.18,112.52,,
, 영업이익율(%개별),9.85,9.79,9.54,8.98,12.41,15.25,14.83,15.02,13.38,0,,, 영업이익율(%개별),12.96,11.43,12.19,14.36,15.26,,
, 개별/연결 순익(%),57.1,-39.53,88.88,492.64,-1517.68,103.32,378.81,119.93,145.86,0,,, 개별/연결 순익(%),1448.64,46.12,103.67,239.87,155.91,,
, 연간 주가 상승율,40.59,-15.6,-13.92,9.25,6.51,8.38,-26.96,-10.21,52.61,67.91,,, EPS,9.57,-12.14,121.23,30.34,104.67,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,,,,,,,,
, 시가총액,2048.34,1922.4,1706.92,1918.59,2432.77,2783.85,2100.8,1954.82,3330.24,5592,,,,,,,,,,
, 주가,5268,4446,3827,4181,4453,4826,3525,3165,4830,8110,,,,,,,,,,
, EPS,-209.3,68.8,63.32,5.62,-10.87,200.75,50.67,410.27,244.12,385.78,,,,,,,,,,
, BPS,1777.01,2080.23,2174.25,2509.9,2753.94,3109.44,2809.16,3167.82,3368.17,3753.8,,,,,,,,,,
, EPS증가율(%),-156.4,132.9,-8,-91.1,-293.4,1946.3,-74.8,709.6,-40.5,58,,,,,,,,,,
, BPS증가율(%),-0.1,17.1,4.5,15.4,9.7,12.9,-9.7,12.8,6.3,11.4,,,,,,,,,,
, PER,-25.17,64.62,60.44,743.64,-409.56,24.04,69.56,7.71,19.79,21.02,,,,,,,,,,
, PBR,2.96,2.14,1.76,1.67,1.62,1.55,1.25,1,1.43,2.16,,,,,,,,,,
, PSR,2.01,1.63,1.73,1.7,1.82,1.61,1.16,1.02,1.45,2.08,,,,,,,,,,
, ROE,-11.78,3.31,2.91,0.22,-0.39,6.46,1.8,12.95,7.25,10.28,,,,,,,,,,
, ROA,-3.11,1.04,1.05,0.09,-0.15,2.49,0.66,4.95,2.95,4.46,,,,,,,,,,
, EV,2695.17,2348.76,2030.36,1975.55,2523.25,3396.2,3076.06,3101.41,4659.78,6922,,,,,,,,,,
, EBITDA,16.35,82.26,68.34,36.28,63.1,182.77,89.66,190.11,234.93,234.96,,,,,,,,,,
, EV/EBITDA,164.84,28.55,29.71,54.45,39.99,18.58,34.31,16.31,19.83,29.46,,,,,,,,,,
, DPS,0,0,0,0,27.13,41.32,45.45,0,0,0,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,21.14,86.46,0,0,0,,,,,,,,,,
, 시가배당율(%),0,0,0,0,0.61,0.86,1.29,0,0,0,,,,,,,,,,
, 차입금비율(%),182.65,141.9,102.83,73.32,78.04,86.65,103.48,109.03,108.62,108.62,,,,,,,,,,
