,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,SK가스,A018670,103000,9507,,컨센서스,17396,639,755,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,가스판매,3.88,137.00,5.99,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,5.60,-107.00,-80.60,,,,,,,,,,,,
,3.58,0.50,13.98,3.41,,YOY,40.80,-26.00,-21.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,46.30,3191.40,1017.70,,,,,,,,,,,,
,5.80,0.56,9.20,3.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,58.90,2.00,1.03,0.33,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,75837.47,66722.47,59434.65,40789.86,52715.49,63588.97,68591.64,49310.74,44123.19,64730,69793,, 매출액,13028.3,12353.21,10311.87,9565.89,11892.22,17396,12730
, 영업이익,1408.51,1234.92,1203.15,991.63,1975.99,977.2,1029.99,1895.78,1901.87,1422,1569,, 영업이익,475.63,863.01,557.46,502.08,-20.67,639,363
, 지배주주순이익,957.98,1024.28,974.28,691.89,1703.52,1020.83,597.6,1588.69,2653.5,1501,1797,, 지배주주순이익,1356.86,965.28,904.99,715.68,67.55,755,272
, 매출총이익율(%),4.71,4.84,5.77,8.15,8.99,5.23,4.39,8.3,10.17,0,0,, 매출총이익율(%),9.42,11.69,11.38,10.81,7.04,0,0
, 판관비율(%),2.85,2.99,3.75,5.72,5.24,3.69,2.89,4.46,5.86,0,0,, 판관비율(%),5.77,4.7,5.98,5.56,7.21,0,0
, 영업이익률(%),1.86,1.85,2.02,2.43,3.75,1.54,1.5,3.84,4.31,2.2,2.25,, 영업이익률(%),3.65,6.99,5.41,5.25,-0.17,3.67,2.85
, 매출액 YOY(%),5,-12,-10.9,-31.4,29.2,20.6,7.9,-28.1,-10.5,46.7,7.8,, 매출액 YOY(%),-27.82,-3.04,-20.09,-10.07,-8.72,40.82,23.45
, 영업이익 YOY(%),-13.83,-12.3,-2.6,-17.6,99.3,-50.5,5.4,84.1,0.3,-25.2,10.3,, 영업이익 YOY(%),49.68,376.2,-1.09,-25.66,-104.35,-25.96,-34.88
, 지배순이익 YOY(%),-10.93,6.9,-4.9,-29,146.2,-40.1,-41.5,165.8,67,-43.4,19.7,, 지배순이익 YOY(%),228.46,2003.15,2728.98,185.64,-95.02,-21.78,-69.94
, 매출액(개별),50906.31,41967.7,43135.42,28269.42,33830.57,41518.28,48086.42,39733.95,36317.8,0,0,, 매출액(개별),10132.47,10111.74,9100.25,7468.91,9636.91,0,0
, 영업이익(개별),1266.73,972.03,821.1,538.53,1107.27,824.55,721.74,1540.07,1879.09,0,0,, 영업이익(개별),421.5,600.62,550.32,522.87,205.28,0,0
, 순이익(개별),844.75,846.2,879.33,592.78,868.86,838.04,877.66,755.05,1852.86,0,0,, 순이익(개별),229.15,809.8,854.91,523.27,-335.13,0,0
, 영업이익율(%개별),2.49,2.32,1.9,1.9,3.27,1.99,1.5,3.88,5.17,0,0,, 영업이익율(%개별),4.16,5.94,6.05,7,2.13,0,0
, 개별/연결 순익(%),88.18,82.61,90.25,85.68,51,82.09,146.86,47.53,69.83,0,0,, 개별/연결 순익(%),16.89,83.89,94.47,73.12,-496.12,0,0
, 연간 주가 상승율,18.6,-14.08,30.44,-23.95,78.83,-26.63,-24.32,20.75,23.52,-1.44,0,, EPS,14700.38,10457.96,9804.77,7753.76,731.84,8179.76,2946.88
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,7593.23,6525.37,8514.89,6483.47,11612.78,8529.03,6463.24,7808.79,9645.6,9507,9507,,,,,,,,,
, 주가,82787,71127,92776,70554,126171,92573,70060,84600,104500,103000,103000,,,,,,,,,
, EPS,10444.61,11164.67,10615.5,7529.22,18508.47,11079.96,6477.84,17211.87,28748.02,16262.01,19468.91,,,,,,,,,
, BPS,106440.7,121948.9,128738.2,131598.5,150850.6,162511.9,169772.4,179933.5,205706.9,221971.2,241440.1,,,,,,,,,
, EPS증가율(%),-10.9,6.9,-4.9,-29.1,145.8,-40.1,-41.5,165.7,67,-43.4,19.7,,,,,,,,,
, BPS증가율(%),0.1,14.6,5.6,2.2,14.6,7.7,4.5,6,14.3,7.9,8.8,,,,,,,,,
, PER,7.93,6.37,8.74,9.37,6.82,8.35,10.82,4.92,3.64,6.33,5.29,,,,,,,,,
, PBR,0.78,0.58,0.72,0.54,0.84,0.57,0.41,0.47,0.51,0.46,0.43,,,,,,,,,
, PSR,0.1,0.1,0.14,0.16,0.22,0.13,0.09,0.16,0.22,0.15,0.14,,,,,,,,,
, ROE,9.81,9.16,8.25,5.72,12.27,6.82,3.82,9.57,13.98,7.33,8.06,,,,,,,,,
, ROA,3.31,3.9,2.92,1.7,4.18,2.35,1.59,3.89,5.9,3.23,3.72,,,,,,,,,
, EV,11169.69,10663.26,18463.46,22776.52,23336.17,21724.57,13253.49,17403.92,18854.6,18716,18716,,,,,,,,,
, EBITDA,1749.96,1602.82,1586.91,1439.57,2516.07,1460.99,1606.03,2895.66,2979.05,2979.06,2979.06,,,,,,,,,
, EV/EBITDA,6.38,6.65,11.63,15.82,9.27,14.87,8.25,6.01,6.33,6.28,6.28,,,,,,,,,
, DPS,1588.79,1635.51,1933.96,1952.38,2548.08,2572.82,2990.2,3021,4000,4000,4000,,,,,,,,,
, 배당성향(%),14.81,14.26,17.73,25.21,13.37,22.53,44.72,16.98,13.53,24.6,20.55,,,,,,,,,
, 시가배당율(%),1.92,2.3,2.08,2.77,2.02,2.78,4.27,3.57,3.83,3.88,3.88,,,,,,,,,
, 차입금비율(%),113.13,82.97,101.16,122.39,92.82,100.07,71.02,95.65,98.39,98.39,98.39,,,,,,,,,
, 부채비율(%),196.13,134.93,137.39,150.68,137.88,144.01,128.61,145.81,136.95,136.95,136.95,,,,,,,,,
, 매출채권회전일수,33.48,36.79,26.84,33.75,41.99,42.16,36.17,42.69,52.19,52.19,52.19,,,,,,,,,
, 재고자산회전일수,20.46,18.37,21.27,58.42,29.94,33.22,17.02,30.47,29.84,29.84,29.84,,,,,,,,,
, 상장주식수 (만주),917.2,917.43,917.79,918.94,920.4,921.33,922.53,923.02,923.02,923.01,923.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,75837.47,66722.47,59434.65,40789.86,52715.49,63588.97,68591.64,49310.74,44123.19,64730,69793,, 매출액,13028.3,12353.21,10311.87,9565.89,11892.22,17396,12730
, -매출원가,72266.83,63495.61,56004.46,37466.41,47977.72,60264.72,65579.48,45217.33,39634.68,0,0,, -매출원가,11801.53,10909.68,9138.12,8531.79,11055.09,0,0
, =매출총이익,3570.64,3226.85,3430.19,3323.44,4737.77,3324.26,3012.16,4093.41,4488.51,0,0,, =매출총이익,1226.77,1443.53,1173.75,1034.1,837.13,0,0
, -판매비와관리비,2162.13,1991.93,2227.04,2331.81,2761.78,2347.06,1982.17,2197.62,2586.64,0,0,, -판매비와관리비,751.14,580.52,616.29,532.02,857.8,0,0
, =영업이익,1408.51,1234.92,1203.15,991.63,1975.99,977.2,1029.99,1895.78,1901.87,1422,1569,, =영업이익,475.63,863.01,557.46,502.08,-20.67,639,363
, +- 비영업손익,-117.37,52.14,55.95,-39.55,187.78,245.74,-794.79,-990.69,2175.71,0,0,, +- 비영업손익,164.93,495.76,603.49,424.84,651.61,0,0
, (금융손익),-905.44,-13.18,183.46,-9.17,473.82,-868.03,-34.51,-1688.62,1693.6,0,0,, (금융손익),-130.59,416.14,455.93,205.21,616.31,0,0
, (관계기업손익),101.07,-19.46,-62.18,-92.75,105.04,381.96,431.39,514.21,498.69,0,0,, (관계기업손익),274.37,35.83,147.1,196.16,119.6,0,0
, (외환손익),573.48,156.1,-415.09,-402.31,-239.43,780.13,-282.14,-166.36,328.43,0,0,, (외환손익),15.76,-280.34,0,0,608.77,0,0
, =세전순익,1291.14,1287.06,1259.1,952.08,2163.77,1222.94,235.2,905.1,4077.58,0,0,, =세전순익,640.56,1358.77,1160.95,926.92,630.94,0,0
, -법인세,332.89,262.33,268.03,199.3,459.58,408.1,399.6,-89.18,1424.08,0,0,, -법인세,-166.63,393.49,255.96,211.24,563.39,0,0
, =순이익,958.25,1024.74,991.06,732.32,1881.7,1498.99,554.38,1541.19,2653.5,0,0,, =순이익,1354.1,965.28,904.99,715.68,67.55,0,0
, 지배주주순익,957.98,1024.28,974.28,691.89,1703.52,1020.83,597.6,1588.69,2653.5,1501,1797,, 지배주주순익,1356.86,965.28,904.99,715.68,67.55,755,272
, 비지배주주순익,0.27,0.45,16.78,40.42,178.18,478.16,-43.22,-47.5,0,0,0,, 비지배주주순익,-2.76,0,0,0,0,0,0
