,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,대성홀딩스,A016710,31250,5028,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,0.80,103.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,11.79,1.10,9.32,3.08,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,8.30,0.38,4.60,2.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,53.70,4.90,1.10,0.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,11841.74,12738.81,12694.47,10559.84,8746.65,9031.25,9098.29,9185.68,8895.09,8895.08,,, 매출액,2845.73,3434.26,1686.38,1201.34,2573.1,,
, 영업이익,201.22,259.29,246.12,240.47,269.4,245.25,184.4,238.68,273.86,273.86,,, 영업이익,169.76,171.1,5.78,-58.07,155.05,,
, 지배주주순이익,264.75,201.12,177.59,192.5,142.01,210.67,195.34,134.62,426.29,426.29,,, 지배주주순이익,44.06,159.63,9.22,244.59,12.85,,
, 매출총이익율(%),9.2,9.54,9.68,11.81,15.25,15.12,14.59,15.12,16.7,16.7,,, 매출총이익율(%),19.6,12.43,14.71,16.52,23.81,,
, 판관비율(%),7.5,7.5,7.74,9.53,12.17,12.41,12.56,12.52,13.63,13.63,,, 판관비율(%),13.63,7.45,14.37,21.35,17.78,,
, 영업이익률(%),1.7,2.04,1.94,2.28,3.08,2.72,2.03,2.6,3.08,3.08,,, 영업이익률(%),5.97,4.98,0.34,-4.83,6.03,,
, 매출액 YOY(%),10.57,7.6,-0.3,-16.8,-17.2,3.3,0.7,1,-3.2,0,,, 매출액 YOY(%),-0.58,1.6,2.85,-8.99,-9.58,,
, 영업이익 YOY(%),-9.1,28.9,-5.1,-2.3,12,-9,-24.8,29.4,14.7,0,,, 영업이익 YOY(%),40.8,-13.67,111.47,26.41,-8.67,,
, 지배순이익 YOY(%),-17.47,-24,-11.7,8.4,-26.2,48.3,-7.3,-31.1,216.7,0,,, 지배순이익 YOY(%),-45.79,-6.03,-21.47,368.63,-70.84,,
, 매출액(개별),404.55,509.13,331.6,284.19,284.5,252.66,232.62,166.03,361.32,,,, 매출액(개별),38.39,106.88,19.78,39.08,195.59,,
, 영업이익(개별),68.44,121.67,71.44,56.13,97.09,90.73,97.89,57.87,259.87,,,, 영업이익(개별),10.89,80.51,-5.07,14.48,169.96,,
, 순이익(개별),64.93,121.92,35.34,23.36,70.21,61.25,63.93,37.67,176.39,,,, 순이익(개별),10.97,65.01,-7.17,9.54,109.01,,
, 영업이익율(%개별),16.92,23.9,21.54,19.75,34.13,35.91,42.08,34.86,71.92,,,, 영업이익율(%개별),28.37,75.33,-25.63,37.05,86.9,,
, 개별/연결 순익(%),24.53,60.62,19.9,12.14,49.44,29.07,32.73,27.98,41.38,,,, 개별/연결 순익(%),24.9,40.73,-77.77,3.9,848.33,,
, 연간 주가 상승율,13.31,11,19.15,-0.47,-6.1,-20.6,-19.9,30.97,197.12,26.26,,, EPS,273.84,992.13,57.3,1520.18,79.87,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,1301.64,1444.83,1721.57,1713.53,1608.95,1277.5,1023.29,1340.25,3982.14,5028,,,,,,,,,,
, 주가,8090,8980,10700,10650,10000,7940,6360,8330,24750,31250,,,,,,,,,,
, EPS,1645.48,1250.02,1103.77,1196.43,882.63,1309.37,1214.08,836.7,2649.49,2649.48,,,,,,,,,,
, BPS,21016.25,21878.51,22835.78,23671.21,24081.79,24991.98,25660.46,26019.93,28430.47,28430.29,,,,,,,,,,
, EPS증가율(%),-17.5,-24,-11.7,8.4,-26.2,48.3,-7.3,-31.1,216.7,0,,,,,,,,,,
, BPS증가율(%),0.1,4.1,4.4,3.7,1.7,3.8,2.7,1.4,9.3,0,,,,,,,,,,
, PER,4.92,7.18,9.69,8.9,11.33,6.06,5.24,9.96,9.34,11.79,,,,,,,,,,
, PBR,0.38,0.41,0.47,0.45,0.42,0.32,0.25,0.32,0.87,1.1,,,,,,,,,,
, PSR,0.11,0.11,0.14,0.16,0.18,0.14,0.11,0.15,0.45,0.57,,,,,,,,,,
, ROE,7.83,5.71,4.83,5.05,3.67,5.24,4.73,3.22,9.32,9.32,,,,,,,,,,
, ROA,2.5,1.77,1.49,1.69,1.26,1.9,1.75,1.19,3.61,3.61,,,,,,,,,,
, EV,1851.76,1975.79,2243.46,2302.9,2164.06,2221.79,1923.11,2523.45,4984.2,6030,,,,,,,,,,
, EBITDA,448.09,538.14,535,551.8,590.88,586.41,552.7,517.18,610.92,610.91,,,,,,,,,,
, EV/EBITDA,4.13,3.67,4.19,4.17,3.66,3.79,3.48,4.88,8.16,9.87,,,,,,,,,,
, DPS,250,250,250,250,250,250,250,250,250,250,,,,,,,,,,
, 배당성향(%),15.19,20,22.65,20.9,28.32,19.09,20.59,29.88,9.44,9.44,,,,,,,,,,
, 시가배당율(%),3.09,2.78,2.34,2.35,2.5,3.15,3.93,3,1.01,0.8,,,,,,,,,,
, 차입금비율(%),50.49,56.05,53.28,52.05,47.77,46.39,43.57,40.47,39.58,39.58,,,,,,,,,,
, 부채비율(%),122.71,129.88,129.53,112.92,107.33,112.27,109.78,110.42,103.06,103.06,,,,,,,,,,
, 매출채권회전일수,70.04,64.87,71.27,61.37,69.75,75.61,74.7,74.03,71.39,71.39,,,,,,,,,,
, 재고자산회전일수,0.92,1.41,1.07,1.61,1.4,0.76,0.34,0.39,0.6,0.6,,,,,,,,,,
, 상장주식수 (만주),1608.95,1608.94,1608.94,1608.95,1608.95,1608.94,1608.95,1608.94,1608.95,1608.96,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,11841.74,12738.81,12694.47,10559.84,8746.65,9031.25,9098.29,9185.68,8895.09,8895.08,,, 매출액,2845.73,3434.26,1686.38,1201.34,2573.1,,
, -매출원가,10752.66,11523.78,11465.67,9312.52,7412.42,7665.41,7770.72,7796.99,7409.21,7409.19,,, -매출원가,2288.09,3007.46,1438.3,1002.9,1960.53,,
