,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,경동나비엔,A009450,52200,7102,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,보일러,0.67,111.00,10.28,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-3.50,-31.30,-49.10,,,,,,,,,,,,
,17.06,2.04,11.96,7.68,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,20.20,2.24,11.10,6.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,63.20,6.80,3.48,0.46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,3790.14,4141.78,4289.85,5120.31,5832.53,6846.61,7267.42,7742.91,8734.09,10101,11710,, 매출액,2672.2,1832.31,1687.5,2102.73,3111.55,,
, 영업이익,139.25,197.84,134.65,242.23,458.32,477.57,408.02,448.25,670.99,861,1060,, 영업이익,202.74,125.4,136.83,228.14,180.62,,
, 지배주주순이익,91.97,111.2,91.83,166.18,369.24,264.24,247.59,278.55,416.37,651,790,, 지배주주순이익,83.82,90.81,125.62,87,112.95,,
, 매출총이익율(%),25.44,28.49,26.84,31.24,34.45,34.85,32.87,34.18,37.83,0,0,, 매출총이익율(%),35.08,38.99,38.49,37.88,36.74,,
, 판관비율(%),21.77,23.72,23.7,26.51,26.59,27.87,27.26,28.39,30.14,0,0,, 판관비율(%),27.49,32.14,30.38,27.03,30.93,,
, 영업이익률(%),3.67,4.78,3.14,4.73,7.86,6.98,5.61,5.79,7.68,8.52,9.05,, 영업이익률(%),7.59,6.84,8.11,10.85,5.8,,
, 매출액 YOY(%),11.07,9.3,3.6,19.4,13.9,17.4,6.1,6.5,12.8,15.7,15.9,, 매출액 YOY(%),6.42,11.07,5.41,15.52,16.44,,
