,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,위닉스,A044340,24300,4343,,컨센서스,1197,191,143,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,가전제품,2.06,84.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-14.30,-54.80,0.00,,,,,,,,,,,,
,10.24,2.31,22.59,15.13,,YOY,24.10,96.80,197.90,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,33.30,167.70,92.20,,,,,,,,,,,,
,20.70,2.19,8.10,6.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,111.90,7.80,3.65,0.60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,1920.67,2578.25,2631.89,1975.04,2131.53,2607.28,3305.57,3862.34,3823.43,4572,,, 매출액,778.18,964.39,891.81,1069.19,898.04,1197,
, 영업이익,41.71,205.65,97.07,-107.54,24.99,172.8,205.71,513.92,519.57,701,,, 영업이익,50.09,97.03,132.89,218.31,71.34,191,
, 지배주주순이익,53.89,150.93,58.33,-171.06,-138.84,113.19,188.76,404.99,424.15,535,,, 지배주주순이익,44.26,48,126.01,175.75,74.39,143,
, 매출총이익율(%),9.85,16.46,20.07,18.12,20.32,24.03,27.01,33.44,33.24,0,,, 매출총이익율(%),30.76,33.57,31.75,36.22,30.83,0,
, 판관비율(%),7.67,8.48,16.38,23.57,19.15,17.4,20.79,20.13,19.65,0,,, 판관비율(%),24.32,23.51,16.85,15.8,22.89,0,
