,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,GS건설,A006360,44000,37616,,컨센서스,23748,2044,1471,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,대형건설사,2.73,219.00,6.39,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,3.80,0.80,-94.20,,,,,,,,,,,,
,12.07,0.91,7.53,7.79,,YOY,-2.70,19.50,14.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-15.70,-0.20,2291.90,,,,,,,,,,,,
,11.50,0.70,5.60,4.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,60.20,3.40,1.82,0.38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,95686.32,95657.58,94875.52,105726.2,110356,116794.6,131393.7,104165.9,101229.3,104137,111353,, 매출액,27981.08,24414.73,25473.68,23167.71,28173.18,23748,25929
, 영업이익,1760.63,-9354.51,511.69,1220.67,1429.78,3186.69,10644.89,7672.67,7503.98,9240,10181,, 영업이익,1822.65,1710.33,1651.37,2093.47,2048.8,2044,2406
, 지배주주순이익,863.25,-8281.96,-410.72,260.64,-257.81,-1683.88,5820.99,4433.6,3116.95,5724,6280,, 지배주주순이익,4.89,1284.59,803.16,967.7,61.5,1471,1474
, 매출총이익율(%),7.99,-3.96,4.52,5.18,4.42,6.88,12.39,13.42,15.16,0,0,, 매출총이익율(%),13.35,11.92,12,15.18,20.83,0,0
, 판관비율(%),6.15,5.82,3.98,4.02,3.13,4.15,4.29,6.05,7.75,0,0,, 판관비율(%),6.84,4.91,5.51,6.14,13.56,0,0
, 영업이익률(%),1.84,-9.78,0.54,1.15,1.3,2.73,8.1,7.37,7.41,8.87,9.14,, 영업이익률(%),6.51,7.01,6.48,9.04,7.27,8.61,9.28
, 매출액 YOY(%),5.7,0,-0.8,11.4,4.4,5.8,12.5,-20.7,-2.8,2.9,6.9,, 매출액 YOY(%),-13.44,-6.17,-1.07,-5.11,0.69,-2.73,1.79
, 영업이익 YOY(%),-59.15,-631.3,105.5,138.6,17.1,122.9,234,-27.9,-2.2,23.1,10.2,, 영업이익 YOY(%),-17.94,-10.64,-19.8,11.54,12.41,19.51,45.7
, 지배순이익 YOY(%),-79.62,-1059.4,95,163.5,-198.9,-553.1,445.7,-23.8,-29.7,83.6,9.7,, 지배순이익 YOY(%),-99.49,0.83,-43.89,-43.84,1157.67,14.51,83.53
, 매출액(개별),85309.89,78618.09,83533.32,90698.43,99961.39,108117.5,117860.1,94851.26,88909.92,0,0,, 매출액(개별),25679.42,21455.83,22228.42,20421.36,24804.32,0,0
, 영업이익(개별),1332.16,-10313.96,126.83,1381.92,3878.19,3843.87,9819.18,6809.31,6831.81,0,0,, 영업이익(개별),1516.07,1731.73,1495.96,1751.13,1853,0,0
, 순이익(개별),1191.34,-9260.34,-800.55,-330.41,-380.05,-98.38,5985.01,4415.6,3269.44,0,0,, 순이익(개별),87.5,1360.59,984.67,1198.88,-274.7,0,0
, 영업이익율(%개별),1.56,-13.12,0.15,1.52,3.88,3.56,8.33,7.18,7.68,0,0,, 영업이익율(%개별),5.9,8.07,6.73,8.57,7.47,0,0
, 개별/연결 순익(%),138.01,111.81,194.91,-126.77,147.41,5.84,102.82,99.59,104.89,0,0,, 개별/연결 순익(%),1789.37,105.92,122.6,123.89,-446.67,0,0
, 연간 주가 상승율,-37.79,-46.77,-17.56,-15.05,34.18,6.79,54.59,-29.03,21.74,16.4,0,, EPS,5.72,1502.6,939.47,1131.93,71.94,1720.65,1724.16
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,29223,15555,16507.5,14022.5,18815,20284.09,34692.46,24870.37,30307.63,37616,37616,,,,,,,,,
, 주가,52985,28203,23250,19750,26500,28300,43750,31050,37800,44000,44000,,,,,,,,,
, EPS,1565.18,-15016.15,-578.48,367.1,-363.11,-2349.32,7340.74,5535.23,3887.49,6695.45,7345.81,,,,,,,,,
, BPS,65783.95,51927.23,46069.52,46257.73,46180.17,44189.71,44749.59,49622.85,51649.73,55135.92,62481.73,,,,,,,,,
, EPS증가율(%),-79.6,-1059.4,96.1,163.5,-198.9,-547,412.5,-24.6,-29.8,72.2,9.7,,,,,,,,,
, BPS증가율(%),0,-21.1,-11.3,0.4,-0.2,-4.3,1.3,10.9,4.1,6.7,13.3,,,,,,,,,
, PER,33.85,-1.88,-40.19,53.8,-72.98,-12.05,5.96,5.61,9.72,6.57,5.99,,,,,,,,,
, PBR,0.81,0.54,0.5,0.43,0.57,0.64,0.98,0.63,0.73,0.8,0.7,,,,,,,,,
, PSR,0.31,0.16,0.17,0.13,0.17,0.17,0.26,0.24,0.3,0.36,0.34,,,,,,,,,
, ROE,2.38,-28.92,-1.26,0.79,-0.79,-5.32,16.4,11.15,7.53,12.14,11.76,,,,,,,,,
, ROA,0.73,-6.66,-0.31,0.2,-0.19,-1.23,4.84,3.37,2.26,3.99,4.19,,,,,,,,,
, EV,34588.65,33036.73,28267.4,18039.33,23995.71,31222.15,35383.6,35956.7,43440.45,50749,50749,,,,,,,,,
, EBITDA,2806.55,-8290.14,1281.48,2055.16,2107.51,3757.85,11180.5,9017.31,9103.32,9103.31,9103.31,,,,,,,,,
, EV/EBITDA,12.32,-3.99,22.06,8.78,11.39,8.31,3.16,3.99,4.77,5.57,5.57,,,,,,,,,
, DPS,240.38,0,0,0,0,300,1000,1000,1200,1200,1200,,,,,,,,,
, 배당성향(%),14.35,0,0,0,0,0,13.53,17.91,30.81,17.92,16.34,,,,,,,,,
, 시가배당율(%),0.45,0,0,0,0,1.06,2.29,3.22,3.17,2.73,2.73,,,,,,,,,
, 차입금비율(%),62.63,134.43,109.43,103.41,102.4,120.57,58.02,79.63,88.29,88.29,88.29,,,,,,,,,
, 부채비율(%),199.76,293.36,265.61,288.45,298.92,322.77,231.98,217.91,219.35,219.35,219.35,,,,,,,,,
, 매출채권회전일수,72.49,84.06,58.67,71.03,72.87,86.09,55.04,66.51,51.77,51.77,51.77,,,,,,,,,
, 재고자산회전일수,36.03,18.32,24.71,28.96,28.56,36.6,32.79,35.42,60.78,60.78,60.78,,,,,,,,,
, 상장주식수 (만주),5515.33,5515.37,7100,7100,7100,7167.52,7929.71,8009.78,8017.89,8549.09,8549.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
