,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,쌍용C&E,A003410,7690,38747,,컨센서스,3265,295,159,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,시멘트 및 레미콘,5.72,97.00,21.83,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.50,6.70,10.90,,,,,,,,,,,,
,28.04,2.29,8.18,16.78,,YOY,4.00,-3.90,-19.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-23.40,-60.50,-62.20,,,,,,,,,,,,
,14.10,1.32,9.30,16.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,29.40,6.00,2.27,0.29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,19910.4,20607.3,20207.05,19863.86,14302.89,15171.4,15099.85,15384.81,14707.99,15398,16230,, 매출액,4181.31,3138.87,3851.61,3456.69,4260.81,3265,4062
, 영업이익,1436.09,1381.2,1623.12,2142.5,2578.37,2509.48,2469.49,2292.22,2501.62,2720,2942,, 영업이익,703.81,306.82,906.51,540.64,747.64,295,938
, 지배주주순이익,334.16,403.64,1052.82,768.78,1727.68,3020.71,1463.18,1306.52,1381.81,1723,1905,, 지배주주순이익,291.64,196.21,536.8,228.59,420.21,159,665
, 매출총이익율(%),16.47,15.98,16.8,19.02,27.56,26.07,26.12,25.08,28.27,0,0,, 매출총이익율(%),26.11,21.61,33.06,29.13,28.15,0,0
, 판관비율(%),9.25,9.28,8.76,8.23,9.54,9.53,9.76,10.18,11.26,0,0,, 판관비율(%),9.28,11.84,9.52,13.49,10.6,0,0
, 영업이익률(%),7.21,6.7,8.03,10.79,18.03,16.54,16.35,14.9,17.01,17.66,18.13,, 영업이익률(%),16.83,9.77,23.54,15.64,17.55,9.04,23.09
