,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,SM C&C,A048550,1880,1779,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,매니지먼트,0.00,192.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-12.53,1.72,-13.75,-3.34,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-45.50,2.21,-4.80,-2.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1751.90,15.90,10.41,0.80,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,195.52,575.89,609.54,755.02,953.94,885.65,1970.3,1666.58,1305.7,1305.7,,, 매출액,488.43,338.37,265.83,271.95,429.55,,
, 영업이익,-25.65,-1.75,-58.74,-39.41,34.86,-129.65,-20.78,48.11,-43.56,-43.56,,, 영업이익,35.64,-35.11,-14.18,-20.4,26.13,,
, 지배주주순이익,-126.48,-9.03,-84.23,-46.2,-4.77,-140.47,-17.99,37.09,-141.99,-141.99,,, 지배주주순이익,18.31,-25.26,-11.57,-16.04,-89.12,,
, 매출총이익율(%),58.22,23.6,12.82,14.06,17.54,13.6,24.53,34.46,30.56,30.56,,, 매출총이익율(%),39.27,24.45,35.71,31.86,31.36,,
, 판관비율(%),71.34,23.91,22.46,19.27,13.89,28.24,25.59,31.57,33.89,33.89,,, 판관비율(%),31.98,34.83,41.04,39.36,25.28,,
, 영업이익률(%),-13.12,-0.3,-9.64,-5.22,3.65,-14.64,-1.05,2.89,-3.34,-3.34,,, 영업이익률(%),7.3,-10.38,-5.33,-7.5,6.08,,
, 매출액 YOY(%),19.86,194.5,5.8,23.9,26.3,-7.2,122.5,-15.4,-21.7,0,,, 매출액 YOY(%),-21.91,-3.96,-37.81,-31.73,-12.05,,
, 영업이익 YOY(%),-309.03,93.2,-3256.6,32.9,188.5,-471.9,84,331.5,-190.5,0,,, 영업이익 YOY(%),307.78,-67.59,-259.68,-183.13,-26.68,,
, 지배순이익 YOY(%),-2744.07,92.9,-832.8,45.2,89.7,-2844.9,87.2,306.2,-482.8,0,,, 지배순이익 YOY(%),747,-110.85,-201.22,-182.98,-586.73,,
, 매출액(개별),165.83,546.48,606.16,751.89,900.42,505.24,1964.45,1654.31,1303.4,,,, 매출액(개별),484.43,336.28,265.63,271.95,429.55,,
, 영업이익(개별),-8.61,19.06,-53.81,-35.09,24.86,-157.92,-22.9,40.5,-43.73,,,, 영업이익(개별),32.83,-35.74,-13.73,-20.4,26.13,,
, 순이익(개별),-104.82,11.23,-107.57,-54.71,-5.28,-175.93,-18.93,30.63,-140.63,,,, 순이익(개별),13.16,-25.25,-10.22,-16.04,-89.12,,
, 영업이익율(%개별),-5.19,3.49,-8.88,-4.67,2.76,-31.26,-1.17,2.45,-3.36,,,, 영업이익율(%개별),6.78,-10.63,-5.17,-7.5,6.08,,
, 개별/연결 순익(%),82.87,-124.36,127.71,118.42,110.69,125.24,105.23,82.58,99.04,,,, 개별/연결 순익(%),71.87,99.96,88.33,100,100,,
, 연간 주가 상승율,419.4,-20.19,17.68,-14.29,-30.58,33.66,-25.19,-24.26,6.54,15.34,,, EPS,19.35,-26.69,-12.23,-16.95,-94.18,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,2186.27,1935.95,2356.99,2023.4,1404.56,2539.11,1900.03,1439.13,1542.14,1779,,,,,,,,,,
, 주가,3615,2885,3395,2910,2020,2700,2020,1530,1630,1880,,,,,,,,,,
, EPS,-209.13,-13.46,-121.32,-66.44,-6.86,-149.37,-19.13,39.43,-150.08,-150.05,,,,,,,,,,
, BPS,613.9,769.1,797.86,777.61,789.2,1222.29,1195.98,1236.99,1091.91,1091.7,,,,,,,,,,
, EPS증가율(%),-2744.1,93.6,-801.6,45.2,89.7,-2077.4,87.2,306.2,-480.6,0,,,,,,,,,,
, BPS증가율(%),-0.3,25.3,3.7,-2.5,1.5,54.9,-2.2,3.4,-11.7,0,,,,,,,,,,
, PER,-17.29,-214.39,-27.98,-43.8,-294.46,-18.08,-105.62,38.8,-10.86,-12.53,,,,,,,,,,
, PBR,5.89,3.75,4.26,3.74,2.56,2.21,1.69,1.24,1.49,1.72,,,,,,,,,,
, PSR,11.18,3.36,3.87,2.68,1.47,2.87,0.96,0.86,1.18,1.36,,,,,,,,,,
