,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,제일기획,A030000,21850,25137,,컨센서스,7006,409,293,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,광고,3.84,121.00,14.75,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-6.40,-5.30,34.40,,,,,,,,,,,,
,15.97,2.49,15.62,7.78,,YOY,2.80,34.00,22.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-4.90,-33.10,-49.50,,,,,,,,,,,,
,19.40,2.71,13.80,5.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.10,12.60,4.78,1.97,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,23650.19,27092.81,26662.56,28067.14,32325.94,33749.87,34778.81,34216.73,27479.22,30326,32462,, 매출액,9034.79,6812.49,6427.66,6868.72,7370.35,7006,7521
, 영업이익,1263.81,1299.87,1267.72,1272.18,1495.49,1565.36,1810.97,2058.13,2049.17,2396,2663,, 영업이익,515.78,305.26,537.79,594.45,611.67,409,641
, 지배주주순이익,939.77,985.4,1016.05,795.14,882.63,1271.53,1297.13,1380.55,1574,1653,1831,, 지배주주순이익,363.7,240.19,334.76,418.52,580.53,293,450
, 매출총이익율(%),24.54,27.45,29.74,33.8,30.86,30,31.13,34.05,40.19,0,0,, 매출총이익율(%),35.43,37.74,40.93,40.54,41.49,0,0
, 판관비율(%),19.2,22.65,24.98,29.27,26.23,25.36,25.93,28.03,32.74,0,0,, 판관비율(%),29.72,33.26,32.56,31.89,33.19,0,0
, 영업이익률(%),5.34,4.8,4.75,4.53,4.63,4.64,5.21,6.01,7.46,7.9,8.2,, 영업이익률(%),5.71,4.48,8.37,8.65,8.3,5.84,8.52
, 매출액 YOY(%),34.52,14.6,-1.6,5.3,15.2,4.4,3,-1.6,-19.7,10.4,7,, 매출액 YOY(%),1.92,-16.1,-25.55,-18.51,-18.42,2.84,17.01
, 영업이익 YOY(%),18.65,2.9,-2.5,0.4,17.6,4.7,15.7,13.6,-0.4,16.9,11.1,, 영업이익 YOY(%),1.71,-5.1,-22.5,12.86,18.59,33.98,19.19
, 지배순이익 YOY(%),0.71,4.9,3.1,-21.7,11,44.1,2,6.4,14,5,10.8,, 지배순이익 YOY(%),8.11,5.07,-23.95,20.24,59.62,21.99,34.42
, 매출액(개별),8536.38,9265.25,8823.93,8198.5,10229.48,10629.9,11982.93,11500.58,8706.84,0,0,, 매출액(개별),3188.07,2148.76,2164.98,2146.52,2246.58,0,0
, 영업이익(개별),573.76,510.97,314.77,315.68,639.88,566.03,549.47,637.31,775.6,0,0,, 영업이익(개별),220.66,61.6,268.99,186.31,258.7,0,0
, 순이익(개별),580.75,522.54,545.14,265.72,502.49,892.46,792.86,1064.67,1182.62,0,0,, 순이익(개별),335.4,124.47,322.03,169.12,567,0,0
, 영업이익율(%개별),6.72,5.51,3.57,3.85,6.26,5.32,4.59,5.54,8.91,0,0,, 영업이익율(%개별),6.92,2.87,12.42,8.68,11.52,0,0
, 개별/연결 순익(%),61.8,53.03,53.65,33.42,56.93,70.19,61.12,77.12,75.13,0,0,, 개별/연결 순익(%),92.22,51.82,96.2,40.41,97.67,0,0
, 연간 주가 상승율,13.72,27.61,-37.45,20.35,-23.91,34.6,6.13,6.89,-14.35,6.07,0,, EPS,316.14,208.78,290.99,363.79,504.62,254.69,391.16
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,24791.38,31636.34,19787.09,23813.53,18118.99,24388.74,25884.28,27667.41,23698.49,25137,25137,,,,,,,,,
, 주가,21550,27500,17200,20700,15750,21200,22500,24050,20600,21850,21850,,,,,,,,,
, EPS,816.9,856.56,883.21,691.18,767.23,1105.28,1127.54,1200.05,1368.2,1436.85,1591.57,,,,,,,,,
, BPS,5917.4,5759.02,7636.49,6831.59,6632.47,7354.42,7672.29,8228.52,8758.1,10194.77,11786.34,,,,,,,,,
, EPS증가율(%),0.7,4.9,3.1,-21.7,11,44.1,2,6.4,14,5,10.8,,,,,,,,,
, BPS증가율(%),0.2,-2.7,32.6,-10.5,-2.9,10.9,4.3,7.2,6.4,16.4,15.6,,,,,,,,,
, PER,26.38,32.11,19.47,29.95,20.53,19.18,19.96,20.04,15.06,15.21,13.73,,,,,,,,,
, PBR,3.64,4.78,2.25,3.03,2.37,2.88,2.93,2.92,2.35,2.14,1.85,,,,,,,,,
, PSR,1.05,1.17,0.74,0.85,0.56,0.72,0.74,0.81,0.86,0.83,0.77,,,,,,,,,
, ROE,13.81,14.87,11.57,10.12,11.57,15.03,14.7,14.58,15.62,14.09,13.5,,,,,,,,,
, ROA,4.71,5.78,5.51,4.26,4.1,5.68,5.97,6.13,7.02,6.87,7.07,,,,,,,,,
