,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,두산인프라코어,A042670,10950,24049,,컨센서스,23304,2386,856,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,중장비 및 관련품,0.00,168.00,9.95,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-2.60,4.10,-93.00,,,,,,,,,,,,
,16.16,1.01,6.26,8.68,,YOY,16.00,31.80,60.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,15.30,62.10,3814.00,,,,,,,,,,,,
,28.50,0.77,3.00,8.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,282.50,3.10,2.07,0.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,81583.51,77368.3,76885.58,59648.94,57295.5,65678.97,77301.08,81858.4,79341.05,88491,93168,, 매출액,19465.64,20092.65,19756.67,19283.77,20207.96,23304,23574
, 영업이익,3624.17,3695,4529.94,-950.87,4908.18,6607.69,8481.27,8403.97,6585.99,8126,8778,, 영업이익,1386.12,1810.1,1542.7,1761.45,1471.74,2386,2377
, 지배주주순이익,3403.39,-1017.56,419.65,-8191.03,631.81,1485.94,2464.1,2399.13,1488.34,2331,2633,, 지배주주순이익,151.65,533.03,500.01,433.43,21.87,856,729
, 매출총이익율(%),20.6,21.29,22.27,20.41,23.13,23.49,23.21,23.36,21.78,0,0,, 매출총이익율(%),21.42,22.6,20.61,22.52,21.42,0,0
