,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,두산중공업,A034020,14350,60626,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,전력기자재,0.00,260.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-5.67,1.90,-33.55,1.02,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-3.60,0.68,-20.50,5.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,5207.90,13.90,1.90,0.37,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,212740.6,192081.7,179716.4,144705.5,139522.8,138413.3,147610.6,156596.7,151324.1,151324.1,,, 매출액,42859.03,38370.36,36047.48,36588.15,40318.07,,
, 영업이익,5861.52,9580.72,8781.07,-273.32,7981.85,9134.39,10035.01,10768.87,1540.91,1540.9,,, 영업이익,2302.88,564.86,-503.11,1717.14,-237.99,,
, 지배주주순이익,425.73,692.24,-946.75,-10385.43,-1707.51,-2920.38,-5237.94,-3952.96,-10696.67,-10696.66,,, 지배주주순이익,-2967.75,-4273.78,-3128.66,-1485.5,-1808.72,,
, 매출총이익율(%),16.39,16.59,17.07,15.12,17.39,17.71,17.41,17.09,13.58,13.58,,, 매출총이익율(%),15.09,15.88,10.75,15.36,12.32,,
, 판관비율(%),13.63,11.6,12.19,15.3,11.67,11.11,10.61,10.21,12.56,12.56,,, 판관비율(%),9.72,14.41,12.15,10.66,12.91,,
, 영업이익률(%),2.76,4.99,4.89,-0.19,5.72,6.6,6.8,6.88,1.02,1.02,,, 영업이익률(%),5.37,1.47,-1.4,4.69,-0.59,,
, 매출액 YOY(%),150.42,-9.7,-6.4,-19.5,-3.6,-0.8,6.6,6.1,-3.4,0,,, 매출액 YOY(%),8.05,0.22,-9.37,2.56,-5.93,,
, 영업이익 YOY(%),11.4,63.5,-8.3,-103.1,3020.3,14.4,9.9,7.3,-85.7,0,,, 영업이익 YOY(%),79.01,-82.48,-113.06,23.62,-110.33,,
, 지배순이익 YOY(%),-84.51,62.6,-236.8,-997,83.6,-71,-79.4,24.5,-170.6,0,,, 지배순이익 YOY(%),28.38,-1011.66,-641.98,-26.1,39.05,,
, 매출액(개별),76725.85,66752.22,54967.93,51462.94,47053.21,43366.99,41016.64,37086.35,34514.45,,,, 매출액(개별),10940.23,9248.74,8221.02,7970.08,9074.62,,
, 영업이익(개별),4774,4545.08,2200.4,2282.27,2834.38,2262.7,1846.11,876.81,-4730.62,,,, 영업이익(개별),247.97,-591.91,-716.94,-227.14,-3194.63,,
, 순이익(개별),-2059.79,4380.37,-483.23,-4511.46,-2314.95,157.8,-7250.88,-4951.91,-18801.74,,,, 순이익(개별),-3147.82,-3011.96,-5048.42,-3490.39,-7250.97,,
, 영업이익율(%개별),6.22,6.81,4,4.43,6.02,5.22,4.5,2.36,-13.71,,,, 영업이익율(%개별),2.27,-6.4,-8.72,-2.85,-35.2,,
, 개별/연결 순익(%),-483.83,632.78,51.04,43.44,135.57,-5.4,138.43,125.27,175.77,,,, 개별/연결 순익(%),106.07,70.48,161.36,234.96,400.89,,
, 연간 주가 상승율,-30.57,-21.68,-33.19,-12.9,32.04,-43.57,-36.62,-31.87,156.95,6.3,,, EPS,-702.46,-1011.59,-740.54,-351.61,-428.12,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,47847.03,37580.02,25106.43,21868.6,28875.05,16341.99,11398.38,11562.8,50575.97,60626,,,,,,,,,,
, 주가,35827,28059,18746,16328,21560,12167,7712,5254,13500,14350,,,,,,,,,,
, EPS,318.78,516.86,-706.9,-7754.19,-1274.94,-2174.29,-3543.92,-1796.18,-2855.21,-2531.87,,,,,,,,,,
, BPS,28594.07,35291.29,34790.09,26734.76,25951.56,25215.6,18977.25,11642.05,8510.6,7546.82,,,,,,,,,,
, EPS증가율(%),-84.5,62.1,-236.8,-996.9,83.6,-70.5,-63,49.3,-59,11.3,,,,,,,,,,
, BPS증가율(%),0,23.4,-1.4,-23.2,-2.9,-2.8,-24.7,-38.7,-26.9,-11.3,,,,,,,,,,
, PER,112.39,54.29,-26.52,-2.11,-16.91,-5.6,-2.18,-2.93,-4.73,-5.67,,,,,,,,,,
, PBR,1.25,0.8,0.54,0.61,0.83,0.48,0.41,0.45,1.59,1.9,,,,,,,,,,
, PSR,0.22,0.2,0.14,0.15,0.21,0.12,0.08,0.07,0.33,0.4,,,,,,,,,,
, ROE,1.11,1.46,-2.03,-29,-4.91,-8.62,-18.67,-15.43,-33.55,-33.55,,,,,,,,,,
, ROA,0.15,0.25,-0.34,-3.81,-0.69,-1.17,-2.11,-1.59,-4.18,-4.18,,,,,,,,,,
, EV,136197.2,126441.5,115932.9,120738.5,113202.8,102420.2,92175.18,97274.02,122088.3,132138,,,,,,,,,,
, EBITDA,10897.85,14944.79,14486.38,5581.48,13304.43,14265.5,15025.53,16277.81,7228.57,7228.56,,,,,,,,,,
, EV/EBITDA,12.5,8.46,8,21.63,8.51,7.18,6.13,5.98,16.89,18.28,,,,,,,,,,
, DPS,635.59,635.59,635.59,720.34,466.1,0,0,0,0,0,,,,,,,,,,
, 배당성향(%),156.87,107.09,0,0,0,0,0,0,0,0,,,,,,,,,,
, 시가배당율(%),1.77,2.27,3.39,4.41,2.16,0,0,0,0,0,,,,,,,,,,
, 차입금비율(%),208.3,143.85,151.7,178.91,152.54,168.91,172.5,169.43,144.79,144.79,,,,,,,,,,
, 부채비율(%),366.29,250.43,258.89,287.98,263.96,280.18,299.05,300.02,259.77,259.77,,,,,,,,,,
, 매출채권회전일수,52.01,52.75,52.08,63.38,55,51.68,52.23,48.78,49.13,49.13,,,,,,,,,,
, 재고자산회전일수,50.42,50.25,57.11,65.27,55.07,55.69,56.63,61.9,54.67,54.67,,,,,,,,,,
