,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,에스에프에이,A056190,42050,15100,,컨센서스,3607,372,229,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,디스플레이 장비,2.26,41.00,9.64,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-6.90,-3.10,-1.80,,,,,,,,,,,,
,13.95,1.46,10.45,10.46,,YOY,-1.90,-13.50,15.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-6.00,-14.70,-32.80,,,,,,,,,,,,
,10.10,1.78,17.10,12.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,28.80,6.60,3.30,1.29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,5074.82,4785.01,4151.37,5260.64,13197.48,19203.85,15600.55,15777.46,15511.71,17164,19089,, 매출액,5008.9,3676.44,4187.54,3811.42,3836.31,3607,4160
, 영업이익,700.28,645.86,457.5,580.09,1208.09,2360.88,2343.57,2142.05,1673.33,2113,2448,, 영업이익,792.61,430.12,488.68,318.57,435.96,372,513
, 지배주주순이익,713.17,630.88,413.06,308.36,782.37,1969.3,1579.49,1319.87,1082.56,1513,1701,, 지배주주순이익,505.33,198.24,301.33,242.11,340.88,229,302
, 매출총이익율(%),26.74,26.2,19.88,20.46,14.67,16.93,21.01,20.12,17.67,0,0,, 매출총이익율(%),21.58,18.75,18.77,14.62,18.45,0,0
