,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,현대엘리베이,A017800,46800,19102,,컨센서스,4279,289,141,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,기계,1.71,156.00,16.92,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,2.60,1.70,1017.30,,,,,,,,,,,,
,20.07,1.89,9.43,8.48,,YOY,4.70,26.40,2167.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-15.10,-35.30,-47.00,,,,,,,,,,,,
,30.80,2.22,6.90,8.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,365.90,5.00,4.89,1.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,9156.2,10662.13,13055.81,14486.54,17587.92,19937.01,18772.18,18725.38,18211.85,19626,20968,, 매출액,5164.25,4087.21,4526.27,4559.89,5038.48,4279,4834
, 영업이익,492.88,986.23,1337.63,1565.11,1815.66,1352.85,1430.68,1362.03,1500.17,1587,1708,, 영업이익,434.16,228.66,444.39,380.68,446.45,289,404
, 지배주주순이익,-2710.1,-3423.32,504.65,-40.51,1287,936.17,79.41,485.16,951.69,1069,1276,, 지배주주순이익,212.38,-6.82,200.79,491.71,266.01,141,250
, 매출총이익율(%),13.67,17.56,19.78,21.44,22.47,19,19.88,20.14,21.95,0,0,, 매출총이익율(%),20.99,19.07,23.69,23.07,21.7,0,0
, 판관비율(%),8.29,8.31,9.54,10.64,12.14,12.21,12.26,12.87,13.71,0,0,, 판관비율(%),12.58,13.47,13.87,14.72,12.84,0,0
, 영업이익률(%),5.38,9.25,10.25,10.8,10.32,6.79,7.62,7.27,8.24,8.09,8.15,, 영업이익률(%),8.41,5.59,9.82,8.35,8.86,6.75,8.36
