,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,DB하이텍,A000990,54700,24286,,컨센서스,2382,544,503,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,반도체 제조,0.64,48.00,14.05,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.90,-48.60,-65.50,,,,,,,,,,,,
,14.63,3.06,20.89,24.15,,YOY,5.50,-16.00,-8.70,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,4.60,78.90,270.80,,,,,,,,,,,,
,8.40,1.81,21.60,21.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,35.30,4.80,3.13,0.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,5907.86,4937.52,5677.18,6665.95,7731.4,6797.38,6692.79,8074.16,9359.2,10210,10782,, 매출액,2120.32,2258.03,2416.51,2406.47,2278.19,2382,2548
, 영업이익,-155.99,-96.11,455.6,1249.69,1724.28,1431.95,1129.93,1812.92,2393.35,2397,2716,, 영업이익,478.42,647.43,770.62,671.26,304.03,544,675
, 지배주주순이익,-313.24,-830.47,-770.09,1267.33,883.44,1101.75,868.29,1046.37,1660.26,1644,1938,, 지배주주순이익,126.03,550.65,503.53,470.42,135.66,503,491
, 매출총이익율(%),16.38,18.08,24.11,34.46,37.51,37.3,32.17,36.43,38.35,0,0,, 매출총이익율(%),36.19,40.82,43.46,40.61,28.07,0,0
, 판관비율(%),19.02,20.02,16.09,15.71,15.21,16.24,15.29,13.97,12.77,0,0,, 판관비율(%),13.62,12.15,11.57,12.72,14.73,0,0
, 영업이익률(%),-2.64,-1.95,8.03,18.75,22.3,21.07,16.88,22.45,25.57,23.48,25.19,, 영업이익률(%),22.56,28.67,31.89,27.89,13.35,22.84,26.49
, 매출액 YOY(%),6.98,-16.4,15,17.4,16,-12.1,-1.5,20.6,15.9,9.1,5.6,, 매출액 YOY(%),22.54,41.5,13.19,8.24,7.45,5.49,5.44
, 영업이익 YOY(%),55.92,38.4,574,174.3,38,-17,-21.1,60.4,32,0.2,13.3,, 영업이익 YOY(%),85.41,189.39,56.32,8.66,-36.45,-15.98,-12.41
, 지배순이익 YOY(%),68.02,-165.1,7.3,264.6,-30.3,24.7,-21.2,20.5,58.7,-1,17.9,, 지배순이익 YOY(%),-28.37,241.53,61.02,5.38,7.64,-8.65,-2.49
, 매출액(개별),5839.02,4937.52,5677.18,6665.95,7731.4,6797.38,6692.79,8074.16,9359.2,0,0,, 매출액(개별),2120.32,2258.03,2416.51,2406.47,2278.19,0,0
, 영업이익(개별),-144.07,-93.93,453.11,1243.73,1717.88,1423.54,1128.84,1811.56,2391.89,0,0,, 영업이익(개별),478.17,647.03,770.28,670.93,303.65,0,0
, 순이익(개별),-321.05,-732.43,-583.2,1274.7,880.02,744.02,950.87,1211.6,1656.58,0,0,, 순이익(개별),252.77,549.45,547.12,510.76,49.25,0,0
, 영업이익율(%개별),-2.47,-1.9,7.98,18.66,22.22,20.94,16.87,22.44,25.56,0,0,, 영업이익율(%개별),22.55,28.65,31.88,27.88,13.33,0,0
, 개별/연결 순익(%),102.49,88.19,75.73,100.58,99.61,67.53,109.51,115.79,99.78,0,0,, 개별/연결 순익(%),200.56,99.78,108.66,108.58,36.3,0,0
, 연간 주가 상승율,-12.69,18.96,-38.71,209.86,11.19,-24.53,-9.58,154.38,84.78,7.26,0,, EPS,283.86,1240.24,1134.12,1059.54,305.55,1132.92,1105.89
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
