,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,리노공업,A058470,159900,24373,,컨센서스,585,224,170,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,반도체장비,0.94,7.00,32.72,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-6.20,-4.80,-32.90,,,,,,,,,,,,
,44.01,7.23,16.42,38.63,,YOY,12.80,12.30,-3.20,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,40.50,35.30,134.70,,,,,,,,,,,,
,21.50,3.82,18.30,36.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,37.20,7.60,6.88,1.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,752.22,806.4,934.22,994.75,1127.89,1415.11,1503.54,1703.07,2013.35,2359,2773,, 매출액,511.5,518.82,547.87,530.23,416.43,585,627
, 영업이익,277.39,288.29,327.18,360.1,393.16,491.57,575.44,641.42,778.82,908,1065,, 영업이익,197.71,199.47,209.28,204.5,165.57,224,242
, 지배주주순이익,248.62,261.81,308.67,326.32,353.96,403.62,486.42,527.9,553.79,707,839,, 지배주주순이익,134.73,175.62,159.7,146.04,72.42,170,190
, 매출총이익율(%),45.75,45.63,45.26,45.83,43.47,42.14,45.23,43.54,44.09,0,0,, 매출총이익율(%),43.61,43.86,43.41,44.39,44.91,0,0
, 판관비율(%),8.87,9.88,10.24,9.63,8.61,7.4,6.95,5.88,5.41,0,0,, 판관비율(%),4.95,5.41,5.21,5.82,5.15,0,0
, 영업이익률(%),36.88,35.75,35.02,36.2,34.86,34.74,38.27,37.66,38.68,38.49,38.41,, 영업이익률(%),38.65,38.45,38.2,38.57,39.76,38.29,38.6
, 매출액 YOY(%),13.89,7.2,15.9,6.5,13.4,25.5,6.2,13.3,18.2,17.2,17.5,, 매출액 YOY(%),62.41,57.71,24.63,25.35,-18.59,12.76,14.44
, 영업이익 YOY(%),18.38,3.9,13.5,10.1,9.2,25,17.1,11.5,21.4,16.6,17.3,, 영업이익 YOY(%),51.4,67.81,25.54,29.31,-16.26,12.3,15.63
, 지배순이익 YOY(%),29.05,5.3,17.9,5.7,8.5,14,20.5,8.5,4.9,27.7,18.7,, 지배순이익 YOY(%),15.82,66.32,9.5,3.04,-46.25,-3.2,18.97
, 매출액(개별),752.22,806.4,934.22,994.75,1127.89,1415.11,1503.54,1703.07,2013.35,0,0,, 매출액(개별),511.5,518.82,547.87,530.23,416.43,0,0
, 영업이익(개별),277.39,288.29,327.18,360.1,393.16,491.57,575.44,641.42,778.82,0,0,, 영업이익(개별),197.71,199.47,209.28,204.5,165.57,0,0
, 순이익(개별),248.62,261.81,308.67,326.32,353.96,403.62,486.42,527.9,553.79,0,0,, 순이익(개별),134.73,175.62,159.7,146.04,72.42,0,0
, 영업이익율(%개별),36.88,35.75,35.02,36.2,34.86,34.74,38.27,37.66,38.68,0,0,, 영업이익율(%개별),38.65,38.45,38.2,38.57,39.76,0,0
, 개별/연결 순익(%),100,100,100,100,100,100,100,100,100,0,0,, 개별/연결 순익(%),100,100,100,100,100,0,0
, 연간 주가 상승율,65.42,24.97,64.38,22.45,-7.57,32.64,-18.17,36.66,109.95,18.44,0,, EPS,883.9,1152.16,1047.71,958.1,475.11,1115.29,1246.5
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,2839.89,3551.47,5837.83,7148.67,6607.57,8764.36,7171.54,9800.84,20577.2,24373,24373,,,,,,,,,
, 주가,18644,23300,38300,46900,43350,57500,47050,64300,135000,159899.5,159899.5,,,,,,,,,
, EPS,1632.2,1717.64,2025.08,2140.87,2322.21,2648.01,3191.23,3463.36,3633.22,4638.29,5504.27,,,,,,,,,
, BPS,7982.89,9147.97,10251.73,11687.79,13181.72,14954.73,17244.27,19693.62,22131.75,26769.6,32273.88,,,,,,,,,
, EPS증가율(%),29,5.2,17.9,5.7,8.5,14,20.5,8.5,4.9,27.7,18.7,,,,,,,,,
, BPS증가율(%),0.3,14.6,12.1,14,12.8,13.5,15.3,14.2,12.4,21,20.6,,,,,,,,,
, PER,11.42,13.57,18.91,21.91,18.67,21.71,14.74,18.57,37.16,34.47,29.05,,,,,,,,,
, PBR,2.34,2.55,3.74,4.01,3.29,3.84,2.73,3.27,6.1,5.97,4.95,,,,,,,,,
, PSR,3.78,4.4,6.25,7.19,5.86,6.19,4.77,5.75,10.22,10.33,8.79,,,,,,,,,
, ROE,20.45,18.78,19.75,18.32,17.62,17.71,18.51,17.59,16.42,17.33,17.05,,,,,,,,,
, ROA,19.08,17.7,18.53,17.33,16.33,16.38,17.21,16.21,15.32,16.36,16.26,,,,,,,,,
, EV,3464.54,4269.29,6627.22,8005.68,7735.06,10119.58,8766.41,11473.34,22691.78,22258,22258,,,,,,,,,
, EBITDA,313.83,327.05,377.7,417.23,459.47,566.41,660.74,725.44,880.39,880.38,880.38,,,,,,,,,
, EV/EBITDA,11.04,13.05,17.55,19.19,16.83,17.87,13.27,15.82,25.77,25.28,25.28,,,,,,,,,
, DPS,526.32,550,700,800,900,1000,1100,1200,1500,1500,1500,,,,,,,,,
, 배당성향(%),32.27,32.02,34.27,37.04,38.41,37.43,34.25,34.5,41.11,32.34,27.25,,,,,,,,,
, 시가배당율(%),2.82,2.36,1.83,1.71,2.08,1.74,2.34,1.87,1.11,0.94,0.94,,,,,,,,,
, 차입금비율(%),0,0,0,0,0,0,0,0.08,0.05,0.05,0.05,,,,,,,,,
, 부채비율(%),7.19,6.05,6.6,5.72,7.86,8.13,7.52,8.51,7.17,7.17,7.17,,,,,,,,,
, 매출채권회전일수,62.42,61.3,61.94,52.28,55.17,61.62,65.81,90.77,52.78,52.78,52.78,,,,,,,,,
, 재고자산회전일수,25.54,33.14,32.41,31.16,31.86,35.46,41.82,42.22,40.04,40.04,40.04,,,,,,,,,
, 상장주식수 (만주),1523.22,1524.24,1524.24,1524.24,1524.24,1524.24,1524.24,1524.24,1524.24,1524.27,1524.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
