,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,CJ ENM,A035760,143000,31359,,컨센서스,8440,543,356,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,미디어,1.12,66.00,17.38,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.80,1.60,-174.70,,,,,,,,,,,,
,55.09,0.91,1.66,8.37,,YOY,4.10,36.70,32.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-10.60,-38.20,209.60,,,,,,,,,,,,
,24.40,1.28,6.30,8.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,65.60,8.60,4.82,0.76,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,19919.59,25134.96,26049.07,23086.05,22085.96,22600.07,23603.75,37897.24,33911.84,37331,40412,, 매출액,10141.2,8107.67,8375.27,7986.2,9442.7,8440,9187
, 영업이익,2605.65,2582.09,2344.42,2096.55,1788.8,2244.82,1820.7,2693.85,2720.68,2728,3288,, 영업이익,426.85,397.26,733.8,710.49,879.13,543,690
, 지배주주순이익,1599.16,1347.82,947.22,847.41,234.29,1308.62,1626.32,1042.47,569.26,1652,2181,, 지배주주순이익,-304.74,268.75,339.17,286.23,-324.89,356,481
, 매출총이익율(%),56.9,49.96,50.28,53.57,54.74,56.28,47.73,38.58,43.75,0,0,, 매출총이익율(%),36.63,41.63,43.64,45.14,44.51,0,0
, 판관비율(%),43.82,39.69,41.28,44.48,46.64,46.35,40.01,31.47,35.73,0,0,, 판관비율(%),32.42,36.73,34.88,36.25,35.2,0,0
, 영업이익률(%),13.08,10.27,9,9.08,8.1,9.93,7.71,7.11,8.02,7.31,8.14,, 영업이익률(%),4.21,4.9,8.76,8.9,9.31,6.43,7.51
, 매출액 YOY(%),24.67,26.2,3.6,-11.4,-4.3,2.3,4.4,60.6,-10.5,10.1,8.3,, 매출액 YOY(%),669.4,-5.75,-16.71,-12.23,-6.89,4.1,9.69
, 영업이익 YOY(%),3.53,-0.9,-9.2,-10.6,-14.7,25.5,-18.9,48,1,0.3,20.5,, 영업이익 YOY(%),9991.02,-49.73,-16.06,17.92,105.96,36.69,-5.97
, 지배순이익 YOY(%),42.19,-15.7,-29.7,-10.5,-72.4,458.5,24.3,-35.9,-45.4,190.2,32,, 지배순이익 YOY(%),-181.61,-36.78,-46.35,-1.27,-6.61,32.47,41.82
, 매출액(개별),10773.3,12606.52,12773.24,11193.75,10959.11,11364.59,20173.73,31571.33,27182.82,0,0,, 매출액(개별),8341.41,6653.37,6482.38,6602.28,7444.79,0,0
, 영업이익(개별),1387.91,1571.75,1421.58,1141.11,1449.29,1575.04,1979.24,2871.1,2504.33,0,0,, 영업이익(개별),650.19,366.36,635.31,558.19,944.46,0,0
, 순이익(개별),1226.31,1083.14,1004.57,602.97,160.82,1281.69,1107.64,3197.28,1684.34,0,0,, 순이익(개별),1931.32,154.5,1203.04,185.36,141.44,0,0
, 영업이익율(%개별),12.88,12.47,11.13,10.19,13.22,13.86,9.81,9.09,9.21,0,0,, 영업이익율(%개별),7.79,5.51,9.8,8.45,12.69,0,0
, 개별/연결 순익(%),76.68,80.36,106.05,71.15,68.64,97.94,68.11,306.7,295.88,0,0,, 개별/연결 순익(%),-633.76,57.49,354.7,64.76,-43.53,0,0
, 연간 주가 상승율,7.36,49.82,-37.3,-26.67,-14.62,41.8,-12.6,-20.95,-12.59,2.51,0,, EPS,-1389.64,1225.52,1546.64,1305.23,-1481.53,1623.39,2193.4
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,17184.08,25750.19,16150.3,11859.21,10125.08,14357.85,44269.37,34998.93,30591.17,31359,31359,,,,,,,,,
, 주가,277000,415000,260200,190800,162900,231000,201900,159600,139500,142999.8,142999.8,,,,,,,,,
, EPS,25777.94,21721.86,15260.76,13633.82,3769.45,21054.14,7417.18,4753.8,2595.9,7533.27,9945.55,,,,,,,,,
, BPS,94726.45,122705.9,136843.2,146709.3,147596.2,165443.2,126022.2,134363.8,156746,164277.9,174223.4,,,,,,,,,
, EPS증가율(%),42.2,-15.7,-29.7,-10.7,-72.4,458.5,-64.8,-35.9,-45.4,190.2,32,,,,,,,,,
, BPS증가율(%),0.4,29.5,11.5,7.2,0.6,12.1,-23.8,6.6,16.7,4.8,6.1,,,,,,,,,
