,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,현대퓨처넷,A126560,5070,5723,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,미디어,1.58,27.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-19.44,0.83,-4.26,7.10,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,11.80,0.64,5.50,15.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,13.70,5.50,1.09,0.50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2753.85,3050.75,3062.21,2911.99,2921.16,2902.36,2897.39,2928.66,3079.92,3079.92,,, 매출액,693.02,735.25,715.81,713.2,915.66,,
, 영업이익,653.16,578.07,567.99,453.71,492.42,492.57,467.37,408.01,218.73,218.73,,, 영업이익,61.94,106.99,116.32,79.59,-84.17,,
, 지배주주순이익,521.71,514.78,440.03,369.84,444.62,435.47,399.26,377.98,-294.46,-294.46,,, 지배주주순이익,64.14,84.82,106.5,75.59,-561.37,,
, 매출총이익율(%),46.47,42.44,41.85,40.5,39.81,39.96,38.61,36.76,30.87,30.87,,, 매출총이익율(%),35.13,36.02,37.83,34.36,18.58,,
, 판관비율(%),22.75,23.49,23.3,24.91,22.96,22.99,22.48,22.83,23.77,23.77,,, 판관비율(%),26.2,21.47,21.58,23.2,27.78,,
, 영업이익률(%),23.72,18.95,18.55,15.58,16.86,16.97,16.13,13.93,7.1,7.1,,, 영업이익률(%),8.94,14.55,16.25,11.16,-9.19,,
