,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,세이브존I&C,A067830,3870,1588,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,백화점,0.78,24.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,16.48,0.35,2.13,10.55,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,7.10,0.43,6.00,18.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,12.50,4.60,0.96,0.19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,1733.87,1794.58,1821.37,1870.41,1829.51,1784.22,1739.5,1592.27,1347.23,1348.39,,, 매출액,404.1,337.21,356.49,319.6,335.09,,
, 영업이익,299.46,323.25,358.85,354.59,368.77,362.05,339.12,295.38,145.99,142.29,,, 영업이익,77.87,25.37,62.54,22.02,32.36,,
, 지배주주순이익,180.48,215.55,251.79,257.28,270.84,288.54,254.23,222.62,99.1,96.36,,, 지배주주순이익,51.62,22.6,50.3,-1.31,24.77,,
, 매출총이익율(%),58.12,58.37,59.35,58.83,59.44,59.29,58.78,59.29,53.98,54.02,,, 매출총이익율(%),61.6,51.77,56.53,49.94,57.5,,
, 판관비율(%),40.85,40.36,39.65,39.88,39.28,38.99,39.29,40.74,43.15,43.47,,, 판관비율(%),42.33,44.25,38.98,43.05,47.85,,
, 영업이익률(%),17.27,18.01,19.7,18.96,20.16,20.29,19.5,18.55,10.84,10.55,,, 영업이익률(%),19.27,7.52,17.54,6.89,9.66,,
, 매출액 YOY(%),3.71,3.5,1.5,2.7,-2.2,-2.5,-2.5,-8.5,-15.4,0.09,,, 매출액 YOY(%),-6.91,-18.33,-12.89,-12.69,-17.08,,
, 영업이익 YOY(%),-3.18,7.9,11,-1.2,4,-1.8,-6.3,-12.9,-50.6,-2.53,,, 영업이익 YOY(%),-21.34,-70.03,-30.67,-48.36,-58.44,,
, 지배순이익 YOY(%),12.66,19.4,16.8,2.2,5.3,6.5,-11.9,-12.4,-55.5,-2.76,,, 지배순이익 YOY(%),-21.41,-65.51,-29.75,-103.87,-52.01,,
, 매출액(개별),1733.39,1793.99,1820.77,1857.39,1815.94,1767.43,1723.09,1592.27,1347.23,,,, 매출액(개별),415.55,335.7,356.67,319.78,335.09,,
, 영업이익(개별),299.73,323.47,359.14,350.63,368.87,359.74,336.94,295.38,145.99,,,, 영업이익(개별),77.11,26.33,63.85,23.44,32.36,,
, 순이익(개별),194.12,226.87,260.5,261.08,278.86,269.42,252.11,222.62,99.1,,,, 순이익(개별),51.11,23.45,51.31,-0.44,24.77,,
, 영업이익율(%개별),17.29,18.03,19.72,18.88,20.31,20.35,19.55,18.55,10.84,,,, 영업이익율(%개별),18.56,7.84,17.9,7.33,9.66,,
, 개별/연결 순익(%),107.56,105.25,103.46,101.48,102.96,93.37,99.17,100,100,,,, 개별/연결 순익(%),99.01,103.76,102.01,33.59,100,,
, 연간 주가 상승율,17.39,77.78,25,-3.83,-8.84,-6.46,-30.18,-5.09,-9.66,31.41,,, EPS,125.8,55.08,122.58,-3.19,60.37,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,1108.1,1969.96,2462.45,2368.06,2158.75,2019.21,1409.75,1337.93,1208.65,1588,,,,,,,,,,
, 주가,2700,4800,6000,5770,5260,4920,3435,3260,2945,3870,,,,,,,,,,
, EPS,439.76,525.21,613.51,626.89,659.93,703.05,619.46,542.44,241.47,234.83,,,,,,,,,,
, BPS,6479.5,7001.57,7578.58,8196.02,8832.09,9497.94,10590.29,10914.31,11015.31,11017.21,,,,,,,,,,
, EPS증가율(%),12.7,19.4,16.8,2.2,5.3,6.5,-11.9,-12.4,-55.5,-2.7,,,,,,,,,,
, BPS증가율(%),0.1,8.1,8.2,8.1,7.8,7.5,11.5,3.1,0.9,0,,,,,,,,,,
, PER,6.14,9.14,9.78,9.2,7.97,7,5.55,6.01,12.2,16.48,,,,,,,,,,
, PBR,0.42,0.69,0.79,0.7,0.6,0.52,0.32,0.3,0.27,0.35,,,,,,,,,,
, PSR,0.64,1.1,1.35,1.27,1.18,1.13,0.81,0.84,0.9,1.18,,,,,,,,,,
, ROE,6.79,7.5,8.1,7.65,7.47,7.4,5.85,4.97,2.19,2.13,,,,,,,,,,
, ROA,3.59,4.22,4.91,4.87,4.89,5.13,4.42,3.84,1.77,1.72,,,,,,,,,,
, EV,2215.15,2760.64,2936.63,2643.23,2327.82,2502.02,1771.88,1795.25,1549.57,1247,,,,,,,,,,
, EBITDA,366.78,390.49,425.15,419,431.05,418.38,392.19,347.93,197.49,193.78,,,,,,,,,,
, EV/EBITDA,6.04,7.07,6.91,6.31,5.4,5.98,4.52,5.16,7.85,6.44,,,,,,,,,,
, DPS,30,30,30,30,30,50,50,30,30,30,,,,,,,,,,
, 배당성향(%),6.28,5.26,4.5,4.4,4.18,6.54,7.43,5.09,11.43,12.78,,,,,,,,,,
, 시가배당율(%),1.11,0.62,0.5,0.52,0.57,1.02,1.46,0.92,1.02,0.78,,,,,,,,,,
, 차입금비율(%),50.92,41.41,31.35,27.27,20.17,14.83,10.19,8.3,6.32,6.32,,,,,,,,,,
, 부채비율(%),89.11,77.81,64.81,56.94,52.66,44.32,32.48,29.32,23.74,23.74,,,,,,,,,,
, 매출채권회전일수,17.17,14.22,8.96,8.6,10.02,11.26,10.86,10.56,6.52,6.51,,,,,,,,,,
, 재고자산회전일수,17.82,17.26,18.06,17.36,20.4,20.77,20.77,23.16,23.52,23.52,,,,,,,,,,
, 상장주식수 (만주),4104.07,4104.08,4104.08,4104.09,4104.09,4104.09,4104.08,4104.08,4104.07,4103.36,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
