,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,인트론바이오,A048530,26350,8820,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,18.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,59.00,10.33,17.50,34.63,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,711.50,13.85,-0.70,-9.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,9181.00,23.80,32.18,5.77,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,81.74,92.77,99.8,118.35,102.22,109.63,205.84,83.47,454.33,454.34,,, 매출액,22.01,32.66,233.57,70.07,118.04,,
, 영업이익,-11.15,0.59,11.25,21.32,-33.73,-39,51.66,-43.68,157.36,157.36,,, 영업이익,-11.52,-9.02,115.63,8.16,42.59,,
, 지배주주순이익,-11.84,3.54,0.21,15.58,-22.52,-87.34,87.11,-31.87,149.48,149.48,,, 지배주주순이익,-66.47,-5.72,95.55,20.09,39.56,,
, 매출총이익율(%),43.19,48.37,55.4,65.95,49.86,45.91,73.69,45.53,58.4,58.4,,, 매출총이익율(%),45.84,44.55,60.75,44.8,65.66,,
, 판관비율(%),56.84,47.73,44.13,47.93,82.86,81.48,48.59,97.86,23.76,23.76,,, 판관비율(%),98.18,72.17,11.24,33.15,29.57,,
