,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,동양생명,A082640,4415,7124,,컨센서스,12911,791,670,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,생명보험,4.98,1072.00,5.18,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,8.10,286.50,47.70,,,,,,,,,,,,
,5.54,0.23,4.16,3.35,,YOY,25.40,-5.40,5.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-4.10,65.00,224.00,,,,,,,,,,,,
,9.60,0.41,4.10,2.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,113.90,2.70,1.38,0.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,40427.24,26193.26,32624.91,35631.05,61019.12,51369.43,42625.27,45264.47,49108.57,51897,51637,, 매출액,11027.26,10294.89,11480.41,13866.46,13466.8,12911,0
, 영업이익,2032.64,992.72,1206.26,2121.63,-298.15,2465.66,668.06,1142.02,1776.16,1600,1346,, 영업이익,-322.45,835.74,252.56,208.54,479.32,791,215
, 지배주주순이익,1570.34,774.46,1644.38,1578.98,119.97,1900.07,504.05,1152.26,1285.82,1379,1366,, 지배주주순이익,-281.84,636.46,217.74,224.84,206.78,670,246
, 매출총이익율(%),42.02,64.04,52.02,50.71,34.18,44.61,62.53,76.36,75.03,0,0,, 매출총이익율(%),71.69,89.74,78.99,69.58,66.02,0,NaN
, 판관비율(%),17.71,19.96,20.16,18.83,11.9,15.24,17.73,17.63,15.82,0,0,, 판관비율(%),74.62,81.62,76.79,68.07,62.46,0,NaN
, 영업이익률(%),5.03,3.79,3.7,5.95,-0.49,4.8,1.57,2.52,3.62,3.08,2.61,, 영업이익률(%),-2.92,8.12,2.2,1.5,3.56,6.13,∞
, 매출액 YOY(%),29.29,-35.2,24.6,9.2,71.3,-15.8,-17,6.2,8.5,5.7,-0.5,, 매출액 YOY(%),8.11,-5.38,9.31,7.88,22.12,25.41,0
, 영업이익 YOY(%),54.74,-51.2,21.5,75.9,-114.1,927,-72.9,70.9,55.5,-9.9,-15.9,, 영업이익 YOY(%),-55.85,62.99,-34.72,-63.08,248.65,-5.35,-14.87
, 지배순이익 YOY(%),61.57,-50.7,112.3,-4,-92.4,1483.8,-73.5,128.6,11.6,7.2,-0.9,, 지배순이익 YOY(%),-72.65,61.6,-37.48,-67.51,173.37,5.27,12.98
, 매출액(개별),40427.24,26193.26,32624.91,35631.05,61019.12,51369.43,42625.27,45264.47,49108.57,0,0,, 매출액(개별),11027.26,10294.89,11480.41,13866.46,13466.8,0,0
, 영업이익(개별),1735.88,1007.71,1098.97,1992.36,-417.33,2349.57,595.47,1102.88,1776.16,0,0,, 영업이익(개별),-361.59,835.74,252.56,208.54,479.32,0,0
, 순이익(개별),1371.51,809.07,1582.74,1509.68,54.41,1844.05,469.57,1122.59,1285.82,0,0,, 순이익(개별),-311.51,636.46,217.74,224.84,206.78,0,0
, 영업이익율(%개별),4.29,3.85,3.37,5.59,-0.68,4.57,1.4,2.44,3.62,0,0,, 영업이익율(%개별),-3.28,8.12,2.2,1.5,3.56,0,0
, 개별/연결 순익(%),87.34,104.47,96.25,95.61,45.35,97.05,93.16,97.43,100,0,0,, 개별/연결 순익(%),110.53,100,100,100,100,0,0
, 연간 주가 상승율,-27.74,7.58,-5.29,8.37,9.01,-40.16,-37.24,-16.14,-12,25.43,0,, EPS,-174.67,394.44,134.94,139.34,128.15,415.22,152.46
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,11348.89,12209.47,11564.03,12532.18,13661.69,12263.25,7696.8,6454.34,5679.82,7124,7124,,,,,,,,,
, 주가,10550,11350,10750,11650,12700,7600,4770,4000,3520,4415,4415,,,,,,,,,
