,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성생명,A032830,80600,161200,,컨센서스,41347,7163,7345,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,생명보험,3.10,672.00,10.53,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.00,2179.70,60.20,,,,,,,,,,,,
,12.74,0.38,3.02,12.10,,YOY,-2.90,91.20,219.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-10.40,45.90,171.40,,,,,,,,,,,,
,13.20,0.61,4.60,9.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,23.40,9.10,1.23,0.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,220513,125673.8,174616.3,173541.5,167682.8,166458.2,161349.7,162010.7,177400.6,189521,183754,, 매출액,40596.68,42566.2,42985.72,45678.68,46170,41347,41177
, 영업이익,12346.49,5426.08,14055.32,11484.94,9865.21,16906.06,25833.11,12525.81,17900.46,9829,6532,, 영업이익,168.47,3745.96,5500.46,3745.9,4908.14,7163,1047
, 지배주주순이익,10068.74,5869.64,13374.88,12112.33,20542.67,11661.21,16643.82,9773.91,12657.66,16005,13581,, 지배주주순이익,6.03,2299.41,4485.86,3165.8,2706.59,7345,3141
, 매출총이익율(%),34.62,41.05,42.55,43.16,44.89,54.19,60.04,62.94,61.01,0,0,, 매출총이익율(%),62.51,42.31,63.3,62.42,74.72,0,0
, 판관비율(%),18.12,24.3,23.24,22.97,23.88,24.42,25.51,24.17,21.09,0,0,, 판관비율(%),62.1,33.51,50.5,54.22,64.09,0,0
, 영업이익률(%),5.6,4.32,8.05,6.62,5.88,10.16,16.01,7.73,10.09,5.19,3.55,, 영업이익률(%),0.41,8.8,12.8,8.2,10.63,17.32,2.54
, 매출액 YOY(%),49.74,-43,38.9,-0.6,-3.4,-0.7,-3.1,0.4,9.5,6.8,-3,, 매출액 YOY(%),0.2,6.63,5.72,11.86,13.73,-2.86,-4.21
, 영업이익 YOY(%),16.34,-56.1,159,-18.3,-14.1,71.4,52.8,-51.5,42.9,-45.1,-33.5,, 영업이익 YOY(%),-91.71,-33.57,35.58,40.75,2813.36,91.22,-80.97
, 지배순이익 YOY(%),6.17,-41.7,127.9,-9.4,69.6,-43.2,42.7,-41.3,29.5,26.4,-15.1,, 지배순이익 YOY(%),100.97,-48.59,45.02,43.78,44785.41,219.43,-29.98
, 매출액(개별),220521,125202,174111.6,172866.4,166692.6,165155.6,160009.5,160467.6,175738.7,0,0,, 매출액(개별),40162.25,42212.48,42564.73,45247.91,45713.58,0,0
, 영업이익(개별),12345.3,5618.76,12809.3,10575.18,3975.94,9514.97,19894.97,5237.92,9546.85,0,0,, 영업이익(개별),-986.11,2044.9,3344.68,1251.37,2905.9,0,0
, 순이익(개별),9572.21,4553.81,11311.32,10839.36,5725.1,9406.89,17977.74,8338.05,9287.84,0,0,, 순이익(개별),145.43,3167.25,3012.76,1417.49,1690.34,0,0
, 영업이익율(%개별),5.6,4.49,7.36,6.12,2.39,5.76,12.43,3.26,5.43,0,0,, 영업이익율(%개별),-2.46,4.84,7.86,2.77,6.36,0,0
, 개별/연결 순익(%),95.07,77.58,84.57,89.49,27.87,80.67,108.01,85.31,73.38,0,0,, 개별/연결 순익(%),2411.77,137.74,67.16,44.78,62.45,0,0
, 연간 주가 상승율,16.56,10.29,12.02,-5.58,2.27,10.67,-34.46,-8.7,6.17,1.9,0,, EPS,3.02,1149.7,2242.93,1582.9,1353.3,3672.5,1570.5
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,188600,208000,233000,220000,225000,249000,163200,149000,158200,161200,161200,,,,,,,,,
, 주가,94300,104000,116500,110000,112500,124500,81600,74500,79100,80600.01,80600.01,,,,,,,,,
, EPS,5034.37,2934.82,6687.44,6056.16,10271.33,5830.6,8321.91,4886.96,6328.83,8002.5,6790.5,,,,,,,,,
, BPS,108343.9,94850.9,111024.6,118229.2,133221.2,146794.8,144510.5,178335.2,209473.8,217476.3,224266.8,,,,,,,,,
