,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한화,A000880,32100,24062,,컨센서스,147069,3649,481,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,2.18,933.00,5.25,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,4.70,-41.80,-518.90,,,,,,,,,,,,
,11.25,0.53,4.74,3.23,,YOY,1.70,23.10,-64.20,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,6.70,146.40,124.00,,,,,,,,,,,,
,8.10,0.53,6.60,3.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,84.90,4.50,0.81,0.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,356519.8,387249.7,374568.4,413762.9,471202.2,504044.4,487401.5,504124,509264.5,528260,548416,, 매출액,127292.9,144619.3,110041.3,116723.8,137880.1,147069,116635
, 영업이익,12261.07,8637.32,5158.38,7584.5,16859.25,21589.31,18061.48,11257.17,15820.45,19201,21335,, 영업이익,1148.21,2964.27,5013.34,6362.04,1480.8,3649,5365
, 지배주주순이익,2865.53,1300.04,-3644.7,-2850.06,4916.7,4053.79,4684,899.62,2138.15,4259,5392,, 지배주주순이익,-1738.02,1342.97,1165.96,1631.46,-2002.24,481,4024
, 매출총이익율(%),8.26,7.14,5.94,7.13,8.64,8.89,8.74,7.44,8.12,0,0,, 매출총이익율(%),7.02,6.12,9.85,11.02,6.38,0,0
, 판관비율(%),4.82,4.91,4.57,5.29,5.06,4.61,5.04,5.21,5.01,0,0,, 판관비율(%),6.12,4.07,5.29,5.57,5.31,0,0
, 영업이익률(%),3.44,2.23,1.38,1.83,3.58,4.28,3.71,2.23,3.11,3.63,3.89,, 영업이익률(%),0.9,2.05,4.56,5.45,1.07,2.48,4.6
, 매출액 YOY(%),192.57,8.6,-3.3,10.5,13.9,7,-3.3,3.4,1,3.7,3.8,, 매출액 YOY(%),-1.96,21.44,-14,-10.06,8.32,1.69,5.99
, 영업이익 YOY(%),300,-29.6,-40.3,47,122.3,28.1,-16.3,-37.7,40.5,21.4,11.1,, 영업이익 YOY(%),948.83,14.21,37.88,64.07,28.97,23.1,7.01
, 지배순이익 YOY(%),113.01,-54.6,-380.4,21.8,272.5,-17.6,15.5,-80.8,137.7,99.2,26.6,, 지배순이익 YOY(%),-26.12,25.94,146.2,48.62,-15.2,-64.18,245.12
, 매출액(개별),52420.16,53408.79,50570.47,50989.19,51018.51,46399.65,52242.48,44331.63,40007.75,0,0,, 매출액(개별),14668.83,8414.9,10831.05,9465.34,11296.46,0,0
, 영업이익(개별),1127.43,1120.49,1603.5,1658.76,2241.9,2591,2998.82,1889.49,1669.6,0,0,, 영업이익(개별),897.12,64.75,584.89,712.02,307.94,0,0
, 순이익(개별),692.87,538.1,953.81,361.89,1062.75,1603.42,2845.21,1002.7,1286.78,0,0,, 순이익(개별),669.2,142.83,493.15,515.44,135.36,0,0
, 영업이익율(%개별),2.15,2.1,3.17,3.25,4.39,5.58,5.74,4.26,4.17,0,0,, 영업이익율(%개별),6.12,0.77,5.4,7.52,2.73,0,0
, 개별/연결 순익(%),24.18,41.39,-26.17,-12.7,21.62,39.55,60.74,111.46,60.18,0,0,, 개별/연결 순익(%),-38.5,10.64,42.3,31.59,-6.76,0,0
, 연간 주가 상승율,3.17,14.62,-20.28,26.08,-8.55,18.4,-24.46,-20.26,13.2,13.43,0,, EPS,-2318.61,1791.59,1555.45,2176.46,-2671.1,641.68,5368.23
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,25635.89,29383.82,23424.6,29533.74,26273.04,31107.88,23499.56,18739.68,21213.32,24062,24062,,,,,,,,,
, 주가,33269,38133,30399,38328,35050,41500,31350,25000,28300,32100,32100,,,,,,,,,
, EPS,3718.74,1687.14,-4729.87,-3698.72,6559.21,5408.03,6248.77,1200.15,2852.44,5681.73,7193.22,,,,,,,,,
, BPS,55551.41,55804.34,56559.89,53916.02,58807.69,60583.92,55835.88,59036.74,60162.05,65843.14,73036.36,,,,,,,,,
, EPS증가율(%),113,-54.6,-380.3,21.8,277.3,-17.6,15.5,-80.8,137.7,99.2,26.6,,,,,,,,,
, BPS증가율(%),0.1,0.5,1.4,-4.7,9.1,3,-7.8,5.7,1.9,9.4,10.9,,,,,,,,,
, PER,8.95,22.6,-6.43,-10.36,5.34,7.67,5.02,20.83,9.92,5.65,4.46,,,,,,,,,
, PBR,0.6,0.68,0.54,0.71,0.6,0.69,0.56,0.42,0.47,0.49,0.44,,,,,,,,,
, PSR,0.07,0.08,0.06,0.07,0.06,0.06,0.05,0.04,0.04,0.05,0.04,,,,,,,,,
, ROE,6.69,3.02,-8.36,-6.86,11.15,8.93,11.19,2.03,4.74,8.63,9.85,,,,,,,,,
, ROA,0.28,0.11,-0.29,-0.2,0.32,0.25,0.28,0.05,0.11,0.22,0.28,,,,,,,,,
, EV,107993.6,116143.2,110086.3,126286.5,109242.1,112774.1,115634.5,117003.2,113439.3,116288,116288,,,,,,,,,
, EBITDA,18159.97,15459.75,12119.44,15788.86,26306.43,30794.78,27676.27,22987.35,28481.06,28481.06,28481.06,,,,,,,,,
, EV/EBITDA,5.95,7.51,9.08,8,4.15,3.66,4.18,5.09,3.98,4.08,4.08,,,,,,,,,
, DPS,450,400,500,500,600,600,700,700,700,700,700,,,,,,,,,
